Rank,Name,Team Code,Nationality,Points
1,FUNVIC - PINDAMONHANGABA,FUN,BRAZIL,347
2,SPIDERTECH POWERED BY PLANET ENERGY,CSM,CANADA,316
3,UNE - EPM,EPM,COLOMBIA,268
4,ANDRONI GIOCATTOLI - SERRAMENTI PVC DIQUIGIOVANNI,AND,ITALY,212
5,HERAKLION KASTRO - MURCIA,TKT,GREECE,198
6,FLY V AUSTRALIA,VAU,AUSTRALIA,190
7,BURGOS 2016 - CASTILLA Y LEON,VMC,SPAIN,"145,66"
8,TEAM TYPE 1,TT1,UNITED STATES OF AMERICA,134
9,,,,131
10,UNITEDHEALTHCARE PRESENTED BY MAXXIS,UHC,UNITED STATES OF AMERICA,121
11,JAMIS - SUTTER HOME,JSH,UNITED STATES OF AMERICA,99
12,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,86
13,BRIDGESTONE ANCHOR,BGT,JAPAN,85
14,JELLY BELLY PRESENTED BY KENDA,JBC,UNITED STATES OF AMERICA,57
15,KELLY BENEFIT STRATEGIES,KBS,UNITED STATES OF AMERICA,49
16,CERVELO TEST TEAM,CWT,NETHERLANDS,48
17,ZHEROQUADRO RADENSKA,RAR,SLOVENIA,46
18,AMORE & VITA - CONAD,AMO,UKRAINE,36
19,CAFE DE COLOMBIA - COLOMBIA ES PASION,CEP,COLOMBIA,34
20,BISSELL,BPC,UNITED STATES OF AMERICA,28
21,,,,27
22,TABRIZ PETROCHEMICAL CYCLING TEAM,TPT,ISLAMIC REPUBLIC OF IRAN,"23,7"
23,XACOBEO GALICIA,XAC,SPAIN,22
24,TEAM CONCORDIA FORSIKRING - HIMMERLAND,VPC,DENMARK,20
25,DE ROSA - STAC PLASTIC,DER,IRELAND,19
26,MOSCOW,MOW,RUSSIAN FEDERATION,16
27,CAJA RURAL,CJR,SPAIN,15
27,,,,15
29,GLUD & MARSTRAND - LRO RADGIVNING,GLU,DENMARK,13
30,KENDA PRESENTED BY GEAR GRINDER,KPC,UNITED STATES OF AMERICA,12
31,TEAM KUOTA - INDELAND,TRS,GERMANY,10
32,DUKLA TRENCIN MERIDA,DUK,SLOVAKIA,8
32,BRETAGNE - SCHULLER,BSC,FRANCE,8
34,TEAM KATUSHA,KAT,RUSSIAN FEDERATION,7
34,HEIZOMAT,THF,GERMANY,7
36,RABOBANK,RB3,NETHERLANDS,5
36,,,,5
38,,,,4
38,MADEINOX - BOAVISTA,BOA,PORTUGAL,4
40,MROZ ACTIVE JET,MRO,POLAND,2
