Rank,Name,Team Code,Nationality,Points
1,QUICK - STEP FLOORS,QST,BELGIUM,"13385,97"
2,TEAM SKY,SKY,GREAT BRITAIN,10213
3,BORA - HANSGROHE,BOH,GERMANY,9180
4,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,"8779,97"
5,MITCHELTON - SCOTT,MTS,AUSTRALIA,"8660,03"
6,ASTANA PRO TEAM,AST,KAZAKHSTAN,7859
7,BAHRAIN - MERIDA,TBM,BAHRAIN,7409
8,MOVISTAR TEAM,MOV,SPAIN,7351
9,TEAM SUNWEB,SUN,GERMANY,"7266,95"
10,TEAM LOTTO NL - JUMBO,TLJ,NETHERLANDS,7059
11,AG2R LA MONDIALE,ALM,FRANCE,6397
12,UAE TEAM EMIRATES,UAD,UNITED ARAB EMIRATES,5495
13,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,5428
14,GROUPAMA - FDJ,GFC,FRANCE,5102
15,LOTTO SOUDAL,LTS,BELGIUM,"4700,01"
16,TEAM EF EDUCATION FIRST - DRAPAC P/B CANNONDALE,EFD,UNITED STATES OF AMERICA,4373
17,TEAM KATUSHA ALPECIN,TKA,SWITZERLAND,2757
18,TEAM DIMENSION DATA,DDD,SOUTH AFRICA,1953
