Rank;UCI ID;Name;Nationality;Team Code;Age;Points
362;10016141790;MELNYCHUK Viktoriia;UKRAINE;;21;36
363;10022146801;LIPP Annamarie;NEW ZEALAND;;19;36
364;10009821737;FRANCHI Elena;ITALY;SBT;23;36
365;10009335626;PARKINSON Abby-Mae;GREAT BRITAIN;DRP;22;36
366;10002059414;WORRACK Trixi;GERMANY;TFS;38;35,33
367;10049781693;ES-SAD Siham;MOROCCO;;19;35
368;10096477392;ALBURY Marla;BAHAMAS;;45;35
369;10008907513;CARIÑO Donelys;PUERTO RICO;;40;35
370;10093487570;MADURO FAHIE Olympia;BRITISH VIRGIN ISLANDS;;29;35
371;10010678872;CATTOUSE Kaya;BELIZE;;30;35
372;10090199876;TASNIM Gharbi;TUNISIA;;25;35
373;10016231316;BJORNSDOTTIR Agusta Edda;ICELAND;;42;35
374;10002192180;FERNANDEZ VERAS Juana;DOMINICAN REPUBLIC;;48;35
375;10051313687;ALSAYEGH Safia;UNITED ARAB EMIRATES;;18;35
376;10009015021;UMUTZHANOVA Makhabbat;KAZAKHSTAN;ASA;25;35
377;10006285176;GULUMA ORTIZ Serika Mitchell;COLOMBIA;;29;35
378;10083256696;EKLUND Nathalie;SWEDEN;;28;35
379;10011188730;SAVIĆ Maja;SERBIA;BTC;25;35
380;10007378448;DE LEÓN Florinda;GUATEMALA;;31;35
381;10014152078;CERVANTES TRUJILLO Idarys;CUBA;;22;35
382;10007134130;RUBIANO GARCES Marcela;COSTA RICA;;31;35
383;10015658814;VIGILIA Alessia;ITALY;VAL;20;35
384;10013775192;BRAAM Danique;NETHERLANDS;LSL;24;35
385;10080569089;GRANIZAL Fabiana;URUGUAY;;32;35
386;10009019566;COETZEE Sanet;SOUTH AFRICA;;35;34,25
387;10004717214;CESAR Jennifer;BOLIVARIAN REPUBLIC OF VENEZUELA;;30;34
388;10010660684;RAGUSA Katia;ITALY;BPK;22;34
389;10004203518;STIRNEMANN Kathrin;SWITZERLAND;;30;33,33
390;10010590360;BAYMETOVA Renata;UZBEKISTAN;CGS;21;33
391;10001668885;SAARELAINEN Sari;FINLAND;CGS;38;33
392;10010671091;TAZREITER Angelika;AUSTRIA;;32;33
393;10007971562;DUYCK Ann-Sophie;BELGIUM;PHV;32;33
394;10010830133;DUEÑAS GOMEZ Yesi Tatiana;COLOMBIA;ILU;21;33
395;10006645995;SOLOVEI Ganna;UKRAINE;LCW;27;33
396;10007751189;HEATHER Taryn;AUSTRALIA;;37;33
397;10011232075;VAN VELZEN Bryony;NETHERLANDS;DVE;23;33
398;10014848660;VAN WITZENBURG Marieke;NETHERLANDS;;34;32
399;10002158737;KARAMI Miyoko;JAPAN;;45;31,5
400;10078995467;YAPURA Fernanda;ARGENTINA;WCC;21;31,33
401;10014592319;BELKACEM BEN OUANANE Racha;ALGERIA;;21;31
402;10009998963;SEGURA QUESADA María José;COSTA RICA;;21;31
403;10015335882;KOYUN Keziban;TURKEY;;19;31
404;10010979269;INGHELBRECHT Sarah;BELGIUM;;27;31
405;10001343331;GONZALEZ VALDIVIESO Yumari;CUBA;;40;31
406;10092076929;REDA Haftu;ETHIOPIA;;20;30,5
407;10014482787;PUIN GAITAN Daisy Johana;COLOMBIA;;22;30
408;10015835030;MURPHY Kelly;IRELAND;;30;30
409;10010655432;ISKAKOVA Amiliya;KAZAKHSTAN;ASA;24;30
410;10007817372;FINDROVÁ Mariana;SLOVAKIA;;34;30
411;10023486916;CHANG Yue;PEOPLE'S REPUBLIC OF CHINA;;20;30
412;10015761268;KOOL Charlotte;NETHERLANDS;;20;30
413;10062860933;COTTER Imogen;IRELAND;;26;30
414;10004628294;HOFFMANN Chantal;LUXEMBOURG;LSL;32;30
415;10016025390;MENDEZ MELGAREJO Irene;SPAIN;;27;30
416;10036104087;SOLOVYEVA Anzhela;KAZAKHSTAN;;19;30
417;10007510511;PERCHTOLD Christina;AUSTRIA;HMT;26;30
418;10010837813;DIESNER Naima Madlen;GERMANY;;29;30
419;10028405725;BONAČIĆ Maja;CROATIA;;34;30
420;10009069985;ZOGLI Anna Maria;GREECE;;37;30
421;10054730212;GIAGKOULLA Georgia;CYPRUS;;19;30
422;10009587624;OBERHOLZER Carla;SOUTH AFRICA;;32;30
423;10015283746;JUSSAUME Laurie;CANADA;;20;30
424;10083973688;PETTENON Jenny;AUSTRALIA;;45;30
425;10007960953;KUIJPERS Evy;NETHERLANDS;CCC;24;30
426;10008652784;VAN DER MEER Janine;NETHERLANDS;PHV;25;30
427;10007359149;DRUYTS Jessy;BELGIUM;;25;30
428;10010678771;QUAGLIOTTO Nadia;ITALY;ALE;22;30
429;10015011843;HARVEY Mikayla;NEW ZEALAND;BIG;21;29,33
430;10021707267;FISHER-BLACK Niamh;NEW ZEALAND;BIG;19;29
431;10013443069;VAN NECK Melissa;CZECH REPUBLIC;BPK;28;29
432;10077728811;RODRIGUEZ Shaina;PANAMA;;20;28
433;10009722818;JASEKOVÁ Tatiana;SLOVAKIA;;31;28
434;10004469660;TSAVARI Eleni Michalista;GREECE;;45;28
435;10007217083;RIJKES Sarah;AUSTRIA;WNT;28;28
436;10009049171;NASKOVICH Taisa;BELARUS;MCC;24;28
437;10015853723;LUEBKE Jennifer;UNITED STATES OF AMERICA;T20;33;28
438;10015198466;BROUWER Miriam;CANADA;;28;28
439;10015267578;MALKOVA Daria;RUSSIAN FEDERATION;;19;28
440;10010959869;GEORGE Jennifer;GREAT BRITAIN;;36;28
441;10015565652;SHIMOYAMA Misuzu;JAPAN;;20;28
442;10004791376;EHRLER Désirée;SWITZERLAND;;28;28
443;10053222163;MUÑOZ GRANDON Paola Andrea;CHILE;;33;27
444;10007825456;HANSON Lauretta;AUSTRALIA;TFS;25;27
445;10002523701;BECKER Charlotte;GERMANY;FDJ;36;27
446;10011067175;WRIGHT Sophie;GREAT BRITAIN;BIG;20;27
447;10009315620;CHRISTMAS Danielle;GREAT BRITAIN;LSL;32;27
448;10078184206;CASTILLO MALOUF Stephany;GUATEMALA;;31;26
449;10008696133;STIENEN Jutta;SWITZERLAND;;47;26
450;10016012862;FISHMAN Roni;ISRAEL;;20;26
451;10007589323;PEÑUELA MARTINEZ Diana Carolina;COLOMBIA;ALE;33;26
452;10005965379;GARCIA OCASIO Iraida;CUBA;;30;26
