Rank,Name,Team Code,Nationality,Points
1,MTN ENERGADE,MTN,SOUTH AFRICA,"253,32"
2,BBOX BOUYGUES TELECOM,BTL,FRANCE,200
3,LOBORIKA,LOB,CROATIA,130
4,"COFIDIS, LE CREDIT EN LIGNE",COF,FRANCE,112
5,FLY V AUSTRALIA,VAU,AUSTRALIA,"96,66"
6,TECNOFILM - BETONEXPRESSZ 2000,TFB,HUNGARY,96
7,TEAM TYPE 1,TT1,UNITED STATES OF AMERICA,68
8,ACQUA & SAPONE - D'ANGELO & ANTENUCCI,ASA,ITALY,40
9,TEAM DESIGNA KOKKEN - BLUE WATER,DBW,DENMARK,32
10,TABRIZ PETROCHEMICAL CYCLING TEAM,TPT,ISLAMIC REPUBLIC OF IRAN,29
11,LOTTO - BODYSOL,PCW,BELGIUM,15
12,PALMANS - CRAS,PCO,BELGIUM,5
13,KATYUSHA CONTINENTAL TEAM,KTA,RUSSIAN FEDERATION,4
14,TUSNAD CYCLING TEAM,TCT,ROMANIA,2
