Rank,Name,Team Code,Nationality,Points
1,TEAM SD WORX,SDW,NETHERLANDS,"9803,02"
2,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,"7998,98"
3,TEAM DSM,DSM,NETHERLANDS,7536
4,FDJ SUEZ FUTUROSCOPE,FSF,FRANCE,7261
5,MOVISTAR TEAM WOMEN,MOV,SPAIN,"5985,96"
6,CANYON//SRAM RACING,CSR,GERMANY,5539
7,TEAM JUMBO-VISMA,JVW,NETHERLANDS,"3985,04"
8,UAE TEAM ADQ,UAD,UNITED ARAB EMIRATES,3768
9,TEAM BIKEEXCHANGE - JAYCO,BEX,AUSTRALIA,"3415,02"
10,VALCAR - TRAVEL & SERVICE,VAL,ITALY,2883
11,LIV RACING XSTRA,LIV,NETHERLANDS,1436
12,EF EDUCATION - TIBCO - SVB,TIB,UNITED STATES OF AMERICA,1362
13,CERATIZIT - WNT PRO CYCLING TEAM,WNT,GERMANY,1034
14,ROLAND COGEAS EDELWEISS SQUAD,CGS,SWITZERLAND,1028
15,PLANTUR-PURA,PLP,BELGIUM,932
16,LE COL WAHOO,LEW,GREAT BRITAIN,765
17,PARKHOTEL VALKENBURG,PHV,NETHERLANDS,646
18,TEAM COOP-HITEC PRODUCTS,HPU,NORWAY,440
19,AG INSURANCE - NXTG TEAM,AGI,NETHERLANDS,381
20,UNO-X PRO CYCLING TEAM,UXT,NORWAY,322
21,HUMAN POWERED HEALTH,HPW,UNITED STATES OF AMERICA,312
22,COFIDIS WOMEN TEAM,COF,FRANCE,193
23,ST MICHEL - AUBER 93,AUB,FRANCE,126
24,ARKEA PRO CYCLING TEAM,ARK,FRANCE,99
25,BEPINK,BPK,ITALY,96
26,ISOLMANT - PREMAC - VITTORIA,SBT,ITALY,91
27,MASSI TACTIC WOMEN'S TEAM,MAT,SPAIN,71
28,TOP GIRLS FASSA BORTOLO,TOP,ITALY,64
29,COLOMBIA TIERRA DE ATLETAS GW SHIMANO,CTF,COLOMBIA,58
30,SOPELA WOMEN'S TEAM,SWT,SPAIN,56
31,LOTTO SOUDAL LADIES,LSL,BELGIUM,48
32,IBCT,IBC,IRELAND,44
33,CAMS-BASSO,CAT,GREAT BRITAIN,36
34,BIZKAIA-DURANGO,BDU,SPAIN,32
35,SOLTEC TEAM,STC,SPAIN,24
36,MULTUM ACCOUNTANTS LADIES CYCLING TEAM,MUL,BELGIUM,24
37,GT  KRUSH TUNAP PRO CYCLING,GKT,NETHERLANDS,24
38,AROMITALIA BASSO BIKES VAIANO,VAI,ITALY,16
39,ENEICAT-RBH GLOBAL,EIC,SPAIN,10
40,LABORAL KUTXA - FUNDACION EUSKADI,LKF,SPAIN,8
40,TEAM MENDELSPECK,MDS,ITALY,8
