Rank,Name,Team Code,Nationality,Points
1,DECEUNINCK  -  QUICK - STEP,DQT,BELGIUM,"14835,15"
2,BORA - HANSGROHE,BOH,GERMANY,"14192,86"
3,TEAM JUMBO - VISMA,TJV,NETHERLANDS,"13128,07"
4,UAE TEAM EMIRATES,UAD,UNITED ARAB EMIRATES,"11765,33"
5,ASTANA PRO TEAM,AST,KAZAKHSTAN,"11474,5"
6,TEAM INEOS,INS,GREAT BRITAIN,"10547,08"
7,MOVISTAR TEAM,MOV,SPAIN,10398
8,MITCHELTON - SCOTT,MTS,AUSTRALIA,"9108,74"
9,LOTTO SOUDAL,LTS,BELGIUM,"8741,94"
10,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,8268
11,EF EDUCATION FIRST,EF1,UNITED STATES OF AMERICA,"8161,99"
12,GROUPAMA - FDJ,GFC,FRANCE,7319
13,BAHRAIN - MERIDA,TBM,BAHRAIN,"7200,72"
14,AG2R LA MONDIALE,ALM,FRANCE,6647
15,TEAM SUNWEB,SUN,GERMANY,"5471,37"
16,TOTAL DIRECT ENERGIE,TDE,FRANCE,"5152,67"
17,WANTY - GOBERT CYCLING TEAM,WGG,BELGIUM,5086
18,CORENDON - CIRCUS,COC,BELGIUM,4898
19,ISRAEL CYCLING ACADEMY,ICA,ISRAEL,"4849,2"
20,CCC TEAM,CCC,POLAND,"4819,79"
21,"COFIDIS, SOLUTIONS CREDITS",COF,FRANCE,4644
22,TEAM DIMENSION DATA,TDD,SOUTH AFRICA,"4357,34"
23,TEAM KATUSHA ALPECIN,TKA,SWITZERLAND,"3985,43"
24,ANDRONI GIOCATTOLI - SIDERMEC,ANS,ITALY,3681
25,WALLONIE BRUXELLES,WVA,BELGIUM,3065
26,VITAL CONCEPT - B&B HOTELS,VCB,FRANCE,"2780,34"
27,TEAM ARKEA - SAMSIC,PCB,FRANCE,2769
28,TERENGGANU INC. TSG CYCLING TEAM,TSG,MALAYSIA,2658
29,NERI SOTTOLI SELLE ITALIA KTM,NSK,ITALY,2551
30,SPORT VLAANDEREN - BALOISE,SVB,BELGIUM,2423
31,ROOMPOT - CHARLES,ROC,NETHERLANDS,2198
32,DELKO MARSEILLE PROVENCE,DMP,FRANCE,2095
33,RIWAL READYNEZ CYCLING TEAM,RIW,DENMARK,"1972,78"
34,GAZPROM - RUSVELO,GAZ,RUSSIAN FEDERATION,"1914,58"
35,TEAM SAPURA CYCLING,TSC,MALAYSIA,"1822,26"
36,MINSK CYCLING CLUB,MCC,BELARUS,1706
37,CAJA RURAL - SEGUROS RGA,CJR,SPAIN,"1585,53"
38,EUSKADI BASQUE COUNTRY - MURIAS,EUS,SPAIN,1545
39,CCC DEVELOPMENT TEAM,CDT,POLAND,1544
40,ELKOV - AUTHOR,ELA,CZECH REPUBLIC,"1536,97"
41,SALCANO SAKARYA BB TEAM,SBB,TURKEY,1507
42,MEDELLIN,MED,COLOMBIA,"1440,02"
43,BEAT CYCLING CLUB,BRT,NETHERLANDS,"1399,02"
44,W52 / FC PORTO,W52,PORTUGAL,1352
45,RALLY UHC CYCLING,RLY,UNITED STATES OF AMERICA,1339
46,TEAM BRIDGELANE,BLN,AUSTRALIA,1335
47,NIPPO - VINI FANTINI - FAIZANE',NIP,ITALY,1335
48,DIMENSION DATA FOR QHUBEKA CONTINENTAL TEAM,DDC,ITALY,"1217,5"
49,UNO - X NORWEGIAN DEVELOPMENT TEAM,UXT,NORWAY,1211
50,SEG RACING ACADEMY,SEG,NETHERLANDS,1155
51,FLOYD'S PRO CYCLING,FPC,CANADA,1040
52,HAGENS BERMAN AXEON,HBA,UNITED STATES OF AMERICA,"1034,33"
53,ST MICHEL - AUBER 93,AUB,FRANCE,1014
54,TEAM COLOQUICK,TCQ,DENMARK,"1013,15"
55,TEAM VORARLBERG SANTIC,VBG,AUSTRIA,998
56,WIBATECH MERX,WIB,POLAND,950
57,NATURA4EVER - ROUBAIX - LILLE METROPOLE,NRL,FRANCE,940
58,METEC - TKH CONTINENTAL CYCLINGTEAM P / B MANTEL,MET,NETHERLANDS,925
59,TEAM UKYO,UKO,JAPAN,"911,17"
60,ADRIA MOBIL,ADR,SLOVENIA,861
61,MATRIX POWERTAG,MTR,JAPAN,813
62,CANEL'S - SPECIALIZED,CAS,MEXICO,809
63,PROTOUCH,PRO,SOUTH AFRICA,766
64,ST GEORGE CONTINENTAL CYCLING TEAM,STG,AUSTRALIA,763
65,AMORE & VITA - PRODIR,AMO,LATVIA,760
66,ELEVATE - KHS PRO CYCLING,ELV,UNITED STATES OF AMERICA,743
67,CANYON DHB P /   B BLOOR HOMES,DHB,GREAT BRITAIN,741
68,HKSI PRO CYCLING TEAM,HKS,"HONG KONG, CHINA",735
69,VINO - ASTANA MOTORS,VAM,KAZAKHSTAN,725
70,TEAM WIGGINS LECOL,WGN,GREAT BRITAIN,713
71,MONKEY TOWN - A BLOCK CT,MTA,NETHERLANDS,710
72,SWISS RACING ACADEMY,SRA,SWITZERLAND,701
73,KINAN CYCLING TEAM,KIN,JAPAN,695
74,BURGOS - BH,BBH,SPAIN,689
75,IAM EXCELSIOR,IAM,SWITZERLAND,"686,5"
76,BARDIANI CSF,BRD,ITALY,678
77,MOVISTAR TEAM ECUADOR,MTE,ECUADOR,674
78,VOSTER ATS TEAM,VOS,POLAND,650
79,MANZANA POSTOBON TEAM,MZN,COLOMBIA,650
80,VIB SPORTS,VIB,BAHRAIN,636
81,SANGEMINI - TREVIGIANI - MG.K VIS,SAN,ITALY,629
82,MEMIL PRO CYCLING,MPC,SWEDEN,624
83,TARTELETTO - ISOREX,TIS,BELGIUM,597
84,HENGXIANG CYCLING TEAM,HEN,PEOPLE'S REPUBLIC OF CHINA,590
85,GIOTTI VICTORIA,GTV,ROMANIA,576
86,BIKE AID,BAI,GERMANY,552
87,DUKLA BANSKA BYSTRICA,DKB,SLOVAKIA,551
88,EQUIPO EUSKADI,EUK,SPAIN,542
89,TIROL KTM CYCLING TEAM,TIR,AUSTRIA,539
90,CYCLING TEAM FRIULI ASD,CTF,ITALY,538
91,GROUPAMA - FDJ,CGF,FRANCE,535
92,INTERPRO CYCLING ACADEMY,IPC,JAPAN,534
93,KYIV CAPITAL TEAM,TKC,UKRAINE,516
94,DEVELOPMENT TEAM SUNWEB,DSU,GERMANY,"512,33"
95,LEOPARD PRO CYCLING,LPC,LUXEMBOURG,511
96,SOVAC,CCS,ALGERIA,"497,66"
97,SHENZHEN XIDESHENG CYCLING TEAM,XDS,PEOPLE'S REPUBLIC OF CHINA,484
98,KOMETA CYCLING TEAM,KMT,SPAIN,482
99,BHS - ALMEBORG BORNHOLM,ABB,DENMARK,470
100,LJUBLJANA GUSTO SANTIC,LGS,SLOVENIA,452
101,UTSUNOMIYA BLITZEN,BLZ,JAPAN,"439,17"
102,EVOPRO RACING,EVO,IRELAND,439
103,FOOLAD MOBARAKEH SEPAHAN,FSC,ISLAMIC REPUBLIC OF IRAN,"438,25"
104,NINGXIA SPORTS LOTTERY LIVALL GUSTO,NLC,PEOPLE'S REPUBLIC OF CHINA,"436,01"
105,COLDEPORTES BICICLETAS STRONGMAN,CBS,COLOMBIA,436
106,EFAPEL,EFP,PORTUGAL,423
107,SPORTING / TAVIRA,STA,PORTUGAL,408
108,TAIYUAN MIOGEE CYCLING TEAM,TMC,PEOPLE'S REPUBLIC OF CHINA,405
109,LOKOSPHINX,LOK,RUSSIAN FEDERATION,393
110,MALOJA PUSHBIKERS,MPB,AUSTRIA,389
111,TELENET FIDEA LIONS,TFL,BELGIUM,373
112,PRO RACING SUNSHINE COAST,ACA,AUSTRALIA,372
113,TIANYOUDE HOTEL CYCLING TEAM,TYD,PEOPLE'S REPUBLIC OF CHINA,"368,25"
114,AKROS - THÖMUS,AKT,SWITZERLAND,"362,99"
115,LVIV CYCLING TEAM,LCT,UKRAINE,342
116,SÃO FRANCISCO SAÚDE / KLABIN / SME RIBEIRÃO PRETO,SFS,BRAZIL,329
117,TEAM ILLUMINATE,ILU,UNITED STATES OF AMERICA,327
118,AISAN RACING TEAM,AIS,JAPAN,"325,17"
119,COLDEPORTES ZENU,ECZ,COLOMBIA,325
120,ALECTO CYCLINGTEAM,ALE,NETHERLANDS,321
121,RADIO POPULAR - BOAVISTA,RPB,PORTUGAL,321
122,TEAM COOP,TCO,NORWAY,319
123,TEAM LOTTO - KERN HAUS,LKH,GERMANY,315
124,BENEDICTION EXCEL ENERGY,BEX,RWANDA,"308,75"
125,RIBBLE PRO CYCLING,RPC,GREAT BRITAIN,"306,34"
126,CIBEL,CIB,BELGIUM,299
127,LX CYCLING TEAM,LXC,KOREA,"298,34"
128,HUROM BDC DEVELOPMENT,THU,POLAND,294
129,JOKER FUEL OF NORWAY,JFN,NORWAY,287
130,TEG PROCYCLING TEAM,TEG,SOUTH AFRICA,280
131,TEAM DIFFERDANGE GEBA,CCD,LUXEMBOURG,276
132,BRUNEI CONTINENTAL CYCLING TEAM,BRC,BRUNEI DARUSSALAM,"275,33"
