Rank,Name,Team Code,Nationality,Points
1,OPTUM P/B KELLY BENEFIT STRATEGIES,OPM,UNITED STATES OF AMERICA,494
2,FUNVIC - SAO JOSE DOS CAMPOS,FUN,BRAZIL,481
3,HINCAPIE RACING TEAM,HSD,UNITED STATES OF AMERICA,400
4,UNITEDHEALTHCARE PROFESSIONAL CYCLING TEAM,UHC,UNITED STATES OF AMERICA,343
5,EPM - UNE - AREA METROPOLITANA,EPM,COLOMBIA,"332,2"
6,TEAM SMARTSTOP,SSC,UNITED STATES OF AMERICA,315
7,TEAM ECUADOR,ECU,ECUADOR,293
8,ORGULLO ANTIOQUENO,ANQ,COLOMBIA,200
9,JAMIS - HAGENS BERMAN,JHB,UNITED STATES OF AMERICA,190
9,SILBER PRO CYCLING,SPC,CANADA,190
11,CAJA RURAL-SEGUROS RGA,CJR,SPAIN,176
12,BRETAGNE-SECHE ENVIRONNEMENT,BSE,FRANCE,144
13,COLOMBIA,COL,COLOMBIA,143
14,DRAPAC PROFESSIONAL CYCLING,DPC,AUSTRALIA,132
15,JELLY BELLY P/B MAXXIS,JBC,UNITED STATES OF AMERICA,116
16,AXEON CYCLING TEAM,BDT,UNITED STATES OF AMERICA,109
17,MTN - QHUBEKA,MTN,SOUTH AFRICA,105
18,W52 - QUINTA DA LIXA,W52,PORTUGAL,95
19,KEITH MOBEL PARTIZAN,KMP,SERBIA,94
20,ANDRONI GIOCATTOLI - SIDERMEC,AND,ITALY,86
21,MOVISTAR TEAM,MOT,COLOMBIA,80
22,INTEJA-MMR DOMINICAN CYCLING TEAM,DCT,DOMINICAN REPUBLIC,78
23,SOUTHEAST,STH,ITALY,71
24,H&R BLOCK PRO CYCLING,HRB,CANADA,60
24,SINDICATO DE EMPLEADOS PUBLICOS DE SAN JUAN,SEP,ARGENTINA,60
26,UNIEURO WILIER,UNI,ITALY,56
27,,,,54
28,TEAM COLOQUICK,TCQ,DENMARK,45
29,AMORE & VITA - SELLE SMP,AMO,UKRAINE,40
29,"COFIDIS, SOLUTIONS CREDITS",COF,FRANCE,40
31,GARNEAU QUEBECOR,GQC,CANADA,39
32,SAN LUIS SOMOS TODOS,SLS,ARGENTINA,33
33,BARDIANI CSF,BAR,ITALY,31
34,AWT GREENWAY,AWT,CZECH REPUBLIC,29
35,BORA-ARGON 18,BOA,GERMANY,28
36,BUENOS AIRES PROVINCIA,BAP,ARGENTINA,21
37,ASTELLAS CYCLING TEAM,ACT,UNITED STATES OF AMERICA,18
38,TEAM NOVO NORDISK,TNN,UNITED STATES OF AMERICA,16
38,TEAM STÖLTING,STG,GERMANY,16
40,,,,15
41,IRT RACING,IRT,UNITED STATES OF AMERICA,14
42,TEAM BUDGET FORKLIFTS,BFL,AUSTRALIA,13
42,TEAM RINGERIKS - KRAFT,KRA,NORWAY,13
44,NIPPO - VINI FANTINI,NIP,ITALY,11
45,TEAM EUROPCAR,EUC,FRANCE,10
45,RTS-SANTIC RACING TEAM,RTS,CHINESE TAIPEI,10
47,ONE PRO CYCLING,ONE,GREAT BRITAIN,9
48,BIKE AID,BAI,GERMANY,8
49,TEAM JOKER,TJO,NORWAY,7
50,TEAM TREFOR - BLUE WATER,TBW,DENMARK,6
50,TEAM WIGGINS,WGN,GREAT BRITAIN,6
52,INCYCLE CANNONDALE,IPC,PUERTO RICO,5
52,LUPUS RACING TEAM,LRT,UNITED STATES OF AMERICA,5
54,ROOMPOT ORANJE PELOTON,ROP,NETHERLANDS,4
55,LOKOSPHINX,LOK,RUSSIAN FEDERATION,2
