Rank,Name,Team Code,Nationality,Points
1,BOELS DOLMANS CYCLINGTEAM,DLT,NETHERLANDS,5647
2,TEAM SUNWEB,SUN,NETHERLANDS,"4740,33"
3,MITCHELTON SCOTT,MTS,AUSTRALIA,"4369,02"
4,CANYON / /SRAM RACING,CSR,GERMANY,"4217,84"
5,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,"4088,65"
6,CCC - LIV,CCC,NETHERLANDS,3953
7,PARKHOTEL VALKENBURG,PHV,NETHERLANDS,"3912,99"
8,TEAM VIRTU CYCLING,TVC,DENMARK,"3177,88"
9,WNT ROTOR PRO CYCLING TEAM,WNT,GERMANY,"3090,35"
10,BIGLA,BIG,DENMARK,"2461,31"
11,ALE CIPOLLINI,ALE,ITALY,"2400,5"
12,VALCAR CYLANCE CYCLING,VAL,ITALY,2282
13,MOVISTAR TEAM WOMEN,MOV,SPAIN,"2059,33"
14,COGEAS METTLER LOOK PRO CYCLING TEAM,CGS,RUSSIAN FEDERATION,1817
15,TEAM TIBCO - SILICON VALLEY BANK,TIB,UNITED STATES OF AMERICA,"1784,25"
16,ASTANA WOMEN'S TEAM,ASA,KAZAKHSTAN,1783
17,BTC CITY LJUBLJANA,BTC,SLOVENIA,"1691,68"
18,LOTTO SOUDAL LADIES,LSL,BELGIUM,1688
19,WCC TEAM,WCC,STATELESS,"1681,32"
20,SWAPIT AGOLICO,SWA,MEXICO,1320
21,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,FDJ,FRANCE,"1258,67"
22,HITEC PRODUCTS - BIRK SPORT,HPU,NORWAY,1208
23,SHO - AIR TWENTY20,T20,UNITED STATES OF AMERICA,970
24,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,DVE,BELGIUM,"764,67"
25,RALLY UHC CYCLING,RLW,UNITED STATES OF AMERICA,735
26,THAILAND WOMEN'S CYCLING TEAM,TWC,THAILAND,661
27,MINSK CYCLING CLUB,MCC,BELARUS,583
28,HEALTH MATE - LADIES TEAM,HMT,BELGIUM,527
29,EUROTARGET - BIANCHI - VITTORIA,SBT,ITALY,417
30,SERVETTO - PIUMATE - BELTRAMI TSA,SER,ITALY,"399,5"
31,AROMITALIA - BASSO BIKES - VAIANO,VAI,ITALY,379
32,BEPINK,BPK,ITALY,355
33,LVIV CYCLING TEAM,LCW,UKRAINE,324
34,HAGENS BERMAN / SUPERMINT,HBS,UNITED STATES OF AMERICA,280
35,DROPS,DRP,GREAT BRITAIN,"208,67"
36,BIEHLER PRO CYCLING,BPC,NETHERLANDS,177
37,TOP GIRLS FASSA BORTOLO,TOP,ITALY,156
38,TEAM ILLUMINATE,ILU,UNITED STATES OF AMERICA,"155,5"
39,BIZKAIA - DURANGO,BDU,SPAIN,"150,67"
40,CHINA LIV PRO CYCLING,GPC,"HONG KONG, CHINA",149
41,MEMORIAL - SANTOS,MEM,BRAZIL,142
42,ENEICUE CYCLING TEAM,EIC,SPAIN,131
43,SOPELA WOMEN'S TEAM,SWT,SPAIN,83
44,CHARENTE - MARITIME WOMEN CYCLING,CMW,FRANCE,79
45,MASSI - TACTIC WOMEN TEAM,MAT,SPAIN,28
