Rank;UCI ID;Name;Nationality;Team Code;Age;Points
1;10005986500;LANG Richard;AUSTRALIA;JAI;22;100
2;10005768248;HAAS Nathan;AUSTRALIA;GEN;22;74
3;10006444521;BENNETT George;NEW ZEALAND;TLS;21;53
4;10006720161;HOWSON Damien;AUSTRALIA;JAI;19;46
5;10005776433;EARLE Nathan;AUSTRALIA;GEN;23;41
6;10007723608;SMITH Stuart;AUSTRALIA;;20;40
7;10005568285;WILLIAMSON James;NEW ZEALAND;PBR;22;36
8;10006874654;LANE Patrick;AUSTRALIA;JAI;20;30
9;10006291139;DAVISON Luke;AUSTRALIA;BFL;21;25
10;10002520869;SULZBERGER Bernard;AUSTRALIA;VAU;28;24
11;10003998606;NORRIS Lachlan;AUSTRALIA;DPC;24;24
12;10004824520;DICKESON William;AUSTRALIA;JBC;28;20
13;10006190301;RUDOLPH Malcolm;AUSTRALIA;JAI;22;20
14;10002528852;YATES Jeremy;NEW ZEALAND;MNS;29;16
15;10003029515;GUDSELL Timothy;NEW ZEALAND;PBR;27;15
16;10007782111;OBST Ryan;AUSTRALIA;;23;15
17;10002747003;PELL David;AUSTRALIA;DPC;31;14
18;10006784122;VON HOFF Steele;AUSTRALIA;GEN;24;14
19;10005697116;JORY Chris;AUSTRALIA;;24;12
20;10006383893;VINK Michael;NEW ZEALAND;TLS;20;12
21;10006915272;AITKEN Nick;AUSTRALIA;JAI;21;11
22;10007745432;RUTHERFORD Sam;AUSTRALIA;;29;10
23;10005969019;O'SHEA Glenn;AUSTRALIA;JAI;22;9
24;10004627183;GOUGH Westley;NEW ZEALAND;SUB;23;8
25;10007782010;BENSLEY Nick;AUSTRALIA;;28;8
26;10003900693;LYTTLE Scott;NEW ZEALAND;PBR;27;8
27;10002105890;REID Robin;NEW ZEALAND;;36;8
28;10002938878;JAMIESON Mark;AUSTRALIA;;27;7
29;10006190200;ROSELUND Darcy;AUSTRALIA;BFL;23;7
30;10007725628;ROBERTS Brock;NEW ZEALAND;;24;6
31;10006178981;LAW Scott;AUSTRALIA;;20;6
32;10006178779;DONNELLY Aaron;AUSTRALIA;JAI;20;6
33;10002340310;DAY Benjamin;AUSTRALIA;KPC;33;5
34;10007836469;JEREMIAH Richard;AUSTRALIA;;29;5
35;10006178577;CARVER Alex;AUSTRALIA;JAI;20;5
36;10005968312;CHRISTIE Jason;NEW ZEALAND;MPC;21;5
37;10005608604;COOPER Joseph;NEW ZEALAND;;26;5
37;10005964066;SEMPLE Adam;AUSTRALIA;DPC;22;5
37;10007745634;HILL Benjamin;AUSTRALIA;;21;5
40;10005776332;ANDERSON Jack;AUSTRALIA;;24;4
41;10007721988;RIX Samuel;AUSTRALIA;;28;4
42;10007710167;SMYTH Alexander;AUSTRALIA;;23;4
43;10006499586;MCCOY James;NEW ZEALAND;PBR;21;3
44;10007723507;STEARNES Joel;AUSTRALIA;;20;3
45;10006738248;SUTHERLAND Jacob;AUSTRALIA;;29;2
46;10007621857;FLAKEMORE Campbell;AUSTRALIA;GEN;19;2
