Rank,Name,Team Code,Nationality,Points
1,AVANTI ISOWHEY SPORT,AIW,AUSTRALIA,895
2,DRAPAC PROFESSIONAL CYCLING,DPC,AUSTRALIA,407
3,ONE PRO CYCLING,ONE,GREAT BRITAIN,278
4,KENYAN RIDERS DOWNUNDER,KRD,KENYA,149
5,JLT CONDOR,JLT,GREAT BRITAIN,81
6,DATA#3 CISCO RACING TEAM p/b SCODY,DSR,AUSTRALIA,80
7,UNITEDHEALTHCARE PROFESSIONAL CYCLING TEAM,UHC,UNITED STATES OF AMERICA,72
8,KLEIN CONSTANTIA,KLC,CZECH REPUBLIC,40
9,MADISON GENESIS,MGT,GREAT BRITAIN,25
10,STATE OF MATTER / MAAP,SOM,AUSTRALIA,17
11,NIPPO - VINI FANTINI,NIP,ITALY,3
11,ST GEORGE MERIDA CYCLING TEAM,STG,AUSTRALIA,3
