Rank,Name,Team Code,Nationality,Points
1,MTN - QHUBEKA,MTN,SOUTH AFRICA,"402,33"
2,GROUPEMENT SPORTIF DES PETROLIER ALGERIE,GSP,ALGERIA,"359,67"
3,BIKE AID - RIDE FOR HELP,BAI,GERMANY,272
4,BRIDGESTONE ANCHOR CYCLING TEAM,BGT,JAPAN,178
5,OCBC SINGAPORE CONTINENTAL CYCLING TEAM,TSI,SINGAPORE,173
6,WANTY - GROUPE GOBERT,WGG,BELGIUM,158
7,VELO CLUB SOVAC,VCS,ALGERIA,"143,67"
8,CAJA RURAL - SEGUROS RGA,CJR,SPAIN,128
9,SKYDIVE DUBAI PRO CYCLING TEAM,SKD,UNITED ARAB EMIRATES,118
10,TEAM 21,T21,RUSSIAN FEDERATION,117
11,OLYMPIC TEAM ALGERIE TOUR AGLO37,OTA,ALGERIA,"83,67"
12,GARNEAU - QUÉBECOR,GQC,CANADA,83
13,"COFIDIS, SOLUTIONS CREDITS",COF,FRANCE,77
14,BANCO BIC - CARMIM,BBC,PORTUGAL,50
15,PARKHOTEL VALKENBURG CONTINENTAL CYCLING TEAM,PVC,NETHERLANDS,42
16,,,,40
17,UTENSILNORD,UNA,HUNGARY,39
18,RAPHA CONDOR JLT,RCJ,GREAT BRITAIN,35
19,CHINA WUXI JILUN CYCLING TEAM,CWJ,PEOPLE'S REPUBLIC OF CHINA,20
20,TEAM DIFFERDANGE - LOSCH,CCD,LUXEMBOURG,14
20,,,,14
22,AMPLATZ - BMC,AMP,AUSTRIA,12
23,SYNERGY BAKU CYCLING PROJECT,BCP,AZERBAIJAN,"7,5"
24,CK BANSKA BYSTRICA,CKB,SLOVAKIA,7
25,TEAM NOVO NORDISK,TNN,UNITED STATES OF AMERICA,5
26,RAD-NET ROSE TEAM,RNR,GERMANY,3
