Rank,Name,Team Code,Nationality,Points
1,,,,1693
2,"COFIDIS, SOLUTIONS CREDITS",COF,FRANCE,"1600,2"
3,BRETAGNE-SECHE ENVIRONNEMENT,BSE,FRANCE,1476
4,KOLSS-BDC TEAM,KLS,UKRAINE,"1383,75"
5,VERANDAS WILLEMS CYCLING TEAM,WIL,BELGIUM,"1345,25"
6,RUSVELO,RVL,RUSSIAN FEDERATION,"1300,92"
7,WANTY - GROUPE GOBERT,WGG,BELGIUM,1276
8,CCC SPRANDI POLKOWICE,CCC,POLAND,1181
9,SOUTHEAST,STH,ITALY,"1167,5"
10,CAJA RURAL-SEGUROS RGA,CJR,SPAIN,"1159,1"
11,MTN - QHUBEKA,MTN,SOUTH AFRICA,1096
12,TEAM EUROPCAR,EUC,FRANCE,948
13,ADRIA MOBIL,ADR,SLOVENIA,940
14,ROOMPOT ORANJE PELOTON,ROP,NETHERLANDS,934
15,CULT ENERGY PRO CYCLING,CLT,DENMARK,"914,34"
16,BORA-ARGON 18,BOA,GERMANY,"866,25"
17,TEAM MARSEILLE 13 KTM,M13,FRANCE,852
18,ROUBAIX LILLE METROPOLE,RLM,FRANCE,832
19,TORKU SEKERSPOR,TRK,TURKEY,740
20,TEAM JOKER,TJO,NORWAY,"639,5"
21,TEAM FELBERMAYR SIMPLON WELS,RWS,AUSTRIA,"619,35"
22,BARDIANI CSF,BAR,ITALY,615
23,SYNERGY BAKU CYCLING PROJECT,BCP,AZERBAIJAN,591
24,AUBER 93,AUB,FRANCE,566
25,TEAM TREFOR - BLUE WATER,TBW,DENMARK,"539,67"
26,WALLONIE - BRUXELLES,WBC,BELGIUM,534
27,ROTH - SKODA,ROT,SWITZERLAND,512
28,W52 - QUINTA DA LIXA,W52,PORTUGAL,490
29,CYCLINGTEAM JO PIELS,CJP,NETHERLANDS,487
30,UNIEURO WILIER,UNI,ITALY,483
31,ACTIVEJET TEAM,AJT,POLAND,474
32,RABOBANK DEVELOPMENT TEAM,RDT,NETHERLANDS,459
33,PARKHOTEL VALKENBURG CONTINENTAL TEAM,PVC,NETHERLANDS,451
34,ANDRONI GIOCATTOLI - SIDERMEC,AND,ITALY,445
35,TEAM KATUSHA,KAT,RUSSIAN FEDERATION,436
36,TEAM IDEA 2010 ASD,IDE,ITALY,408
37,AMPLATZ-BMC,AMP,AUSTRIA,406
38,,,,403
39,WHIRLPOOL - AUTHOR,WHI,CZECH REPUBLIC,393
40,LOKOSPHINX,LOK,RUSSIAN FEDERATION,388
41,NIPPO - VINI FANTINI,NIP,ITALY,386
42,METEC - TKH CONTINENTAL CYCLINGTEAM P/B MANTEL,MET,NETHERLANDS,375
43,AN POST - CHAINREACTION,SKT,IRELAND,372
44,TEAM VORARLBERG,VBG,AUSTRIA,359
45,TEAM COOP-OSTER HUS,COH,NORWAY,358
46,AWT GREENWAY,AWT,CZECH REPUBLIC,350
47,SEG RACING,SEG,NETHERLANDS,324
48,CYCLINGTEAM JOIN'S - DE RIJKE,RIJ,NETHERLANDS,323
49,EFAPEL,EFP,PORTUGAL,294
50,COLOMBIA,COL,COLOMBIA,289
51,TEAM COLOQUICK,TCQ,DENMARK,"285,67"
52,TIROL CYCLING TEAM,TIR,AUSTRIA,272
52,TEAM WIGGINS,WGN,GREAT BRITAIN,272
54,EQUIPE CYCLISTE DE L'ARMEE DE TERRE,ADT,FRANCE,268
55,NANKANG DYNATEK,NAN,SERBIA,229
56,CYCLING ACADEMY TEAM,CAT,ISRAEL,222
57,MG.KVIS-VEGA,VHS,ITALY,211
58,TEAM STÖLTING,STG,GERMANY,207
