Rank,Name,Team Code,Nationality,Points
1,WANTY - GROUPE GOBERT,WGG,BELGIUM,4043
2,"COFIDIS, SOLUTIONS CREDITS",COF,FRANCE,3434
3,ANDRONI GIOCATTOLI - SIDERMEC,ANS,ITALY,3012
4,DIRECT ENERGIE,TDE,FRANCE,2846
5,ROOMPOT - NEDERLANDSE LOTERIJ,RNL,NETHERLANDS,2747
6,CCC SPRANDI POLKOWICE,CCC,POLAND,"2304,97"
7,ISRAEL CYCLING ACADEMY,ICA,ISRAEL,"2266,71"
8,SPORT VLAANDEREN - BALOISE,SVB,BELGIUM,2007
9,NIPPO - VINI FANTINI - EUROPA OVINI,NIP,ITALY,"1956,2"
10,WB AQUA PROTECT VERANCLASSIC,WVA,BELGIUM,1840
11,VITAL CONCEPT CYCLING CLUB,VCC,FRANCE,1719
12,VERANDA'S WILLEMS - CRELAN,VWC,BELGIUM,1680
13,EUSKADI BASQUE COUNTRY - MURIAS,EUS,SPAIN,1585
14,ELKOV - AUTHOR,ELA,CZECH REPUBLIC,1406
15,TEAM FORTUNEO - SAMSIC,FST,FRANCE,1355
16,SEG RACING ACADEMY,SEG,NETHERLANDS,1312
17,DELKO MARSEILLE PROVENCE KTM,DMP,FRANCE,1288
18,CIBEL - CEBON,CIB,BELGIUM,1247
19,HAGENS BERMAN AXEON,HBA,UNITED STATES OF AMERICA,"1184,5"
20,AQUA BLUE SPORT,ABS,IRELAND,"1180,5"
21,ST MICHEL - AUBER 93,AUB,FRANCE,1146
22,LEOPARD PRO CYCLING,LPC,LUXEMBOURG,1104
23,GAZPROM - RUSVELO,GAZ,RUSSIAN FEDERATION,1080
24,TORKU SEKERSPOR,TRK,TURKEY,1060
25,TEAM VORARLBERG SANTIC,VOL,AUSTRIA,1047
26,BARDIANI CSF,BRD,ITALY,1023
27,DEVELOPMENT TEAM SUNWEB,DSU,GERMANY,1010
28,MINSK CYCLING CLUB,MCC,BELARUS,997
