Rank,Name,Team Code,Nationality,Points
1,TEAM SD WORX,SDW,NETHERLANDS,"11629,01"
2,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,"11277,65"
3,TEAM DSM,DSM,NETHERLANDS,"10671,33"
4,FDJ SUEZ FUTUROSCOPE,FSF,FRANCE,"9838,33"
5,MOVISTAR TEAM WOMEN,MOV,SPAIN,"9378,98"
6,CANYON//SRAM RACING,CSR,GERMANY,"7111,67"
7,UAE TEAM ADQ,UAD,UNITED ARAB EMIRATES,6027
8,VALCAR - TRAVEL & SERVICE,VAL,ITALY,5975
9,TEAM BIKEEXCHANGE - JAYCO,BEX,AUSTRALIA,"5298,69"
10,TEAM JUMBO-VISMA,JVW,NETHERLANDS,"4815,36"
11,EF EDUCATION - TIBCO - SVB,TIB,UNITED STATES OF AMERICA,"3016,01"
12,PLANTUR-PURA,PLP,BELGIUM,"2884,33"
13,LIV RACING XSTRA,LIV,NETHERLANDS,2575
14,CERATIZIT - WNT PRO CYCLING TEAM,WNT,GERMANY,"2401,33"
15,LE COL WAHOO,LEW,GREAT BRITAIN,2327
16,PARKHOTEL VALKENBURG,PHV,NETHERLANDS,2157
17,ATOM DEWELOPER  POSCIELLUX.PL   WROCŁAW,APW,POLAND,1564
18,ROLAND COGEAS EDELWEISS SQUAD,CGS,SWITZERLAND,"1380,8"
19,AG INSURANCE - NXTG TEAM,AGI,NETHERLANDS,1360
20,TEAM COOP-HITEC PRODUCTS,HPU,NORWAY,1247
21,TASHKENT CITY WOMEN PROFESSIONAL CYCLING TEAM,TCW,UZBEKISTAN,1052
22,IBCT,IBC,IRELAND,1004
23,ST MICHEL - AUBER 93,AUB,FRANCE,"1000,33"
24,UNO-X PRO CYCLING TEAM,UXT,NORWAY,"995,66"
25,CANYON//SRAM GENERATION,CSG,GERMANY,978
26,BEPINK,BPK,ITALY,"951,32"
27,HUMAN POWERED HEALTH,HPW,UNITED STATES OF AMERICA,914
28,COFIDIS WOMEN TEAM,COF,FRANCE,860
29,ARKEA PRO CYCLING TEAM,ARK,FRANCE,855
30,COLOMBIA TIERRA DE ATLETAS GW SHIMANO,CTF,COLOMBIA,780
31,MASSI TACTIC WOMEN'S TEAM,MAT,SPAIN,713
32,BINGOAL CASINO - CHEVALMEIRE - VAN EYCK SPORT,BCV,BELGIUM,645
33,BIZKAIA-DURANGO,BDU,SPAIN,620
34,THAILAND WOMEN'S CYCLING TEAM,TWC,THAILAND,508
35,ANDY SCHLECK - CP NVST - IMMO LOSCH,ASC,LUXEMBOURG,493
36,STADE ROCHELAIS CHARENTE MARITIME,SRC,FRANCE,478
37,TOP GIRLS FASSA BORTOLO,TOP,ITALY,465
38,ENEICAT-RBH GLOBAL,EIC,SPAIN,412
39,SOPELA WOMEN'S TEAM,SWT,SPAIN,407
40,AROMITALIA BASSO BIKES VAIANO,VAI,ITALY,396
41,DNA PRO CYCLING TEAM,DNA,UNITED STATES OF AMERICA,391
42,MULTUM ACCOUNTANTS LADIES CYCLING TEAM,MUL,BELGIUM,370
43,TEAM FARTO - BTC,FAR,SPAIN,348
44,LOTTO SOUDAL LADIES,LSL,BELGIUM,257
45,ROXSOLT LIV SRAM,RXS,AUSTRALIA,235
46,GT  KRUSH TUNAP PRO CYCLING,GKT,NETHERLANDS,233
47,TORELLI - CAYMAN ISLANDS - SCIMITAR,TOR,IRELAND,182
48,EMOTIONAL.FR TORNATECH GSC BLAGNAC,ETB,CANADA,182
49,BTC CITY LJUBLJANA SCOTT,BTC,SLOVENIA,161
50,LABORAL KUTXA - FUNDACION EUSKADI,LKF,SPAIN,"157,67"
51,SOLTEC TEAM,STC,SPAIN,"136,33"
52,ISOLMANT - PREMAC - VITTORIA,SBT,ITALY,131
53,WCC TEAM,WCC,STATELESS,"101,16"
54,CAMS-BASSO,CAT,GREAT BRITAIN,99
55,INSTAFUND RACING,ILP,CANADA,93
56,TEAM ILLUMINATE,ILU,UNITED STATES OF AMERICA,80
57,BORN TO WIN G20 AMBEDO,BTW,ITALY,70
58,AWOL OSHEA,AWO,GREAT BRITAIN,47
59,MINSK CYCLING CLUB,MCC,BELARUS,31
60,RIO MIERA - CANTABRIA DEPORTE,RMC,SPAIN,17
61,TEAM MENDELSPECK,MDS,ITALY,11
62,SERVETTO - MAKHYMO - BELTRAMI TSA,SER,ITALY,5
