Rank,Name,Team Code,Nationality,Points
1,MOVISTAR TEAM,MOV,SPAIN,1440
2,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,1212
3,TINKOFF-SAXO,TCS,RUSSIAN FEDERATION,1186
4,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,OPQ,BELGIUM,1016
5,ORICA GreenEDGE,OGE,AUSTRALIA,953
6,TEAM KATUSHA,KAT,RUSSIAN FEDERATION,938
7,AG2R LA MONDIALE,ALM,FRANCE,919
8,TEAM GIANT-SHIMANO,GIA,NETHERLANDS,905
9,TEAM SKY,SKY,GREAT BRITAIN,890
10,ASTANA PRO TEAM,AST,KAZAKHSTAN,823
11,GARMIN SHARP,GRS,UNITED STATES OF AMERICA,807
12,BELKIN-PRO CYCLING TEAM,BEL,NETHERLANDS,795
13,TREK FACTORY RACING,TFR,UNITED STATES OF AMERICA,759
14,LAMPRE-MERIDA,LAM,ITALY,706
15,LOTTO BELISOL,LTB,BELGIUM,590
16,FDJ.fr,FDJ,FRANCE,505
17,CANNONDALE,CAN,ITALY,456
18,TEAM EUROPCAR,EUC,FRANCE,271
