Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10001198134,MIZBANI IRANAGH Ghader,ISLAMIC REPUBLIC OF IRAN,TPT,34,"384,5"
2,10001157213,MIZUROV Andrey,KAZAKHSTAN,TPT,36,"368,5"
3,10061377237,CHPILEVSKI Boris,RUSSIAN FEDERATION,,27,254
4,10001183986,FOFONOV Dmitriy,KAZAKHSTAN,,33,242
5,10003070335,IGLINSKIY Valentin,KAZAKHSTAN,,25,217
6,10003401852,BEN HASSINE Aymen,TUNISIA,DOT,29,"179,66"
7,10004707110,HANNACHI Abdelbaset,ALGERIA,DOT,24,178
8,10002056784,MIYAZAWA Takashi,JAPAN,EQA,31,161
9,10003094381,NISHITANI Taiji,JAPAN,AIS,28,"152,25"
10,10003326070,CRAWFORD Jai,AUSTRALIA,SLV,26,146
11,10002084268,ZARGARI Amir,ISLAMIC REPUBLIC OF IRAN,IAU,29,145
12,10002751144,GAVAZZI Mattia,ITALY,SDA,26,142
13,10002480655,SERPA PEREZ Jose Rodolfo,COLOMBIA,SDA,30,140
14,10003248268,CHTIOUI Rafaa,TUNISIA,DOT,23,114
15,10002201375,SUZUKI Shinri,JAPAN,SMN,35,114
16,10003212094,KOCJAN Jure,SLOVENIA,CMO,25,114
17,10004545341,VAN HEERDEN Christoff,SOUTH AFRICA,MTN,24,96
18,10004527759,MANAN Anuar,MALAYSIA,IAU,23,94
19,10005377622,PARK Seonho,KOREA,SCT,25,91
20,10007419470,EMAMI Rahim,ISLAMIC REPUBLIC OF IRAN,,27,90
21,10002473682,HASANIN Omar,SYRIAN ARAB REPUBLIC,DOT,31,90
22,10002628882,M'RAIHI Ahmed,TUNISIA,,31,"85,66"
23,10001464377,MAHORIČ Mitja,SLOVENIA,RAR,33,85
24,10002227445,SOHRABI Mehdi,ISLAMIC REPUBLIC OF IRAN,TPT,28,"84,5"
25,10006189186,ROE Timothy,AUSTRALIA,SLV,20,84
26,10002711435,HAUSSLER Heinrich,GERMANY,CTT,25,84
27,10001299174,ROGINA Radoslav,CROATIA,LOB,30,84
28,10004593437,NATEGHI Mahdi,ISLAMIC REPUBLIC OF IRAN,IAU,22,83
29,10003216037,LYALKO Alexey,KAZAKHSTAN,,24,"74,66"
30,10001414059,WACKER Eugen,KYRGYZSTAN,IAU,35,72
31,10008856585,MCCANN David,IRELAND,,36,72
32,10002293224,SHIMIZU Miyataka,JAPAN,EQA,28,71
33,10001216625,WONG Kam-Po,"HONG KONG, CHINA",,36,71
34,10002504705,TUYCHIEV Vladimir,UZBEKISTAN,,26,69
35,10003042346,XU Gang,PEOPLE'S REPUBLIC OF CHINA,MSS,25,69
36,10001199144,ASKARI Hossein,ISLAMIC REPUBLIC OF IRAN,TPT,34,69
37,10004828459,GRUZDEV Dmitriy,KAZAKHSTAN,,23,69
38,10001547334,JEZOWSKI Krzysztof,POLAND,CCC,34,65
