Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10004598891,DEIGNAN Elizabeth,GREAT BRITAIN,TFS,32,"1622,33"
2,10007614985,LONGO BORGHINI Elisa,ITALY,TFS,29,"1567,33"
3,10004602935,BRENNAUER Lisa,GERMANY,WNT,32,"1424,67"
4,10005972655,VAN DER BREGGEN Anna,NETHERLANDS,DLT,30,"1221,67"
5,10007350459,KOPECKY Lotte,BELGIUM,LSL,25,1050
6,10003114488,VOS Marianne,NETHERLANDS,CCC,33,"974,5"
7,10006065514,VAN VLEUTEN Annemiek,NETHERLANDS,MTS,38,926
8,10015146633,VOLLERING Demi,NETHERLANDS,PHV,24,856
9,10014049523,LIPPERT Liane,GERMANY,SUN,22,"838,33"
10,10008683807,LUDWIG Cecilie,DENMARK,FDJ,25,832
11,10014173300,WIEBES Lorena,NETHERLANDS,SUN,21,814
12,10009457076,ROY Sarah,AUSTRALIA,MTS,34,777
13,10008682490,NIEWIADOMA Katarzyna,POLAND,CSR,26,747
14,10003264335,VAN DIJK Ellen,NETHERLANDS,TFS,33,"718,33"
15,10004779252,PIETERS Amy,NETHERLANDS,DLT,29,"704,67"
16,10005498264,VAN DEN BROEK-BLAAK Chantal,NETHERLANDS,DLT,31,"510,67"
17,10015011843,HARVEY Mikayla,NEW ZEALAND,EPK,22,"501,17"
18,10006456443,KIRCHMANN Leah,CANADA,SUN,30,"463,33"
19,10039854755,GARCIA CAÑELLAS Margarita Victo,SPAIN,ALE,36,"459,33"
20,10004779050,D'HOORE Jolien,BELGIUM,DLT,30,"454,67"
21,10018611755,BANKS Elizabeth,GREAT BRITAIN,EPK,30,"454,17"
22,10011143260,CAVALLI Marta,ITALY,VAL,22,426
23,10014329207,BROWN Grace,AUSTRALIA,MTS,28,421
24,10008838401,STEPHENS Lauren,UNITED STATES OF AMERICA,TIB,34,400
25,10006919619,MOOLMAN-PASIO Ashleigh,SOUTH AFRICA,CCC,35,"368,5"
26,10007199808,SIERRA CANADILLA Arlenis,CUBA,ASA,28,354
27,10003267163,BASTIANELLI Marta,ITALY,ALE,33,326
28,10003270601,SPRATT Amanda,AUSTRALIA,MTS,33,311
29,10015660026,CONSONNI Chiara,ITALY,VAL,21,301
30,10010182657,BALSAMO Elisa,ITALY,VAL,22,290
31,10010118292,THOMAS Leah,UNITED STATES OF AMERICA,EPK,31,276
32,10007348237,BARNES Hannah,GREAT BRITAIN,CSR,27,275
33,10008130503,BARNES Alice,GREAT BRITAIN,CSR,25,250
