Rank;UCI ID;Name;Nationality;Team Code;Age;Points
402;10008906301;PETILLI Simone;ITALY;UAD;25;5
403;10006477762;LUDVIGSSON Tobias;SWEDEN;GFC;27;5
404;10007491717;DOMBROWSKI Joseph Lloyd;UNITED STATES OF AMERICA;EFD;27;5
405;10003245339;MARCZYNSKI Tomasz;POLAND;LTS;34;4,43
406;10005969524;DUVAL Julien;FRANCE;ALM;28;4
407;10006570924;REIJNEN Kiel;UNITED STATES OF AMERICA;TFS;32;3
408;10009416357;SMIT Willem Jakobus;SOUTH AFRICA;TKA;26;3
409;10001546324;EISEL Bernhard;AUSTRIA;DDD;37;2
410;10003037191;LEEZER Thomas;NETHERLANDS;TLJ;33;2
411;10009774146;KÄMNA Lennard;GERMANY;SUN;22;2
412;10007864155;DEBESAY Mekseb;ERITREA;DDD;27;2
413;10007218905;KOZHATAYEV Bakhtiyar;KAZAKHSTAN;AST;26;2
414;10004798248;SINKELDAM Ramon;NETHERLANDS;GFC;29;1
415;10008897712;DOUGALL Nicolas;SOUTH AFRICA;DDD;26;1
416;10006884253;MAGNUSSON Kim;SWEDEN;EFD;26;1
417;10008669760;DIBBEN Jonathan;GREAT BRITAIN;SKY;24;1
418;10007881333;HAGA Chad;UNITED STATES OF AMERICA;SUN;30;0,62
