Rank,Name,Team Code,Nationality,Points
1,TEAM JAYCO-AIS,JAI,AUSTRALIA,218
2,GENESYS WEALTH ADVISERS,GEN,AUSTRALIA,131
3,,,,65
4,PUREBLACK RACING,PBR,NEW ZEALAND,62
5,DRAPAC CYCLING,DPC,AUSTRALIA,43
6,TEAM BUDGET FORKLIFTS,BFL,AUSTRALIA,32
7,V AUSTRALIA,VAU,AUSTRALIA,30
8,JELLY BELLY CYCLING,JBC,UNITED STATES OF AMERICA,20
9,MANISASPOR CYCLING TEAM,MNS,TURKEY,16
10,SUBWAY CYCLING TEAM,SUB,NEW ZEALAND,8
11,KENDA - 5-HOUR ENERGY CYCLING TEAM,KPC,UNITED STATES OF AMERICA,5
12,MARCO POLO CYCLING TEAM,MPC,PEOPLE'S REPUBLIC OF CHINA,5
13,ENDURA RACING,EDR,GREAT BRITAIN,4
