Rank,Name,Team Code,Nationality,Points
1,SAUR - SOJASUN,SAU,FRANCE,1667
2,TEAM ARGOS - SHIMANO,ARG,NETHERLANDS,1615
3,ACQUA & SAPONE,ASA,ITALY,1495
4,ANDRONI GIOCATTOLI - VENEZUELA,AND,ITALY,"1482,4"
5,KATUSHA TEAM,KAT,RUSSIAN FEDERATION,1254
6,ENDURA RACING,EDR,GREAT BRITAIN,"1161,2"
7,"COFIDIS, LE CREDIT EN LIGNE",COF,FRANCE,1149
8,TEAM EUROPCAR,EUC,FRANCE,1105
9,TEAM NETAPP,APP,GERMANY,"1102,55"
10,ADRIA MOBIL,ADR,SLOVENIA,1044
11,COLNAGO - CSF INOX,COG,IRELAND,"1033,8"
12,,,,1007
13,BRETAGNE - SCHULLER,BSC,FRANCE,997
14,FARNESE VINI - SELLE ITALIA,FAR,GREAT BRITAIN,"945,6"
15,RABOBANK CONTINENTAL TEAM,RB3,NETHERLANDS,881
16,AN POST - SEAN KELLY,SKT,BELGIUM,879
17,LEOPARD - TREK CONTINENTAL TEAM,LET,LUXEMBOURG,769
18,TEAM TYPE 1 - SANOFI,TT1,UNITED STATES OF AMERICA,729
19,LANDBOUWKREDIET - EUPHONY,LAN,BELGIUM,674
20,ACCENT JOBS - WILLEMS VERANDA'S,ACC,BELGIUM,626
21,CAJA RURAL,CJR,SPAIN,576
22,RUSVELO,RVL,RUSSIAN FEDERATION,569
23,CCC POLSAT POLKOWICE,CCC,POLAND,558
24,TEAM JAYCO - AIS,JAI,AUSTRALIA,500
25,TEAM IDEA,IDE,ITALY,464
26,COLOMBIA - COLDEPORTES,COL,COLOMBIA,453
27,CONTINENTAL TEAM ASTANA,AS2,KAZAKHSTAN,450
28,MERIDIANA KAMEN TEAM,MKT,CROATIA,449
29,TEAM VORARLBERG,VBG,AUSTRIA,430
30,LA POMME MARSEILLE,LPM,FRANCE,412
31,GLUD & MARSTRAND - LRO,GLU,DENMARK,407
32,ISD - LAMPRE CONTINENTAL,ISD,UKRAINE,"402,6"
33,SPIDERTECH POWERED BY C10,SPI,CANADA,402
33,TUSNAD CYCLING TEAM,TCT,ROMANIA,402
35,VERANDA RIDEAU - SUPER U,VRU,FRANCE,"395,5"
36,RADENSKA,RAR,SLOVENIA,379
37,EFAPEL - GLASSDRIVE,EFG,PORTUGAL,366
38,BANK BGZ,BGZ,POLAND,364
39,MTN QHUBEKA,MTN,SOUTH AFRICA,360
40,UNITEDHEALTHCARE PRO CYCLING TEAM,UHC,UNITED STATES OF AMERICA,356
41,AUBER 93,AUB,FRANCE,349
42,SP TABLEWARE CYCLING TEAM,SPT,GREECE,326
43,CYCLINGTEAM DE RIJKE - SHANKS,RIJ,NETHERLANDS,316
44,BOFROST - STERIA,BSL,BELGIUM,313
44,CHRISTINA WATCHES - ONFONE,CWO,DENMARK,313
46,TEAM CYKELCITY.SE,TCC,SWEDEN,312
47,TIROL CYCLING TEAM,TIR,AUSTRIA,311
48,ROUBAIX LILLE METROPOLE,RLM,FRANCE,304
