Rank,Name,Team Code,Nationality,Points
1,TEAM SD WORX,SDW,NETHERLANDS,8572
2,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,5263
3,MOVISTAR TEAM WOMEN,MOV,SPAIN,5043
4,FDJ NOUVELLE-AQUITAINE FUTUROSCOPE,FDJ,FRANCE,3957
5,TEAM DSM,DSM,GERMANY,3684
6,CANYON//SRAM RACING,CSR,GERMANY,3388
7,ALE' BTC LJUBLJANA,ALE,ITALY,3364
8,JUMBO-VISMA WOMEN TEAM,JVW,NETHERLANDS,3319
9,LIV RACING,LIV,NETHERLANDS,3226
10,TEAM BIKEEXCHANGE,BEX,AUSTRALIA,2267
11,VALCAR - TRAVEL & SERVICE,VAL,ITALY,1583
12,CERATIZIT - WNT PRO CYCLING TEAM,WNT,GERMANY,1470
13,TEAM TIBCO - SILICON VALLEY BANK,TIB,UNITED STATES OF AMERICA,1300
14,PARKHOTEL VALKENBURG,PHV,NETHERLANDS,582
15,A.R. MONEX WOMEN'S PRO CYCLING TEAM,MNX,ITALY,488
16,ARKEA PRO CYCLING TEAM,ARK,FRANCE,376
17,DROPS-LE COL SUPPORTED BY TEMPUR,DRP,GREAT BRITAIN,322
18,RALLY CYCLING,RLW,UNITED STATES OF AMERICA,320
19,NXTG RACING,NXG,NETHERLANDS,130
20,LOTTO SOUDAL LADIES,LSL,BELGIUM,128
21,PLANTUR-PURA,PLP,BELGIUM,120
22,MASSI TACTIC WOMEN TEAM,MAT,SPAIN,88
23,TEAM COOP-HITEC PRODUCTS,HPU,NORWAY,50
24,TOP GIRLS FASSA BORTOLO,TOP,ITALY,48
25,BINGOAL CASINO - CHEVALMEIRE,CCT,BELGIUM,48
26,WOMEN CYCLING SPORT,WCS,SPAIN,44
27,COGEAS METTLER LOOK PRO CYCLING TEAM,CGS,RUSSIAN FEDERATION,40
28,BIZKAIA - DURANGO,BDU,SPAIN,36
29,BEPINK,BPK,ITALY,36
30,STADE ROCHELAIS CHARENTE- MARITIME WOMEN CYCLING,SRC,FRANCE,32
31,CAMS-BASSO,CAT,GREAT BRITAIN,24
32,DOLTCINI - VAN EYCK - PROXIMUS CONTINENTAL TEAM,DVE,BELGIUM,16
33,GT KRUSH TUNAP PRO CYCLING,GKT,NETHERLANDS,16
33,ENEICAT - RBH GLOBAL - MARTIN VILLA,EIC,SPAIN,16
35,MULTUM ACCOUNTANTS LADIES CYCLING TEAM,MUL,BELGIUM,8
35,LABORAL KUTXA - FUNDACION EUSKADI,LKF,SPAIN,8
35,ANDY SCHLECK - CP NVST - IMMO LOSCH,ASC,LUXEMBOURG,8
