Rank,Name,Team Code,Nationality,Points
1,ASTANA,AST,KAZAKHSTAN,1100
2,CAISSE D'EPARGNE,GCE,SPAIN,1048
3,TEAM COLUMBIA - HTC,THR,UNITED STATES OF AMERICA,957
4,TEAM SAXO BANK,SAX,DENMARK,946
5,LIQUIGAS,LIQ,ITALY,923
6,SILENCE-LOTTO,SIL,BELGIUM,821
7,CERVELO TEST TEAM,CWT,GERMANY,804
8,QUICK STEP,QST,BELGIUM,760
9,RABOBANK,RAB,NETHERLANDS,707
10,TEAM KATUSHA,KAT,RUSSIAN FEDERATION,637
11,GARMIN - SLIPSTREAM,GRM,UNITED STATES OF AMERICA,632
12,EUSKALTEL - EUSKADI,EUS,SPAIN,631
13,LAMPRE - N.G.C,LAM,ITALY,465
14,SERRAMENTI PVC DIQUIGIOVANNI-ANDRONI GIOCATTOLI,SDA,ITALY,379
15,ACQUA & SAPONE - CAFFE MOKAMBO,ASA,ITALY,249
16,FRANÇAISE DES JEUX,FDJ,FRANCE,238
17,AG2R LA MONDIALE,ALM,FRANCE,206
18,TEAM MILRAM,MRM,GERMANY,182
19,BBOX BOUYGUES TELECOM,BBO,FRANCE,170
20,"COFIDIS, LE CREDIT EN LIGNE",COF,FRANCE,166
21,VACANSOLEIL PRO CYCLING TEAM,VAC,NETHERLANDS,158
22,XACOBEO GALICIA,XAC,SPAIN,128
23,FUJI-SERVETTO,FUJ,SPAIN,114
24,,,,102
25,AGRITUBEL,AGR,FRANCE,34
26,SKIL-SHIMANO,SKS,NETHERLANDS,33
27,CERAMICA FLAMINIA - BOSSINI DOCCE,FLM,IRELAND,26
28,CONTENTPOLIS-AMPO,MCO,SPAIN,24
29,ANDALUCIA CAJASUR,ACA,SPAIN,21
30,BARLOWORLD,BAR,GREAT BRITAIN,20
31,,,,11
32,LANDBOUWKREDIET - COLNAGO,LAN,BELGIUM,4
33,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,4
34,ISD - NERI,ISD,GREAT BRITAIN,3
