Rank,Name,Team Code,Nationality,Points
1,TEAM SAXO BANK,SAX,DENMARK,1055
2,LIQUIGAS-DOIMO,LIQ,ITALY,1006
3,RABOBANK,RAB,NETHERLANDS,946
4,TEAM KATUSHA,KAT,RUSSIAN FEDERATION,910
5,TEAM HTC - COLUMBIA,THR,UNITED STATES OF AMERICA,855
6,GARMIN - TRANSITIONS,GRM,UNITED STATES OF AMERICA,849
7,OMEGA PHARMA-LOTTO,OLO,BELGIUM,784
8,ASTANA,AST,KAZAKHSTAN,768
9,CAISSE D'EPARGNE,GCE,SPAIN,721
10,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,661
11,TEAM RADIOSHACK,RSH,UNITED STATES OF AMERICA,635
12,CERVELO TEST TEAM,CWT,NETHERLANDS,618
13,EUSKALTEL - EUSKADI,EUS,SPAIN,605
14,LAMPRE-FARNESE VINI,LAM,ITALY,535
15,SKY PROFESSIONAL CYCLING TEAM,SKY,GREAT BRITAIN,435
16,QUICK STEP,QST,BELGIUM,325
17,ANDRONI GIOCATTOLI - SERRAMENTI PVC DIQUIGIOVANNI,AND,ITALY,323
18,AG2R LA MONDIALE,ALM,FRANCE,267
19,BBOX BOUYGUES TELECOM,BTL,FRANCE,231
20,"COFIDIS, LE CREDIT EN LIGNE",COF,FRANCE,227
21,XACOBEO GALICIA,XAC,SPAIN,198
22,FDJ,FDJ,FRANCE,175
23,ACQUA & SAPONE - D'ANGELO & ANTENUCCI,ASA,ITALY,134
24,VACANSOLEIL PRO CYCLING TEAM,VAC,NETHERLANDS,130
25,COLNAGO - CSF INOX,COG,IRELAND,119
26,TEAM MILRAM,MRM,GERMANY,118
27,SAUR - SOJASUN,SAU,FRANCE,63
28,,,,63
29,FOOTON-SERVETTO,FOT,SPAIN,43
30,LANDBOUWKREDIET,LAN,BELGIUM,40
31,SKIL - SHIMANO,SKS,NETHERLANDS,16
32,ANDALUCIA - CAJASUR,ACA,SPAIN,1
