Rank,UCI ID,Name,Nationality,Team Code,Age,Points
92,10005390352,PELUCCHI Matteo,ITALY,EUC,23,127
93,10006467153,FLAKSIS Andzs,LATVIA,CDT,21,126
94,10002694358,VEELERS Tom,NETHERLANDS,ARG,28,124
95,10007175859,DE LA CRUZ MELGAREJO David,SPAIN,CJR,23,123
96,10005391564,BRÄNDLE Matthias,AUSTRIA,APP,23,"122,95"
97,10004509369,BRAMBILLA Giorgio,ITALY,LET,24,121
98,10005489271,HARDY Romain,FRANCE,BSC,24,121
99,10007158580,SERRY Pieter,BELGIUM,TSV,24,121
100,10001499036,TAMOURIDIS Ioannis,GREECE,SPT,32,120
101,10003193304,ISTA Kevyn,BELGIUM,ACC,28,120
102,10004556253,ARASHIRO Yukiya,JAPAN,EUC,28,119
103,10005383177,PAKHTUSOV Anatoliy,UKRAINE,ISD,27,"118,4"
104,10003264941,TLEUBAYEV Ruslan,KAZAKHSTAN,AS2,25,"116,5"
105,10050785746,POLANC Jan,SLOVENIA,RAR,20,116
106,10005711765,BIDEAU Jean Marc,FRANCE,BSC,28,116
107,10003223414,KOCHETKOV Pavel,RUSSIAN FEDERATION,TIK,26,116
108,10003274439,DUARTE AREVALO Fabio Andres,COLOMBIA,COL,26,115
109,10006492112,BAZHKOU Stanislau,BELARUS,,21,115
110,10054441939,VOß Paul,GERMANY,EDR,26,"113,45"
111,10004680333,EL FARES Julien,FRANCE,TT1,27,113
112,10007387946,CLAEYS Kevin,BELGIUM,LAN,24,112
113,10003096001,STROETINGA Wim,NETHERLANDS,KOG,27,112
114,10002928774,MANDRI Rene,ESTONIA,EDR,28,"110,45"
115,10004613746,FURDI Blaz,SLOVENIA,TIR,24,110
116,10003269688,ĐURASEK Kristijan,CROATIA,ADR,25,109
117,10008700880,VILLELLA Davide,ITALY,,21,109
118,10005345589,TURGOT Sébastien,FRANCE,EUC,28,109
119,10006632760,DALL'OSTE Daniele,ITALY,,21,108
120,10002834202,CHAVANEL Sebastien,FRANCE,EUC,31,108
121,10051411596,GARCIA ETXEGIBEL Egoitz,SPAIN,,26,107
122,10005973059,AHLSTRAND Jonas,SWEDEN,TCC,22,106
123,10005334778,LEVARLET Guillaume,FRANCE,SAU,27,106
124,10005587685,LASCA Francesco,ITALY,CJR,24,106
125,10006479782,ARNDT Nikias,GERMANY,LKT,21,"105,5"
126,10002089726,BERTHOU Eric,FRANCE,BSC,32,105
127,10002908162,HADDOU Saïd,FRANCE,EUC,30,105
128,10003108933,BLAIN Alexandre,FRANCE,EDR,31,104
129,10005902230,DUPONT Timothy,BELGIUM,BSL,25,103
130,10007452816,DE LA PARTE Victor,SPAIN,SPT,26,102
131,10006569611,BONGIORNO Francesco Manuel,ITALY,,22,101
132,10006914969,VAN POPPEL Danny,NETHERLANDS,RB3,19,101
133,10007389259,DUMOULIN Tom,NETHERLANDS,ARG,22,101
134,10006486452,TRATNIK Jan,SLOVENIA,RAR,22,100
135,10007755435,JANS Roy,BELGIUM,SKT,22,100
136,10006808168,BERTILSSON Christian,SWEDEN,TCC,21,100
137,10005483211,FAVILLI Elia,ITALY,FAR,23,"98,4"
