Rank,Name,Team Code,Nationality,Points
1,MOVISTAR TEAM,MOV,SPAIN,1471
2,TINKOFF,TNK,RUSSIAN FEDERATION,1361
3,TEAM SKY,SKY,GREAT BRITAIN,1187
4,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,1128
5,ORICA-BIKEEXCHANGE,OBE,AUSTRALIA,909
6,TEAM KATUSHA,KAT,RUSSIAN FEDERATION,789
7,ETIXX - QUICK STEP,EQS,BELGIUM,775
8,CANNONDALE-DRAPAC PRO CYCLING TEAM,CDT,UNITED STATES OF AMERICA,616
9,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,565
10,ASTANA PRO TEAM,AST,KAZAKHSTAN,539
11,FDJ,FDJ,FRANCE,516
12,TEAM LOTTO NL - JUMBO,TLJ,NETHERLANDS,506
13,AG2R LA MONDIALE,ALM,FRANCE,482
14,LOTTO SOUDAL,LTS,BELGIUM,463
15,LAMPRE - MERIDA,LAM,ITALY,442
16,TEAM GIANT - ALPECIN,TGA,GERMANY,435
17,IAM CYCLING,IAM,SWITZERLAND,418
18,TEAM DIMENSION DATA,DDD,SOUTH AFRICA,290
