Rank,Name,Team Code,Nationality,Points
1,BOELS DOLMANS CYCLINGTEAM,DLT,NETHERLANDS,4045
2,TEAM SUNWEB,SUN,NETHERLANDS,2999
3,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,"2547,98"
4,MITCHELTON SCOTT,MTS,AUSTRALIA,"2517,02"
5,CCC - LIV,CCC,NETHERLANDS,2451
6,CANYON / /SRAM RACING,CSR,GERMANY,"2215,02"
7,PARKHOTEL VALKENBURG,PHV,NETHERLANDS,"2058,65"
8,TEAM VIRTU CYCLING,TVC,DENMARK,1548
9,WNT ROTOR PRO CYCLING TEAM,WNT,GERMANY,"1504,35"
10,ALE CIPOLLINI,ALE,ITALY,1315
11,VALCAR CYLANCE CYCLING,VAL,ITALY,1236
12,BIGLA,BIG,DENMARK,"1115,98"
13,LOTTO SOUDAL LADIES,LSL,BELGIUM,706
14,MOVISTAR TEAM WOMEN,MOV,SPAIN,"694,98"
15,TEAM TIBCO - SILICON VALLEY BANK,TIB,UNITED STATES OF AMERICA,650
16,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,FDJ,FRANCE,637
17,BTC CITY LJUBLJANA,BTC,SLOVENIA,"511,02"
18,HITEC PRODUCTS - BIRK SPORT,HPU,NORWAY,416
19,ASTANA WOMEN'S TEAM,ASA,KAZAKHSTAN,239
20,THAILAND WOMEN'S CYCLING TEAM,TWC,THAILAND,190
21,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,DVE,BELGIUM,164
22,MINSK CYCLING CLUB,MCC,BELARUS,151
23,AROMITALIA - BASSO BIKES - VAIANO,VAI,ITALY,129
24,COGEAS METTLER LOOK PRO CYCLING TEAM,CGS,RUSSIAN FEDERATION,116
25,RALLY UHC CYCLING,RLW,UNITED STATES OF AMERICA,88
26,BEPINK,BPK,ITALY,74
27,SHO - AIR TWENTY20,T20,UNITED STATES OF AMERICA,69
28,CHINA LIV PRO CYCLING,GPC,"HONG KONG, CHINA",62
29,BIZKAIA - DURANGO,BDU,SPAIN,53
30,MEMORIAL - SANTOS,MEM,BRAZIL,50
31,LVIV CYCLING TEAM,LCW,UKRAINE,49
32,HEALTH MATE - LADIES TEAM,HMT,BELGIUM,30
33,DROPS,DRP,GREAT BRITAIN,27
34,HAGENS BERMAN / SUPERMINT,HBS,UNITED STATES OF AMERICA,24
35,SOPELA WOMEN'S TEAM,SWT,SPAIN,15
36,BIEHLER PRO CYCLING,BPC,NETHERLANDS,13
37,SERVETTO - PIUMATE - BELTRAMI TSA,SER,ITALY,11
38,EUROTARGET - BIANCHI - VITTORIA,SBT,ITALY,9
39,SWAPIT AGOLICO,SWA,MEXICO,8
40,MASSI - TACTIC WOMEN TEAM,MAT,SPAIN,8
41,WCC TEAM,WCC,STATELESS,5
