Rank,Name,Team Code,Nationality,Points
1,JUMBO - VISMA,TJV,NETHERLANDS,9919
2,DECEUNINCK  -  QUICK - STEP,DQT,BELGIUM,"9776,16"
3,UAE TEAM EMIRATES,UAD,UNITED ARAB EMIRATES,8503
4,INEOS GRENADIERS,IGD,GREAT BRITAIN,"7628,33"
5,TEAM SUNWEB,SUN,GERMANY,"7582,71"
6,BORA - HANSGROHE,BOH,GERMANY,"6738,5"
7,ASTANA PRO TEAM,AST,KAZAKHSTAN,6612
8,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,6591
9,GROUPAMA - FDJ,GFC,FRANCE,5614
10,EF PRO CYCLING,EF1,UNITED STATES OF AMERICA,"5576,99"
11,MITCHELTON - SCOTT,MTS,AUSTRALIA,4986
12,ALPECIN - FENIX,AFC,BELGIUM,4788
13,BAHRAIN - MCLAREN,TBM,BAHRAIN,4686
14,TEAM ARKEA - SAMSIC,ARK,FRANCE,3697
15,AG2R LA MONDIALE,ALM,FRANCE,3628
16,CCC TEAM,CCC,UNITED STATES OF AMERICA,3434
17,LOTTO SOUDAL,LTS,BELGIUM,3231
18,MOVISTAR TEAM,MOV,SPAIN,2953
19,COFIDIS,COF,FRANCE,2806
20,CIRCUS - WANTY GOBERT,CWG,BELGIUM,2778
21,NTT PRO CYCLING,NTT,SOUTH AFRICA,"2618,33"
22,ISRAEL START - UP NATION,ISN,ISRAEL,2358
23,NIPPO DELKO PROVENCE,NDP,FRANCE,1553
24,TOTAL DIRECT ENERGIE,TDE,FRANCE,1418
25,UNO - X PRO CYCLING TEAM,UXT,NORWAY,"1346,29"
26,B&B HOTELS - VITAL CONCEPT,BVC,FRANCE,1165
27,TEAM SAPURA CYCLING,TSC,MALAYSIA,1113
28,SPORT VLAANDEREN - BALOISE,SVB,BELGIUM,1109
29,ANDRONI GIOCATTOLI - SIDERMEC,ANS,ITALY,1024
30,VINI ZABU' BRADO KTM,THR,ITALY,"938,33"
31,RIWAL SECURITAS CYCLING TEAM,RIW,DENMARK,891
32,TERENGGANU INC. TSG CYCLING TEAM,TSG,MALAYSIA,864
33,MAZOWSZE SERCE POLSKI,MSP,POLAND,808
34,BINGOAL WB,WVA,BELGIUM,783
