Rank,Name,Team Code,Nationality,Points
1,RALLY CYCLING,RLY,UNITED STATES OF AMERICA,1089
2,HOLOWESKO / CITADEL RACING P/B HINCAPIE SPORTSWEAR,HCR,UNITED STATES OF AMERICA,689
3,UNITEDHEALTHCARE PROFESSIONAL CYCLING TEAM,UHC,UNITED STATES OF AMERICA,566
4,JELLY BELLY P/B MAXXIS,JBC,UNITED STATES OF AMERICA,436
5,EQUIPO DE CICLISMO COLDEPORTES ZENÚ,ECZ,COLOMBIA,428
6,CANEL'S - SPECIALIZED,CAS,MEXICO,387
7,SOUL BRASIL PRO CYCLING TEAM,SOU,BRAZIL,361
8,MEDELLIN - INDER,MED,COLOMBIA,341
9,SILBER PRO CYCLING,SPC,CANADA,329
10,AXEON HAGENS BERMAN,AHB,UNITED STATES OF AMERICA,307
11,LA ALUMINIOS / METALUSA BLACKJACK,LAA,PORTUGAL,179
12,MANZANA POSTOBON TEAM,MZN,COLOMBIA,170
13,INTEJA DOMINICAN CYCLING TEAM,DCT,DOMINICAN REPUBLIC,155
14,CHINA CONTINENTAL TEAM OF GANSU BANK,GCB,PEOPLE'S REPUBLIC OF CHINA,150
15,CAJA RURAL - SEGUROS RGA,CJR,SPAIN,144
16,UNIEURO TREVIGIANI - HEMUS 1896,UNI,BULGARIA,143
17,ANDRONI - SIDERMEC - BOTTECCHIA,ANS,ITALY,133
18,ASOCIATION CIVIL AGRUPACION VIRGEN DE FATIMA,AFT,ARGENTINA,110
19,BARDIANI CSF,BRD,ITALY,103
20,GARNEAU QUÉBECOR,GQC,CANADA,101
21,HANGAR 15 BICYCLES,CYN,UNITED STATES OF AMERICA,100
22,ISRAEL CYCLING ACADEMY,ICA,ISRAEL,98
23,BICICLETAS STRONGMAN,BSM,COLOMBIA,93
24,ELEVATE - KHS PRO CYCLING,ELV,UNITED STATES OF AMERICA,92
25,TEAM ILLUMINATE,ILU,UNITED STATES OF AMERICA,88
26,H&R BLOCK PRO CYCLING TEAM,HRB,CANADA,86
27,AQUA BLUE SPORT,ABS,IRELAND,80
28,AEVOLO,AVE,UNITED STATES OF AMERICA,80
29,TEAM ECUADOR,MTE,ECUADOR,77
30,NIPPO - VINI FANTINI,NIP,ITALY,68
31,EPM,EPM,COLOMBIA,66
32,EQUIPO CONTINENTAL MUNICIPALIDAD DE POCITO,EMP,ARGENTINA,56
33,SINDICATO DE EMPLEADOS PUBLICOS DE SAN JUAN,SEP,ARGENTINA,53
34,QINGHAI TIANYOUDE CYCLING TEAM,TYD,PEOPLE'S REPUBLIC OF CHINA,52
35,CYLANCE CYCLING,CPC,UNITED STATES OF AMERICA,51
36,DESTIL - JO PIELS CYCLING TEAM,DJP,NETHERLANDS,40
37,BURGOS BH,BBH,SPAIN,40
38,START VAXES CYCLING TEAM,STF,BOLIVIA,37
39,TEAM GIANT - CASTELLI,TGC,DENMARK,30
40,AMORE & VITA - SELLE SMP presented by FONDRIEST,AMO,ALBANIA,30
41,MASSI - KUWAIT CYCLING PROJECT,KCP,KUWAIT,25
42,GW SHIMANO,GWS,COLOMBIA,24
43,ITALOMAT - DOGO,CID,ARGENTINA,23
44,TORKU SEKERSPOR,TRK,TURKEY,20
45,FORTUNEO - OSCARO,TFO,FRANCE,15
46,TUSNAD CYCLING TEAM,TCT,ROMANIA,10
47,BRIDGESTONE ANCHOR CYCLING TEAM,BGT,JAPAN,7
48,DIRECT ENERGIE,DEN,FRANCE,5
49,WILIER TRIESTINA - SELLE ITALIA,WIL,ITALY,3
50,DRAPAC PAT'S VEG HOLISTIC DEVELOPMENT TEAM,DPV,AUSTRALIA,3
