Rank,Name,Team Code,Nationality,Points
1,PISHGAMAN GIANT TEAM,PKY,ISLAMIC REPUBLIC OF IRAN,915
2,TABRIZ SHAHRDARI TEAM,TST,ISLAMIC REPUBLIC OF IRAN,884
3,KOLSS-BDC TEAM,KLS,UKRAINE,794
4,VINO 4-EVER SKO,V4E,KAZAKHSTAN,631
5,TEAM UKYO,UKO,JAPAN,571
6,NIPPO - VINI FANTINI,NIP,ITALY,548
7,TERENGGANU CYCLING TEAM,TSG,MALAYSIA,455
8,AVANTI ISOWHEY SPORT,AIW,AUSTRALIA,436
9,DRAPAC PROFESSIONAL CYCLING,DPC,AUSTRALIA,393
10,KINAN CYCLING TEAM,KIN,JAPAN,355
11,SKYDIVE DUBAI PRO CYCLING TEAM - AL AHLI CLUB,SKD,UNITED ARAB EMIRATES,349
12,TEAM JOKER BYGGTORGET,TJB,NORWAY,320
13,UNITEDHEALTHCARE PROFESSIONAL CYCLING TEAM,UHC,UNITED STATES OF AMERICA,300
14,BRIDGESTONE ANCHOR CYCLING TEAM,BGT,JAPAN,295
15,RAD-NET ROSE TEAM,RNR,GERMANY,280
16,WILIER TRIESTINA - SOUTHEAST,WIL,ITALY,271
17,BORA-ARGON 18,BOA,GERMANY,250
18,ANDRONI GIOCATTOLI - SIDERMEC,AND,ITALY,249
19,UTSUNOMIA BLITZEN,BLZ,JAPAN,234
20,ONE PRO CYCLING,ONE,GREAT BRITAIN,227
21,,,,214
22,WISDOM - HENGXIANG CYCLING TEAM,HEN,PEOPLE'S REPUBLIC OF CHINA,210
23,SEOUL CYCLING TEAM,SCT,KOREA,205
24,KSPO,KSP,KOREA,193
25,HKSI PRO CYCLING TEAM,HKS,"HONG KONG, CHINA",190
26,SYNERGY BAKU CYCLING PROJECT,BCP,AZERBAIJAN,178
27,LX - IIBS CYCLING TEAM,LXC,KOREA,169
28,GEUMSAN INSAM CELLO,GIC,KOREA,162
29,ASTANA CITY,TSE,KAZAKHSTAN,158
30,ATTAQUE TEAM GUSTO,ATG,CHINESE TAIPEI,151
31,KLEIN CONSTANTIA,KLC,CZECH REPUBLIC,150
32,RTS-MONTON RACING TEAM,RTS,CHINESE TAIPEI,149
33,TEAM NOVO NORDISK,TNN,UNITED STATES OF AMERICA,146
34,PARKHOTEL VALKENBURG CONTINENTAL TEAM,PVC,NETHERLANDS,137
35,UNIEURO WILIER,UNI,ITALY,135
36,7 ELEVEN - SAVA RBP,7ES,PHILIPPINES,133
37,TEAM ROTH,ROT,SWITZERLAND,131
38,COLOQUICK - CULT,TCQ,DENMARK,123
38,MASSI - KUWAIT CYCLING PROJECT,KCP,KUWAIT,123
40,CCC SPRANDI POLKOWICE,CCC,POLAND,121
41,TABRIZ PETROCHEMICAL CCN TEAM,TPT,ISLAMIC REPUBLIC OF IRAN,111
41,AXEON HAGENS BERMAN,AHB,UNITED STATES OF AMERICA,111
43,NING XIA SPORTS LOTTERY LIVALL CYCLING TEAM,NLC,PEOPLE'S REPUBLIC OF CHINA,101
44,STÖLTING SERVICE GROUP,SSG,GERMANY,96
45,RIETUMU-DELFIN,RBD,LATVIA,87
45,AISAN RACING TEAM,AIS,JAPAN,87
47,TEAM WIGGINS,WGN,GREAT BRITAIN,86
48,GAZPROM-RUSVELO,GAZ,RUSSIAN FEDERATION,81
49,AMORE & VITA - SELLE SMP,AMO,UKRAINE,79
49,BEIJING XDS-INNOVA CYCLING TEAM,XDS,PEOPLE'S REPUBLIC OF CHINA,79
51,FORTUNEO - VITAL CONCEPT,FVC,FRANCE,73
51,NORDA - MG. K VIS,NMG,ITALY,73
53,MATRIX POWERTAG,MTR,JAPAN,69
54,SINGHA INFINITE CYCLING TEAM,SIC,SINGAPORE,62
54,,,,62
56,RABOBANK DEVELOPMENT TEAM,RDT,NETHERLANDS,60
57,TEAM VIRTU - PRO VéloCONCEPT,TTF,DENMARK,53
57,KORAIL CYCLING TEAM,KCT,KOREA,53
57,STRADALLI - BIKE AID,BAI,GERMANY,53
60,BARDIANI CSF,BAR,ITALY,50
60,LEOPARD PRO CYCLING,LPC,LUXEMBOURG,50
62,NASR DUBAI,ANS,UNITED ARAB EMIRATES,45
63,SHIMANO RACING TEAM,SMN,JAPAN,44
64,SILBER PRO CYCLING,SPC,CANADA,40
64,PEGASUS CONTINENTAL CYCLING TEAM,PCT,INDONESIA,40
64,NSC - MYCRON,NSC,MALAYSIA,40
67,KENYAN RIDERS DOWNUNDER,KRD,KENYA,39
68,FUNVIC SOUL CYCLES - CARREFOUR,FSC,BRAZIL,35
69,ALPHA BALTIC - MARATONI.LV,ALB,LATVIA,26
70,MERIDIANA KAMEN TEAM,MKT,CROATIA,25
70,CHRISTINA JEWELRY PRO CYCLING,SGT,GERMANY,25
70,TEAM ALMEBORG-BORNHOLM,ABB,DENMARK,25
73,JLT CONDOR,JLT,GREAT BRITAIN,23
73,WANTY - GROUPE GOBERT,WGG,BELGIUM,23
75,HAINAN JILUN - SHAKELAND CYCLING TEAM,JLS,PEOPLE'S REPUBLIC OF CHINA,20
75,VERANDA'S WILLEMS CYCLING TEAM,VWT,BELGIUM,20
75,DATA#3 CISCO RACING TEAM p/b SCODY,DSR,AUSTRALIA,20
78,SEG RACING ACADEMY,SEG,NETHERLANDS,18
78,STATE OF MATTER / MAAP,SOM,AUSTRALIA,18
80,,,,15
80,"COFIDIS, SOLUTIONS CREDITS",COF,FRANCE,15
80,DIMENSION DATA FOR QHUBEKA,DDC,SOUTH AFRICA,15
83,HRINKOW ADVARICS CYCLEANGTEAM,HAC,AUSTRIA,13
84,BLACK INC CYCLING TEAM,BIC,LAO PEOPLE'S DEMOCRATIC REPUBLIC,12
85,NASU BLASEN,NAS,JAPAN,10
86,JELLY BELLY P/B MAXXIS,JBC,UNITED STATES OF AMERICA,7
87,ACTION CYCLING TEAM,ACY,CHINESE TAIPEI,6
88,TEAM FELBERMAYR SIMPLON WELS,RSW,AUSTRIA,5
88,HOLOWESKO / CITADEL P/B HINCAPIE SPORTSWEAR,HSD,UNITED STATES OF AMERICA,5
88,ROOMPOT - ORANJE PELOTON,ROP,NETHERLANDS,5
88,MANZANA POSTOBON TEAM,MZN,COLOMBIA,5
88,ST GEORGE MERIDA CYCLING TEAM,STG,AUSTRALIA,5
93,TEAM LVSHAN LANDSCAPE,LSL,PEOPLE'S REPUBLIC OF CHINA,4
94,CYCLINGTEAM JOIN-S / DE RIJKE,RIJ,NETHERLANDS,3
94,ADRIA MOBIL,ADR,SLOVENIA,3
94,DELKO MARSEILLE PROVENCE KTM,DMP,FRANCE,3
94,CHINA CONTINENTAL TEAM OF GANSU BANK,GTQ,PEOPLE'S REPUBLIC OF CHINA,3
94,CIBEL-CEBON,CIB,BELGIUM,3
94,TEAM TRE BERG-BIANCHI,TTB,SWEDEN,3
94,HY SPORT - LOOK CONTINENTAL CYCLING,HYS,PEOPLE'S REPUBLIC OF CHINA,3
