Rank,Name,Team Code,Nationality,Points
1,AVANTI RACING TEAM,ART,NEW ZEALAND,546
2,DRAPAC PROFESSIONAL CYCLING,DPC,AUSTRALIA,155
3,TEAM BUDGET FORKLIFTS,BFL,AUSTRALIA,142
4,AXEON CYCLING TEAM,BDT,UNITED STATES OF AMERICA,46
5,DATA #3 SYMANTEC RACING TEAM p/b SCODY,DSR,AUSTRALIA,30
6,CHARTER MASON GIANT RACING TEAM,CMR,AUSTRALIA,25
7,HINCAPIE RACING TEAM,HSD,UNITED STATES OF AMERICA,20
8,NFTO,NPC,GREAT BRITAIN,19
9,UNITEDHEALTHCARE PROFESSIONAL CYCLING TEAM,UHC,UNITED STATES OF AMERICA,14
9,MTN - QHUBEKA,MTN,SOUTH AFRICA,14
11,ANDRONI GIOCATTOLI - SIDERMEC,AND,ITALY,13
12,CCT p/b CHAMPION SYSTEM,CCT,NEW ZEALAND,8
13,NAVITAS SATALYST RACING TEAM,NSR,AUSTRALIA,7
14,JELLY BELLY P/B MAXXIS,JBC,UNITED STATES OF AMERICA,6
15,PARKHOTEL VALKENBURG CONTINENTAL TEAM,PVC,NETHERLANDS,2
