Rank,UCI ID,Name,Nationality,Team Code,Age,Points,
170,10005370346,MCCONVEY Connor,IRELAND,BCP,25,15,
171,10005402577,KRIVTSOV Dmytro,UKRAINE,ISD,28,15,
172,10005973463,PINIZZOTTO Leonardo,ITALY,PPO,27,15,
173,10003389324,MARTINEZ Yannick,FRANCE,LPM,25,15,
174,10007419470,EMAMI Rahim,ISLAMIC REPUBLIC OF IRAN,RTS,31,15,
175,10001140136,NIÑO CORREDOR Victor,COLOMBIA,,40,15,
176,10006003876,CECCHIN Alberto,ITALY,PPO,24,15,
177,10007211124,CHAN Yat Wai,HONG KONG, CHINA,,21,14
178,10005550505,BELDA David,SPAIN,BUR,30,14,
179,10006445834,HUCKER Robbie,AUSTRALIA,DPC,23,14,
180,10004547462,MORI Kazuhiro,JAPAN,AIS,31,14,
181,10001287353,GRECHYN Sergiy,UKRAINE,TRK,34,14,
181,10005476339,UCHIMA Kohei,JAPAN,PPO,25,14,
181,10005617492,THWAITES Scott,GREAT BRITAIN,TNE,23,14,
181,10005997715,KURTH Michael,GERMANY,TRS,27,14,
181,10006141700,SMIRNOVS Andris,LATVIA,RBD,23,14,
181,10006378439,SCHNAIDT Fabian,GERMANY,CSS,23,14,
181,10006467961,SBARAGLI Kristian,ITALY,MTN,23,14,
181,10007508790,ORKEN Ahmet,TURKEY,TRK,20,14,
189,10007274576,YAMAMOTO Genki,JAPAN,,22,13,
190,10005735411,EL HAGE Zaher,LEBANON,,36,12,
191,10009174463,JEERADECHATAM Tawatchai,THAILAND,,29,12,
192,10007920032,BEGAEV Aslan,KYRGYZSTAN,,31,12,
193,10004870996,NUGRAHA Rochmat,INDONESIA,,36,12,
194,10009193156,TABBAL Nabil,LEBANON,,33,12,
195,10004872515,RUSLI Amir Mustafa,MALAYSIA,DPC,26,12,
196,10002349505,LI Fuyu,PEOPLE'S REPUBLIC OF CHINA,HEN,35,12,
197,10005932138,KUBOKI Kazushige,JAPAN,MTR,24,12,
198,10002677584,JANG Sunjae,KOREA,RTS,29,12,
199,10005675692,ASADOV Elchin,AZERBAIJAN,BCP,26,12,
200,10003202596,RACENAJS Kristofers,LATVIA,ALB,28,12,
201,10005535044,TAKEI Kyosuke,JAPAN,,35,12,
202,10006895367,NIKITIN Matvey,KAZAKHSTAN,,21,12,
203,10004821486,LAPTHORNE Darren,AUSTRALIA,DPC,30,12,
204,10006886778,RIUTORT MARTINEZ Juan Carlos,SPAIN,BUR,22,12,
205,10008977130,TRINH Duc Tam,VIETNAM,,21,11,
206,10004557465,SAFARZADEH Saeid,ISLAMIC REPUBLIC OF IRAN,TPT,28,11,
207,10006474227,HOLOHAN Liam,GREAT BRITAIN,MGT,25,11,
208,10001544102,AMORISON Frédéric,BELGIUM,CRE,35,11,
209,10006623262,BAFFI Piero,ITALY,LET,23,11,
210,10007128571,ALDEGHERI Daniele,ITALY,CWO,23,11,
211,10009340878,MONSALVE Yonnatta,BOLIVARIAN REPUBLIC OF VENEZUELA,VIN,24,11,
212,10006002967,ROSSKOPF Joseph,UNITED STATES OF AMERICA,HSD,24,11,
212,10006009637,SILVESTRE Fábio,PORTUGAL,LET,23,11,
212,10006679644,KIRSCH Alex,LUXEMBOURG,LET,21,11,
215,10004873121,KO Siu Wai,HONG KONG, CHINA,,26,10
216,10008955205,CHAIPAYANG Prayad,THAILAND,,25,10,
217,10007919931,SATKYNALIEV Janybek,KYRGYZSTAN,,28,10,
218,10007004188,CHOI Seungwoo,KOREA,KSP,24,10,
219,10008905590,KASIH Idris Purnama,INDONESIA,,24,10,
220,10003388516,VAN NIEKERK Dennis,SOUTH AFRICA,MTN,29,10,
221,10004599400,VASYLYUK Andriy,UKRAINE,KLS,26,10,
222,10004443792,PLANCKAERT Baptiste,BELGIUM,CRE,25,10,
223,10006670954,SCHWARZMANN Michael,GERMANY,TNE,22,10,
