Rank,Name,Team Code,Nationality,Points
1,CERVELO TEST TEAM,CWT,GERMANY,"2321,1"
2,TEAM COLUMBIA - HTC WOMEN,TCW,GERMANY,"1580,9"
3,DSB BANK - NEDERLAND BLOEIT,ARC,NETHERLANDS,"1528,35"
4,EQUIPE NÜRNBERGER VERSICHERUNG,NUR,GERMANY,"1108,65"
5,LOTTO-BELISOL LADIESTEAM,LLT,BELGIUM,990
6,RED SUN CYCLING TEAM,RSC,BELGIUM,"923,75"
7,BIGLA CYCLING TEAM,BCT,SWITZERLAND,873
8,SAFI -PASTA ZARA TITANEDI,SAF,ITALY,826
9,TEAM FLEXPOINT,FLX,NETHERLANDS,"647,5"
10,VISION 1 RACING,VOR,GREAT BRITAIN,504
11,,,,485
12,LEONTIEN.NL,LNL,NETHERLANDS,"424,5"
13,SERRAMENTI PVC DIQUIGIOVANNI-ANDRONI GIOCATTOLI,SDA,ITALY,"413,5"
14,GAUSS RDZ ORMU - COLNAGO,GAU,ITALY,"371,09"
15,FENIXS,FEN,RUSSIAN FEDERATION,"290,25"
16,PETROGRADETS,PTG,RUSSIAN FEDERATION,227
17,ESGL 93 - GSD GESTION,ESG,FRANCE,194
18,MTN,MTW,SOUTH AFRICA,187
19,TEAM HITEC PRODUCTS UCK,HPU,NORWAY,150
20,GIANT PRO CYCLING,GPC,"HONG KONG, CHINA",149
21,VIENNE FUTUROSCOPE,FUT,FRANCE,"129,75"
22,TEAM UNIQA - ELK,KSK,AUSTRIA,75
23,TOP GIRLS FASSA BORTOLO RAXY LINE,TOG,ITALY,74
24,TOPSPORT VLAANDEREN THOMPSON LADIES TEAM,VLL,BELGIUM,69
25,USC CHIRIO FORNO  D'ASOLO,USC,ITALY,63
26,LOINTEK,LTK,SPAIN,22
27,TEAM CMAX DILA',DGC,ITALY,18
28,BIZKAIA - DURANGO - CHAMPION SYSTEM,BPD,SPAIN,"10,25"
