Rank,Name,Team Code,Nationality,Points
1,EPM - UNE,EPM,COLOMBIA,371
2,CLUBE DATARO DE CICLISMO - FOZ DO IGUACU,DAT,BRAZIL,360
3,MOVISTAR TEAM,MOT,COLOMBIA,354
4,FUNVIC - PINDAMONHANGABA,FUN,BRAZIL,309
5,GOBERNACION DE ANTIOQUIA - INDEPORTES ANTIQUIA,GOB,COLOMBIA,246
6,TEAM SPIDERTECH POWERED BY C10,CSM,CANADA,218
7,UNITEDHEALTHCARE PRO CYCLING,UHC,UNITED STATES OF AMERICA,153
8,ANDRONI GIOCATTOLI - C.I.P.I,AND,ITALY,150
9,JAMIS - SUTTER HOME,JSH,UNITED STATES OF AMERICA,144
10,CHIPOTLE DEVELOPMENT TEAM,CDT,UNITED STATES OF AMERICA,121
11,BISSELL CYCLING,BPC,UNITED STATES OF AMERICA,98
12,REALCYCLIST.COM CYCLING TEAM,RCC,UNITED STATES OF AMERICA,95
13,TEAM TYPE 1 - SANOFI,TT1,UNITED STATES OF AMERICA,87
14,D'ANGELO & ANTENUCCI - NIPPO,DAN,ITALY,67
15,ORA HOTELS CARRERA,OHT,HUNGARY,64
16,KELLY BENEFIT STRATEGIES - OPTUMHEALTH,KBS,UNITED STATES OF AMERICA,59
17,KENDA - 5-HOUR ENERGY CYCLING TEAM,KPC,UNITED STATES OF AMERICA,58
18,AMORE & VITA,AMO,UKRAINE,50
19,COLOMBIA ES PASION - CAFE DE COLOMBIA,CEP,COLOMBIA,48
20,,,,48
21,GLUD & MARSTRAND - LRO,GLU,DENMARK,44
22,JELLY BELLY CYCLING,JBC,UNITED STATES OF AMERICA,44
23,PUREBLACK RACING,PBR,NEW ZEALAND,41
24,TEAM EXERGY,XRG,UNITED STATES OF AMERICA,40
25,ANDALUCIA CAJA GRANADA,ACG,SPAIN,35
26,V AUSTRALIA,VAU,AUSTRALIA,28
27,ENDURA RACING,EDR,GREAT BRITAIN,28
28,GEOX-TMC,GEO,SPAIN,25
29,LETUA CYCLING TEAM,L2A,MALAYSIA,20
30,CHAMPION SYSTEM,CHA,"HONG KONG, CHINA",15
31,TEAM CONCORDIA FORSIKRING - HIMMERLAND,VPC,DENMARK,12
32,ATLAS PERSONAL,ARH,SWITZERLAND,10
32,TEAM NSP,NSP,GERMANY,10
34,MANISASPOR CYCLING TEAM,MNS,TURKEY,8
35,DUKLA TRENCIN MERIDA,DUK,SLOVAKIA,7
36,SKIL - SHIMANO,SKS,NETHERLANDS,6
37,AC SPARTA PRAHA,ASP,CZECH REPUBLIC,5
37,GROUPEMENT SPORTIF PETROLIER ALGERIE,GSP,ALGERIA,5
39,DE ROSA - CERAMICA FLAMINIA,DER,IRELAND,4
40,TEAM RALEIGH,RAL,GREAT BRITAIN,3
41,TEAM EUROPCAR,EUC,FRANCE,2
42,SUBWAY CYCLING TEAM,SUB,NEW ZEALAND,2
