Rank,Name,Team Code,Nationality,Points
65,TEAM EDDY MERCKX - INDELAND,TRS,GERMANY,153
66,UNITEDHEALTHCARE PRO CYCLING,UHC,UNITED STATES OF AMERICA,153
67,,,,138
68,,,,138
69,CYCLINGTEAM JO PIELS,CJP,NETHERLANDS,138
70,THÜRINGER ENERGIE TEAM,TET,GERMANY,132
71,TEAM DIFFERDANGE - MAGIC-SPORTFOOD.DE,CCD,LUXEMBOURG,126
72,KOLSS CYCLING TEAM,KLS,UKRAINE,124
73,DUKLA TRENCIN MERIDA,DUK,SLOVAKIA,123
74,ARBÖ GEBRÜDER WEISS - OBERNDORFER,KTM,AUSTRIA,122
75,TUSNAD CYCLING TEAM,TCT,ROMANIA,115
76,WSA - VIPERBIKE KÄRNTEN,WSA,AUSTRIA,110
77,CHAMPION SYSTEM,CHA,"HONG KONG, CHINA",108
78,CHIPOTLE DEVELOPMENT TEAM,CDT,UNITED STATES OF AMERICA,107
79,ORA HOTELS CARRERA,OHT,HUNGARY,106
80,COLBA - MERCURY,CMD,BELGIUM,105
81,BANK BGZ,BGZ,POLAND,93
82,SEVEN STONES,TSS,GERMANY,90
83,WIT,WIT,ITALY,87
84,AC SPARTA PRAHA,ASP,CZECH REPUBLIC,86
85,RC ARBÖ GOURMETFEIN WELS,RAD,AUSTRIA,83
86,TELENET - FIDEA,FID,BELGIUM,80
87,TEAM VORARLBERG,VBG,AUSTRIA,79
88,SUNWEB - REVOR,SUN,BELGIUM,72
89,BURGOS 2016 - CASTILLA Y LEÓN,VMC,SPAIN,69
90,DRAPAC CYCLING,DPC,AUSTRALIA,65
91,BKCP - POWERPLUS,BKP,BELGIUM,58
92,AMORE & VITA,AMO,UKRAINE,50
93,RADENSKA,RAR,SLOVENIA,49
94,TT RAIKO ARGON 18,TTR,GERMANY,48
95,GEUMSAN GINSENG ASIA,GGA,KOREA,45
96,ASC DUKLA PRAHA,ADP,CZECH REPUBLIC,44
97,ALPHA BALTIC - UNITYMARATHONS.COM,ALB,LATVIA,42
98,GIANT KENDA CYCLING TEAM,GKT,CHINESE TAIPEI,40
99,SUREN CYCLING TEAM,SUR,ISLAMIC REPUBLIC OF IRAN,33
100,TABRIZ PETROCHEMICAL TEAM,TPT,ISLAMIC REPUBLIC OF IRAN,29
101,,,,29
102,LEGIA - FELT,LEG,POLAND,28
103,PRICE YOUR BIKE,PYB,SWITZERLAND,25
104,MERIDIANA KAMEN TEAM,MKT,CROATIA,24
105,PLUSSBANK CERVELO,PBC,NORWAY,21
106,TEAM ENERGI FYN,TEF,DENMARK,21
106,GROUPEMENT SPORTIF PETROLIER ALGERIE,GSP,ALGERIA,21
108,KELLY BENEFIT STRATEGIES - OPTUMHEALTH,KBS,UNITED STATES OF AMERICA,20
109,MARCO POLO CYCLING TEAM,MPC,PEOPLE'S REPUBLIC OF CHINA,14
110,TEAM HEIZOMAT,THF,GERMANY,13
111,SIGMA SPORT - SPECIALIZED,SGS,GREAT BRITAIN,10
112,GENESYS WEALTH ADVISERS,GEN,AUSTRALIA,6
112,FUJI - CYCLINGTIME.COM,FCT,CHINESE TAIPEI,6
114,TEAM RALEIGH,RAL,GREAT BRITAIN,4
115,LOTTO - BODYSOL POLE CONTINENTAL WALLON,PCW,BELGIUM,3
116,MATRIX POWERTAG,MTR,JAPAN,3
