Rank,Name,Team Code,Nationality,Points
1,FDJ,FDJ,FRANCE,"2551,1"
2,SKIL - SHIMANO,SKS,NETHERLANDS,1623
3,COLNAGO - CSF INOX,COG,IRELAND,1479
4,SAUR - SOJASUN,SAU,FRANCE,"1448,75"
5,"COFIDIS, LE CREDIT EN LIGNE",COF,FRANCE,1390
6,FARNESE VINI - NERI SOTTOLI,FAR,GREAT BRITAIN,1355
7,LANDBOUWKREDIET,LAN,BELGIUM,1240
8,TEAM EUROPCAR,EUC,FRANCE,1155
9,ANDRONI GIOCATTOLI - C.I.P.I,AND,ITALY,1150
10,KATUSHA TEAM,KAT,RUSSIAN FEDERATION,1040
11,RABOBANK CONTINENTAL TEAM,RB3,NETHERLANDS,"987,68"
12,BRETAGNE - SCHULLER,BSC,FRANCE,928
13,VERANDA'S WILLEMS - ACCENT,VWA,BELGIUM,879
14,MICHE - GUERCIOTTI,MIE,ITALY,850
15,GEOX-TMC,GEO,SPAIN,"838,5"
16,CCC POLSAT POLKOWICE,CCC,POLAND,804
17,D'ANGELO & ANTENUCCI - NIPPO,DAN,ITALY,770
18,LOBORIKA FAVORIT TEAM,LOB,CROATIA,684
19,,,,684
20,ACQUA & SAPONE,ASA,ITALY,674
21,AN POST - SEAN KELLY,SKT,BELGIUM,648
22,BIG MAT - AUBER 93,AUB,FRANCE,585
23,TEAM TYPE 1 - SANOFI,TT1,UNITED STATES OF AMERICA,"583,6"
24,BARBOT - EFAPEL,BEF,PORTUGAL,576
25,VELO-CLUB LA POMME MARSEILLE,LPM,LATVIA,543
26,ENDURA RACING,EDR,GREAT BRITAIN,531
27,ADRIA MOBIL,ADR,SLOVENIA,"525,6"
28,CAJA RURAL,CJR,SPAIN,"513,5"
29,TEAM NETAPP,APP,GERMANY,500
30,ISD - LAMPRE CONTINENTAL,ISD,UKRAINE,468
31,PERUTNINA PTUJ,PER,SLOVENIA,462
32,TAVIRA - PRIO,PRT,PORTUGAL,453
33,KONYA TORKU SEKER SPOR - VIVELO,KTS,TURKEY,439
34,NUTRIXXION SPARKASSE,TSP,GERMANY,421
35,WALLONIE BRUXELLES - CREDIT AGRICOLE,WBC,BELGIUM,420
36,MANISASPOR CYCLING TEAM,MNS,TURKEY,418
37,CHRISTINA WATCHES - ONFONE,TST,DENMARK,399
38,GLUD & MARSTRAND - LRO,GLU,DENMARK,391
39,ROUBAIX LILLE METROPOLE,RLM,FRANCE,361
40,TEAM JAYCO-AIS,JAI,AUSTRALIA,307
41,,,,304
42,TEAM NSP,NSP,GERMANY,303
43,ATLAS PERSONAL,ARH,SWITZERLAND,300
44,PARTIZAN POWERMOVE,ZAN,SERBIA,299
45,PSK WHIRLPOOL - AUTHOR,PSK,CZECH REPUBLIC,"297,75"
46,DE ROSA - CERAMICA FLAMINIA,DER,IRELAND,295
47,DONCKERS KOFFIE - JELLY BELLY,QCT,BELGIUM,283
48,TEAM SPIDERTECH POWERED BY C10,CSM,CANADA,278
49,LKT TEAM BRANDENBURG,LKT,GERMANY,268
50,LA - ANTARTE,LAR,PORTUGAL,262
51,JOKER MERIDA,TJM,NORWAY,261
52,CYCLINGTEAM DE RIJKE,RIJ,NETHERLANDS,256
53,TEAM CYKELCITY,CYK,SWEDEN,251
54,SAVA,SAK,SLOVENIA,233
55,RAPHA CONDOR - SHARP,RCS,GREAT BRITAIN,"218,68"
56,ONDA,BOA,PORTUGAL,210
57,COLOMBIA ES PASION - CAFE DE COLOMBIA,CEP,COLOMBIA,208
58,TYROL TEAM,TYR,AUSTRIA,200
59,EPM - UNE,EPM,COLOMBIA,187
60,ORBEA CONTINENTAL,ORB,SPAIN,180
61,SPAREBANKEN VEST - RIDLEY,SPV,NORWAY,177
62,ANDALUCIA CAJA GRANADA,ACG,SPAIN,168
63,JONG VLAANDEREN - BAUKNECHT,JVB,BELGIUM,167
64,TEAM CONCORDIA FORSIKRING - HIMMERLAND,VPC,DENMARK,158
