Rank,Name,Team Code,Nationality,Points
1,REAL CYCLING TEAM,RCT,BRAZIL,404
2,FUNVIC - PINDAMONHANGABA,FUN,BRAZIL,404
3,UNITEDHEALTHCARE PRO CYCLING TEAM,UHC,UNITED STATES OF AMERICA,"352,2"
4,TEAM OPTUM PRESENTED BY KELLY BENEFIT STRATEGIES,OPT,UNITED STATES OF AMERICA,302
5,,,,299
6,ANDRONI GIOCATTOLI - VENEZUELA,AND,ITALY,281
6,TEAM TYPE 1 - SANOFI,TT1,UNITED STATES OF AMERICA,281
8,EPM - UNE,EPM,COLOMBIA,245
9,SPIDERTECH POWERED BY C10,SPI,CANADA,242
10,GOBERNACION DE ANTIOQUIA - INDEPORTES ANTIOQUIA,GOB,COLOMBIA,193
11,MOVISTAR TEAM,MOT,COLOMBIA,174
11,,,,174
13,COMPETITIVE CYCLIST RACING TEAM,RCC,UNITED STATES OF AMERICA,168
14,KENDA - 5-HOUR ENERGY CYCLING TEAM,KPC,UNITED STATES OF AMERICA,145
15,BISSELL CYCLING,BPC,UNITED STATES OF AMERICA,118
16,CONTINENTAL TEAM ASTANA,AS2,KAZAKHSTAN,105
17,TEAM EXERGY,XRG,UNITED STATES OF AMERICA,86
18,SAN LUIS SOMOS TODOS,SLS,ARGENTINA,82
19,COLOMBIA - COLDEPORTES,COL,COLOMBIA,80
20,FARNESE VINI - SELLE ITALIA,FAR,GREAT BRITAIN,73
21,JAMIS - SUTTER HOME,JSH,UNITED STATES OF AMERICA,68
22,COLOMBIA - COMCEL,COD,COLOMBIA,66
23,TEAM NETAPP,APP,GERMANY,53
24,AZAD UNIVERSITY CROSS TEAM,AZC,ISLAMIC REPUBLIC OF IRAN,49
24,CHRISTINA WATCHES - ONFONE,CWO,DENMARK,49
26,JELLY BELLY CYCLING,JBC,UNITED STATES OF AMERICA,46
27,RC ARBÖ WELS GOURMETFEIN,RAD,AUSTRIA,43
28,CHIPOTLE - FIRST SOLAR DEVELOPMENT TEAM,CDT,UNITED STATES OF AMERICA,36
29,TEAM ARGOS - SHIMANO,ARG,NETHERLANDS,35
30,CHAMPION SYSTEM PRO CYCLING TEAM,CSS,PEOPLE'S REPUBLIC OF CHINA,33
31,ANDALUCIA,ACG,SPAIN,32
31,TEAM RALEIGH - GAC,RAL,GREAT BRITAIN,32
33,GLUD & MARSTRAND - LRO,GLU,DENMARK,26
34,CLUBE DATARO DE CICLISMO,DAT,BRAZIL,22
35,UTENSILNORD NAMED,UNA,IRELAND,21
35,RUSVELO,RVL,RUSSIAN FEDERATION,21
37,ONDA,BOA,PORTUGAL,20
38,LKT TEAM BRANDENBURG,LKT,GERMANY,15
39,TEAM VORARLBERG,VBG,AUSTRIA,12
40,RADENSKA,RAR,SLOVENIA,10
40,BMC - HINCAPIE SPORTSWEAR DEVELOPMENT TEAM,BHD,UNITED STATES OF AMERICA,10
42,CAJA RURAL,CJR,SPAIN,7
42,CCN CYCLING TEAM,CCN,BRUNEI DARUSSALAM,7
44,ARBÖ GEBRÜDER WEISS - OBERNDORFER,KTM,AUSTRIA,5
45,START CYCLING TEAM - ATACAMA FLOWERY DESERT,STF,PARAGUAY,4
46,RABOBANK CONTINENTAL TEAM,RB3,NETHERLANDS,"2,2"
47,COLNAGO - CSF INOX,COG,IRELAND,2
47,AN POST - SEAN KELLY,SKT,BELGIUM,2
