Rank,UCI ID,Name,Nationality,Team Code,Age,Points,
91,10008648037,WOODS Michael,CANADA,CDT,31,670,
92,10003357901,IZAGIRRE INSAUSTI Gorka,SPAIN,MOV,30,669,
93,10007170001,SLAGTER Tom-Jelte,NETHERLANDS,CDT,28,669,
94,10006108960,PICHON Laurent,FRANCE,TFO,31,663,
95,10004617180,CASTROVIEJO NICOLAS Jonathan,SPAIN,MOV,30,657,
96,10007522534,VAKOČ Petr,CZECH REPUBLIC,QST,25,655,
97,10008199312,BARBIER Rudy,FRANCE,ALM,25,647,
98,10003105600,VISCONTI Giovanni,ITALY,TBM,34,646,
99,10007587303,CHAVES RUBIO Jhoan Esteban,COLOMBIA,ORS,27,644,
100,10005865248,DILLIER Silvan,SWITZERLAND,BMC,27,643,
101,10007381781,NIELSEN Magnus Cort,DENMARK,ORS,24,631,
102,10008686332,MOHORIC Matej,SLOVENIA,UAD,23,627,
103,10007175859,DE LA CRUZ MELGAREJO David,SPAIN,QST,28,623,
104,10006883243,HUNDAHL Michael Valgren,DENMARK,AST,25,610,
105,10009497593,HAMILTON Lucas,AUSTRALIA,MTS,21,605,
106,10008622876,LAMPAERT Yves,BELGIUM,QST,26,600,
107,10049906480,JULES Justin,FRANCE,WVA,31,596,
108,10006882334,STALLAERT Joeri,BELGIUM,CIB,26,578,
109,10002926552,FINETTO Mauro,ITALY,DMP,32,575,
110,10003299293,BOOKWALTER Brent,UNITED STATES OF AMERICA,BMC,33,575,
111,10005902230,DUPONT Timothy,BELGIUM,VWC,30,573,
112,10004593033,VERMELTFOORT Coen,NETHERLANDS,RNL,29,572,
113,10008676935,JENSEN August,NORWAY,TCO,26,571,
114,10007499494,KÜNG Stefan,SWITZERLAND,BMC,24,570,
115,10007988235,BUCHMANN Emanuel,GERMANY,BOH,25,569,
116,10006444521,BENNETT George,NEW ZEALAND,TLJ,27,566,
117,10007755435,JANS Roy,BELGIUM,WVA,27,558,
118,10002444784,SANCHEZ Luis Leon,SPAIN,AST,34,557,
119,10006642763,MEURISSE Xandro,BELGIUM,WGG,25,555,
120,10001479333,CHAVANEL Sylvain,FRANCE,DEN,38,552,
121,10008922364,SOLER Marc,SPAIN,MOV,24,547,
122,10005489271,HARDY Romain,FRANCE,TFO,29,544,
123,10004522002,VANTOMME Maxime,BELGIUM,WVA,31,543,
124,10007992174,BARBERO Carlos,SPAIN,MOV,26,538,
125,10003251100,ALARCON GARCIA Raul,SPAIN,W52,31,524,
126,10007970148,VAN LERBERGHE Bert,BELGIUM,SVB,25,520,
127,10007062388,PÖSTLBERGER Lukas,AUSTRIA,BOH,25,512,
128,10007517076,MARTIN Guillaume,FRANCE,WGG,24,510,
129,10002910990,ROJAS José,SPAIN,MOV,32,509,
130,10006884455,VAN BAARLE Dylan,NETHERLANDS,CDT,25,509,
131,10002578160,GERRANS Simon,AUSTRALIA,ORS,37,506,
132,10006874553,MC CARTHY Jay,AUSTRALIA,BOH,25,505,
133,10004519978,VAN EMDEN Jos,NETHERLANDS,TLJ,32,495,
134,10007297111,VAN DER HOORN Taco,NETHERLANDS,RNL,24,489,
135,10011235109,GAUDU David,FRANCE,FDJ,21,485,
136,10008663090,BETTIOL Alberto,ITALY,CDT,24,482,
137,10009104341,THOMAS Benjamin,FRANCE,ADT,22,480,
138,10008972884,MARECZKO Jakub,ITALY,WIL,23,478,
139,10004563327,SWIFT Ben,GREAT BRITAIN,UAD,30,470,
140,10075106676,PRADES REVERTER Benjami,SPAIN,UKO,34,470,
141,10002833491,BOOM Lars,NETHERLANDS,TLJ,32,464,
142,10007128470,PASQUALON Andrea,ITALY,WGG,29,460,
143,10003094684,HIVERT Jonathan,FRANCE,DEN,32,459,
144,10009384833,ROSON GARCIA Jaime,SPAIN,CJR,24,458,
145,10008689564,PEDERSEN Mads,DENMARK,TFS,22,457,
146,10008681278,LATOUR Pierre,FRANCE,ALM,24,454,
147,10006288715,HOFLAND Moreno,NETHERLANDS,LTS,26,453,
148,10008688352,OOMEN Sam,NETHERLANDS,SUN,22,452,
149,10007952263,COSNEFROY Benoit,FRANCE,ALM,22,451,
150,10005413085,NIEVE ITURRALDE Mikel,SPAIN,SKY,33,450,
151,10005708533,ARMEE Sander,BELGIUM,LTS,32,442,
152,10006045508,GENIEZ Alexandre,FRANCE,ALM,29,440,
153,10001457307,SEVILLA RIVERA Oscar Miguel,SPAIN,MED,41,439,
154,10005560710,MEZGEC Luka,SLOVENIA,ORS,29,438,
155,10007167775,KONRAD Patrick,AUSTRIA,BOH,26,434,
156,10010203572,STORER Michael,AUSTRALIA,,20,428,
157,10046109336,KRAGH ANDERSEN Søren,DENMARK,SUN,23,424,
158,10005497052,TVETCOV Serghei,ROMANIA,JBC,29,421,
159,10006384196,MCLAY Daniel,GREAT BRITAIN,TFO,25,416,
160,10050785746,POLANC Jan,SLOVENIA,UAD,25,416,
161,10002938575,ORTEGA RAMIREZ Mauricio,COLOMBIA,RTS,37,416,
162,10058245450,GULDHAMMER Rasmus,DENMARK,TVC,28,414,
163,10002833794,LANGEVELD Sebastian,NETHERLANDS,CDT,32,412,
164,10002858652,MARTIN Tony,GERMANY,KAT,32,409,
165,10010982909,HINDLEY Jai,AUSTRALIA,MTS,21,408,
166,10006633871,DASSONVILLE Flavien,FRANCE,AUB,26,403,
167,10007946203,VAN DER POEL Mathieu,NETHERLANDS,BEC,22,403,
168,10005996200,ROWE Luke,GREAT BRITAIN,SKY,27,402,
169,10007834247,HAIG Jack,AUSTRALIA,ORS,24,402,
170,10007523241,ČERNÝ Josef,CZECH REPUBLIC,ELA,24,401,
171,10009165672,CARAPAZ Richard,ECUADOR,MOV,24,399,
172,10002833592,DUIJN Huub,NETHERLANDS,VWC,33,397,
173,10003085994,HERMANS Ben,BELGIUM,BMC,31,395,
174,10004443792,PLANCKAERT Baptiste,BELGIUM,KAT,29,392,
175,10006479782,ARNDT Nikias,GERMANY,SUN,26,392,
176,10004819466,DEBUSSCHERE Jens,BELGIUM,LTS,28,388,
177,10014621621,LAMBRECHT Bjorg,BELGIUM,,20,388,
178,10004595558,MEYER Cameron,AUSTRALIA,MTS,29,386,
179,10089627778,RICHEZE Maximiliano Ariel,ARGENTINA,QST,34,384,
180,10008913371,CAMPENAERTS Victor,BELGIUM,TLJ,26,381,
181,10005475733,BOIVIN Guillaume,CANADA,ICA,28,380,
182,10003260190,BUTS Vitaliy,UKRAINE,KLS,31,380,
183,10048456433,GESINK Robert,NETHERLANDS,TLJ,31,379,
184,10007260331,SENNI Manuel,ITALY,BMC,25,379,
185,10008198908,BACKAERT Frederik,BELGIUM,WGG,27,378,
186,10006486452,TRATNIK Jan,SLOVENIA,CCC,27,378,
187,10009816077,GIDICH Yevgeniy,KAZAKHSTAN,VAM,21,374,
188,10009037552,RESTREPO VALENCIA Jhonatan,COLOMBIA,KAT,23,372,
189,10008676632,JANSEN Amund Grøndahl,NORWAY,TLJ,23,370,
190,10007506366,ZABEL Rick,GERMANY,KAT,24,369,
191,10003127323,BRITTON Robert,CANADA,RLY,33,367,
192,10006492112,BAZHKOU Stanislau,BELARUS,MCC,26,366,25
193,10008662484,BAUHAUS Phil,GERMANY,SUN,23,365,
194,10007096542,VENTURINI Clement,FRANCE,COF,24,361,
195,10008198096,LAPORTE Christophe,FRANCE,COF,25,360,
196,10001397891,BOONEN Tom,BELGIUM,QST,37,358,
197,10043986652,ANTUNES Amaro,PORTUGAL,W52,27,355,
198,10003261709,FRANK Mathias,SWITZERLAND,ALM,31,354,
199,10009416357,SMIT Willem Jakobus,SOUTH AFRICA,,25,353,
