Rank,Name,Team Code,Nationality,Points
1,BARLOWORLD,BAR,GREAT BRITAIN,261
2,MTN CYCLING,MTN,SOUTH AFRICA,195
3,RAPHA CONDOR,RCR,GREAT BRITAIN,144
4,LIBERTY SEGUROS,LSE,PORTUGAL,133
5,HOUSE OF PAINT,HOP,SOUTH AFRICA,129
6,CCC POLSAT POLKOWICE,CCC,POLAND,109
7,DOHA TEAM,DOT,QATAR,99
8,HERAKLION - NESSEBAR,TKT,GREECE,88
9,TEAM NEOTEL,NEO,SOUTH AFRICA,86
10,JONG VLAANDEREN - BAUKNECHT,JVB,BELGIUM,77
11,LETUA CYCLING TEAM,L2A,MALAYSIA,57
12,TEAM KONICA MINOLTA / BIZHUB,KON,SOUTH AFRICA,55
13,SP. TABLEWARE-GATSOULIS BIKES,SPT,GREECE,30
14,TREK - MARCO POLO CYCLING TEAM,MPC,PEOPLE'S REPUBLIC OF CHINA,25
15,TEAM KUOTA - INDELAND,TRS,GERMANY,21
15,CYCLING CLUB BOURGAS,CCB,BULGARIA,21
17,LKT TEAM BRANDENBURG,LKT,GERMANY,16
18,CENTRO CILISMO DE LOULE - LOULETANO,CCL,PORTUGAL,15
19,DUKLA TRENCIN MERIDA,DUK,SLOVAKIA,7
20,AC SPARTA PRAHA,ASP,CZECH REPUBLIC,5
20,LOTTO - BODYSOL,PCW,BELGIUM,5
