Rank,Name,Team Code,Nationality,Points
1,ALPECIN - FENIX,AFC,BELGIUM,4788
2,TEAM ARKEA - SAMSIC,ARK,FRANCE,3697
3,CIRCUS - WANTY GOBERT,CWG,BELGIUM,2778
4,NIPPO DELKO PROVENCE,NDP,FRANCE,1553
5,TOTAL DIRECT ENERGIE,TDE,FRANCE,1418
6,UNO - X PRO CYCLING TEAM,UXT,NORWAY,"1346,29"
7,B&B HOTELS - VITAL CONCEPT,BVC,FRANCE,1165
8,SPORT VLAANDEREN - BALOISE,SVB,BELGIUM,1109
9,ANDRONI GIOCATTOLI - SIDERMEC,ANS,ITALY,1024
10,VINI ZABU' BRADO KTM,THR,ITALY,"938,33"
11,RIWAL SECURITAS CYCLING TEAM,RIW,DENMARK,891
12,MAZOWSZE SERCE POLSKI,MSP,POLAND,808
13,BINGOAL WB,WVA,BELGIUM,783
14,CAJA RURAL - SEGUROS RGA,CJR,SPAIN,667
15,ELKOV - KASPER,ELK,CZECH REPUBLIC,666
16,MINSK CYCLING CLUB,MCC,BELARUS,636
17,CCC DEVELOPMENT TEAM,CDT,POLAND,618
18,BIKE AID,BAI,GERMANY,"578,33"
19,GAZPROM - RUSVELO,GAZ,RUSSIAN FEDERATION,578
20,DUKLA BANSKA BYSTRICA,DKB,SLOVAKIA,576
21,TARTU2024 BALTICCHAINCYCLING.COM,TBC,ESTONIA,551
22,W52 / FC PORTO,W52,PORTUGAL,545
23,EUSKALTEL - EUSKADI,FOR,SPAIN,542
24,JUMBO - VISMA DEVELOPMENT TEAM,JVD,NETHERLANDS,538
25,SEG RACING ACADEMY,SEG,NETHERLANDS,513
26,EQUIPO KERN PHARMA,EKP,SPAIN,440
27,AMORE E VITA | P:,AMO,LATVIA,424
28,VOSTER ATS TEAM,VOS,POLAND,419
29,NTT CONTINENTAL CYCLING TEAM,NPC,ITALY,411
30,SALCANO SAKARYA BB TEAM,SBB,TURKEY,392
31,WIBATECH MERX,WIB,POLAND,369
32,BURGOS - BH,BBH,SPAIN,329
33,BARDIANI CSF FAIZANE',BCF,ITALY,325
34,NATURA4EVER - ROUBAIX - LILLE METROPOLE,NRL,FRANCE,324
35,TOPFOREX LAPIERRE PRO CYCLING TEAM,TLT,CZECH REPUBLIC,292
36,CANYON DHB P / B SOREEN,DHB,GREAT BRITAIN,276
37,TEAM COOP,TCO,NORWAY,273
38,EFAPEL,EFP,PORTUGAL,266
39,TEAM VORARLBERG SANTIC,VBG,AUSTRIA,"262,33"
40,KELLY / SIMOLDES / UDO,KSU,PORTUGAL,256
41,GIOTTI VICTORIA,GTV,ROMANIA,255
42,TARTELETTO - ISOREX,TIS,BELGIUM,233
43,LEOPARD PRO CYCLING,LPC,LUXEMBOURG,"227,66"
44,JOKER Fuel of Norway,JFN,NORWAY,222
45,AVILUDO - LOULETANO,AVL,PORTUGAL,213
46,KOMETA XSTRA CYCLING TEAM,KTX,SPAIN,212
47,ATUM GENERAL / TAVIRA / MARIA NOVA HOTEL,ATM,PORTUGAL,203
48,ADRIA MOBIL,ADR,SLOVENIA,202
49,GROUPAMA - FDJ,CGF,FRANCE,195
50,LJUBLJANA GUSTO SANTIC,LGS,SLOVENIA,193
51,WSA KTM GRAZ,WSA,AUSTRIA,182
52,SPOR TOTO CYCLING TEAM,STC,TURKEY,176
53,TEAM FELBERMAYR SIMPLON WELS,RSW,AUSTRIA,169
54,A BLOC CT,ABC,NETHERLANDS,147
55,Team COLOQUICK,TCQ,DENMARK,141
56,ISRAEL CYCLING ACADEMY,ISA,ISRAEL,136
57,RADIO POPULAR - BOAVISTA,RPB,PORTUGAL,134
58,SWISS RACING ACADEMY,SRA,SWITZERLAND,"132,33"
59,MERIDIANA KAMEN TEAM,MKT,CROATIA,131
60,ST MICHEL - AUBER 93,AUB,FRANCE,129
61,FEREI - CCN,FCT,BELARUS,129
62,CYCLING TEAM FRIULI ASD,CTF,ITALY,128
63,BIESSE ARVEDI,BIA,ITALY,"127,33"
64,MEMIL PRO CYCLING,MPC,SWEDEN,114
65,RAD - NET ROSE TEAM,RNR,GERMANY,"106,34"
66,BEAT CYCLING CLUB,BRT,NETHERLANDS,106
67,DEVELOPMENT TEAM SUNWEB,DSU,GERMANY,"96,67"
68,TIROL KTM CYCLING TEAM,TIR,AUSTRIA,96
69,TEAM COLPACK  BALLAN,CPK,ITALY,92
70,TEAM LOTTO - KERN HAUS,LKH,GERMANY,"85,67"
