Rank,Name,Team Code,Nationality,Points
1,BOELS DOLMANS CYCLINGTEAM,DLT,NETHERLANDS,2894
2,WIGGLE HIGH5,WHT,GREAT BRITAIN,2245
3,RABOLIV WOMENCYCLINGTEAM,RBW,NETHERLANDS,1853
4,CANYON SRAM RACING,LPR,GERMANY,1031
5,TEAM LIV-PLANTUR,TLP,NETHERLANDS,840
6,CERVELO BIGLA PRO CYCLING TEAM,CBT,GERMANY,794
7,ORICA - AIS,OGE,AUSTRALIA,691
8,ALE' CIPOLLINI,ALE,ITALY,645
9,HITEC PRODUCTS,HPU,NORWAY,461
10,LENSWORLD-ZANNATA,LZE,BELGIUM,433
11,CYLANCE PRO CYCLING,CPC,UNITED STATES OF AMERICA,425
12,BTC CITY LJUBLJANA,BTC,SLOVENIA,382
13,POITOU-CHARENTES.FUTUROSCOPE.86,FUT,FRANCE,360
14,LOTTO SOUDAL LADIES,LBL,BELGIUM,269
15,TWENTY16 - RIDEBIKER,T16,UNITED STATES OF AMERICA,265
16,PARKHOTEL VALKENBURG CONTINENTAL TEAM,PHV,NETHERLANDS,254
17,UNITEDHEALTHCARE PROFESSIONAL CYCLING TEAM,UHC,UNITED STATES OF AMERICA,210
18,BEPINK,BPK,ITALY,181
19,SERVETTO FOOTON,SEF,ITALY,180
20,TEAM TIBCO - SILICON VALLEY BANK,TIB,UNITED STATES OF AMERICA,168
21,CHINESE TAIPEI,TPE,CHINESE TAIPEI,156
22,ASTANA WOMEN'S TEAM,ASA,KAZAKHSTAN,68
23,RALLY CYCLING,RLW,UNITED STATES OF AMERICA,56
23,HAGENS BERMAN / SUPERMINT PRO CYCLING TEAM,HBS,UNITED STATES OF AMERICA,56
25,INPA - BIANCHI,ISG,ITALY,52
26,LARES-WAOWDEALS WOMEN CYCLING TEAM,LWW,BELGIUM,42
27,TEAM BMS BIRN,BMS,DENMARK,38
28,DROPS CYCLING TEAM,DRP,GREAT BRITAIN,35
29,AROMITALIA VAIANO,VAI,ITALY,30
30,NORWAY,NOR,NORWAY,24
31,FINLAND,FIN,FINLAND,20
32,KOREA,KOR,KOREA,10
32,THAILAND,THA,THAILAND,10
32,TOPSPORT VLAANDEREN - ETIXX,VLL,BELGIUM,10
32,BIZKAIA - DURANGO,BDP,SPAIN,10
32,TOP GIRLS FASSA BORTOLO,TOG,ITALY,10
37,UNITED STATES OF AMERICA,USA,UNITED STATES OF AMERICA,8
38,PODIUM AMBITION PRO CYCLING p/b CLUB LA SANTA,PAC,GREAT BRITAIN,6
