Rank,Name,Team Code,Nationality,Points
1,UNITEDHEALTHCARE PRO CYCLING TEAM,UHC,UNITED STATES OF AMERICA,441
2,OPTUM P/B KELLY BENEFIT STRATEGIES,OPM,UNITED STATES OF AMERICA,366
3,FUNVIC BRASILINVEST - SAO JOSE DOS CAMPOS,FUN,BRAZIL,348
4,JAMIS - HAGENS BERMAN,JSH,UNITED STATES OF AMERICA,345
5,EPM - UNE,EPM,COLOMBIA,"324,67"
6,SAN LUIS SOMOS TODOS,SLS,ARGENTINA,"196,68"
7,,,,186
8,JELLY BELLY P/B KENDA,JBC,UNITED STATES OF AMERICA,179
9,5 HOUR ENERGY,5HR,UNITED STATES OF AMERICA,154
10,ANDRONI GIOCATTOLI - VENEZUELA,AND,ITALY,152
11,CLUBE DATARO DE CICLISMO,DAT,BRAZIL,128
12,472 - COLOMBIA,CO4,COLOMBIA,116
13,VINI FANTINI - SELLE ITALIA,VIN,ITALY,101
14,COLOMBIA COLDEPORTES,COD,COLOMBIA,"86,68"
15,HINCAPIE SPORTSWEAR DEVELOPMENT TEAM,HSD,UNITED STATES OF AMERICA,74
16,BISSELL CYCLING,BPC,UNITED STATES OF AMERICA,73
17,CHAMPION SYSTEM PRO CYCLING TEAM,CSS,PEOPLE'S REPUBLIC OF CHINA,65
18,TEAM NETAPP - ENDURA,TNE,GERMANY,51
19,TEAM PLUSSBANK,TPB,NORWAY,50
20,TEAM DIFFERDANGE - LOSCH,CCD,LUXEMBOURG,48
21,OFM - QUINTA DA LIXA,OFM,PORTUGAL,41
22,START - TRIGON CYCLING TEAM,STF,PARAGUAY,40
23,CLOS DE PIRQUE - TREK,CPT,CHILE,40
24,TEAM SMARTSTOP P/B MOUNTAIN KHAKIS,TMK,UNITED STATES OF AMERICA,39
25,RAPHA CONDOR JLT,RCJ,GREAT BRITAIN,36
26,BARDIANI VALVOLE - CSF INOX,BAR,ITALY,35
27,LOULETANO - DUNAS DOURADAS,LDD,PORTUGAL,28
28,COLOMBIA,COL,COLOMBIA,26
29,BUENOS AIRES PROVINCIA,BAP,ARGENTINA,25
30,EQUIPE GARNEAU - QUÉBECOR,GQC,CANADA,20
31,CONTINENTAL TEAM ASTANA,AS2,KAZAKHSTAN,18
32,TEAM NOVO NORDISK,TNN,UNITED STATES OF AMERICA,13
33,TEAM RALEIGH,RAL,GREAT BRITAIN,12
34,TUSNAD CYCLING TEAM,TCT,ROMANIA,11
35,ACCENT JOBS - WANTY,AJW,BELGIUM,10
36,MTN - QHUBEKA,MTN,SOUTH AFRICA,5
37,CCC POLSAT POLKOWICE,CCC,POLAND,4
38,ETIXX - IHNED,ETI,CZECH REPUBLIC,2
