Rank,UCI ID,Name,Nationality,Team Code,Age,Points,
1,10007166866,POURSEYEDIGOLAKHOUR Mirsamad,ISLAMIC REPUBLIC OF IRAN,TPT,29,480,
2,10061377237,CHPILEVSKI Boris,RUSSIAN FEDERATION,,32,408,
3,10002510563,KAŇKOVSKÝ Alois,CZECH REPUBLIC,ADP,31,362,
4,10001413554,METLUSHENKO Yuriy,UKRAINE,,38,338,
5,10006878189,DAVIDENOK Ilya,KAZAKHSTAN,,22,272,
6,10001198134,MIZBANI IRANAGH Ghader,ISLAMIC REPUBLIC OF IRAN,TPT,39,268,
7,10002833188,BOLE Grega,SLOVENIA,VFN,29,215,
8,10007419470,EMAMI Rahim,ISLAMIC REPUBLIC OF IRAN,PKY,32,193,
9,10005570612,ANTOMARCHI Julien,FRANCE,LPM,30,190,
10,10005750262,GRADEK Kamil,POLAND,BDC,24,181,
11,10007129682,WITMITZ Samuel,AUSTRALIA,BFL,29,173,
12,10004599396,KONONENKO Mykhaylo,UKRAINE,KLS,27,170,
13,10006255571,WIPPERT Wouter,NETHERLANDS,DPC,24,169,
14,10007824850,KERRISON Jesse,AUSTRALIA,BFL,20,167,
15,10001148422,KADLEC Milan,CZECH REPUBLIC,ADP,37,158,
16,10010992508,MIRZA AL-HAMMADI Yousif,UNITED ARAB EMIRATES,,26,157,
17,10051858507,CARTHY Hugh John,GREAT BRITAIN,RCJ,20,148,
18,10007803733,KOLAHDOZ HAGH Amir,ISLAMIC REPUBLIC OF IRAN,TPT,21,143,
19,10006843231,GALEYEV Vadim,KAZAKHSTAN,AS2,22,134,
20,10003306569,POLIVODA Oleksandr,UKRAINE,KLS,27,129,
21,10003260190,BUTS Vitaliy,UKRAINE,KLS,28,125,
22,10021507510,TORIBIO ALCOLEA Jose Vicente,SPAIN,UKO,29,123,
23,10006166453,VAN UDEN Roman,NEW ZEALAND,CCN,26,114,
24,10061385119,PLIUSHKIN Alexandr,REPUBLIC OF MOLDOVA,,27,113,
25,10002084268,ZARGARI Amir,ISLAMIC REPUBLIC OF IRAN,PKY,34,111,
26,10002751144,GAVAZZI Mattia,ITALY,AMO,31,110,
26,10006606589,CLARKE William,AUSTRALIA,DPC,29,110,
28,10003078924,DI GREGORIO Remy,FRANCE,LPM,29,109,
29,10006278106,CHEUNG King Lok,HONG KONG, CHINA,HKS,23,108
30,10054655945,MANCEBO PEREZ Francisco,SPAIN,SKD,38,108,
31,10009816683,VAN DIEMEN Jurgen,NETHERLANDS,,23,107,
32,10007508790,ORKEN Ahmet,TURKEY,TRK,21,94,
33,10005572733,MEHRABANI AZAR Ramin,ISLAMIC REPUBLIC OF IRAN,PKY,28,88,
34,10007723709,SHEPPARD Eric,AUSTRALIA,TSI,23,87,
35,10001544102,AMORISON Frédéric,BELGIUM,WBC,36,86,
