Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10008888921,ROGLIČ Primož,SLOVENIA,TJV,30,"4705,28"
2,10007155752,ALAPHILIPPE Julian,FRANCE,DQT,27,"3569,95"
3,10003401246,FUGLSANG Jakob,DENMARK,AST,34,"3472,5"
4,10009584489,BERNAL GOMEZ Egan Arley,COLOMBIA,INS,22,"3346,75"
5,10001457509,VALVERDE Alejandro,SPAIN,MOV,39,3297
6,10004451371,VAN AVERMAET Greg,BELGIUM,CCC,34,"2947,33"
7,10007738055,ACKERMANN Pascal,GERMANY,BOH,25,2538
8,10003269183,KRISTOFF Alexander,NORWAY,UAD,32,"2484,5"
9,10005502914,VIVIANI Elia,ITALY,DQT,30,"2392,12"
10,10005460373,SAGAN Peter,SLOVAKIA,BOH,29,2232
11,10005513119,MOLLEMA Bauke,NETHERLANDS,TFS,33,2220
12,10007946203,VAN DER POEL Mathieu,NETHERLANDS,COC,24,2205
13,10005467952,ULISSI Diego,ITALY,UAD,30,2084
14,10009365433,NAESEN Oliver,BELGIUM,ALM,29,2072
15,10014972740,POGAČAR Tadej,SLOVENIA,UAD,21,"2065,33"
16,10007988235,BUCHMANN Emanuel,GERMANY,BOH,27,2043
17,10006453110,WELLENS Tim,BELGIUM,LTS,28,"1936,18"
18,10007059055,YATES Adam,GREAT BRITAIN,MTS,27,"1927,57"
19,10004774202,TRENTIN Matteo,ITALY,MTS,30,1920
20,10007809490,EWAN Caleb,AUSTRALIA,LTS,25,1845
21,10006738854,QUINTANA Nairo,COLOMBIA,MOV,29,1830
22,10006877886,LUTSENKO Alexey,KAZAKHSTAN,AST,27,1688
23,10008648037,WOODS Michael,CANADA,EF1,33,1684
24,10009165672,CARAPAZ Richard,ECUADOR,MOV,26,1607
25,10008693810,SCHACHMANN Maximilian,GERMANY,BOH,25,1528
26,10006631548,TEUNISSEN Mike,NETHERLANDS,TJV,27,"1514,63"
27,10006599519,BENNETT Sam,IRELAND,BOH,29,"1480,93"
28,10007293269,GROENEWEGEN Dylan,NETHERLANDS,TJV,26,"1452,83"
29,10009763436,LOPEZ MORENO Miguel Angel,COLOMBIA,AST,25,"1450,5"
30,10007750280,BENOOT Tiesj,BELGIUM,LTS,25,1444
31,10002916448,IMPEY Daryl,SOUTH AFRICA,MTS,35,1399
32,10002837838,NIBALI Vincenzo,ITALY,TBM,35,"1393,86"
33,10006291947,MATTHEWS Michael,AUSTRALIA,SUN,29,"1330,88"
34,10006836763,LANDA MEANA Mikel,SPAIN,MOV,30,1326
35,10010985535,HIGUITA GARCIA Sergio Andres,COLOMBIA,EF1,22,"1307,5"
36,10008622876,LAMPAERT Yves,BELGIUM,DQT,28,"1306,35"
37,10007585986,VAN AERT Wout,BELGIUM,TJV,25,1283
38,10002782264,ŠTYBAR Zdeněk,CZECH REPUBLIC,DQT,34,1275
39,10058736615,EVENEPOEL Remco,BELGIUM,DQT,19,"1272,23"
40,10008722607,POLITT Nils,GERMANY,TKA,25,"1253,95"
41,10003253221,THOMAS Geraint,GREAT BRITAIN,INS,33,"1234,25"
42,10006823528,STUYVEN Jasper,BELGIUM,TFS,27,1230
43,10004443994,KRUIJSWIJK Steven,NETHERLANDS,TJV,32,1230
44,10002416694,GILBERT Philippe,BELGIUM,DQT,37,1212
45,10007517076,MARTIN Guillaume,FRANCE,WGG,26,1204
46,10007834247,HAIG Jack,AUSTRALIA,MTS,26,1177
47,10011235109,GAUDU David,FRANCE,GFC,23,1157
48,10086252279,POELS Wouter,NETHERLANDS,INS,32,"1152,25"
49,10005889193,DENNIS Rohan,AUSTRALIA,TBM,29,"1150,86"
50,10007499494,KÜNG Stefan,SWITZERLAND,GFC,26,1138
51,10005902230,DUPONT Timothy,BELGIUM,WGG,32,1121
52,10008663090,BETTIOL Alberto,ITALY,EF1,26,1105
53,10005380450,MAJKA Rafal,POLAND,BOH,30,"1101,5"
54,10003259685,COSTA Rui,PORTUGAL,UAD,33,1097
55,10006473722,PINOT Thibaut,FRANCE,GFC,29,1092
56,10005977305,HERRADA Jesus,SPAIN,COF,29,1072
57,10011081424,GROSSSCHARTNER Felix,AUSTRIA,BOH,26,"1046,93"
58,10009743733,ASGREEN Kasper,DENMARK,DQT,24,"1029,12"
59,10011134368,SIVAKOV Pavel,RUSSIAN FEDERATION,INS,22,1028
60,10007167775,KONRAD Patrick,AUSTRIA,BOH,28,1018
61,10004443792,PLANCKAERT Baptiste,BELGIUM,WVA,31,1009
62,10042236612,IZAGUIRRE INSAUSTI Ion,SPAIN,AST,30,"1005,5"
63,10006491708,BARDET Romain,FRANCE,ALM,29,998
64,10007592050,TURGIS Anthony,FRANCE,TDE,25,996
65,10008685726,MAS NICOLAU Enric,SPAIN,DQT,24,"993,12"
66,10006468062,COLBRELLI Sonny,ITALY,TBM,29,993
67,10002444784,SANCHEZ Luis Leon,SPAIN,AST,36,"984,5"
68,10006679543,JUNGELS Bob,LUXEMBOURG,DQT,27,"972,83"
69,10003032949,CLARKE Simon,AUSTRALIA,EF1,33,968
70,10007524756,TEUNS Dylan,BELGIUM,TBM,27,965
71,10006895064,COQUARD Bryan,FRANCE,VCB,27,957
72,10005852821,KWIATKOWSKI Michal,POLAND,INS,29,"951,25"
73,10005391261,VANMARCKE Sep,BELGIUM,EF1,31,"945,83"
74,10007952263,COSNEFROY Benoit,FRANCE,ALM,24,936
75,10007216073,SARREAU Marc,FRANCE,GFC,26,933
76,10003105600,VISCONTI Giovanni,ITALY,NSK,36,931
77,10007518591,FORMOLO Davide,ITALY,BOH,27,"928,5"
78,10006497970,REGUIGUI Youcef,ALGERIA,TSG,29,921
79,10014827543,PHILIPSEN Jasper,BELGIUM,UAD,21,906
80,10006883243,HUNDAHL Michael Valgren,DENMARK,TDD,27,905
81,10009392412,VENDRAME Andrea,ITALY,ANS,25,904
82,10005379339,DEGENKOLB John,GERMANY,TFS,30,901
83,10008676632,JANSEN Amund Grøndahl,NORWAY,TJV,25,"895,63"
84,10006467052,DEMARE Arnaud,FRANCE,GFC,28,889
85,10005760164,PORTE Richie,AUSTRALIA,TFS,34,885
86,10006363685,DYBALL Benjamin,AUSTRALIA,TSC,30,"879,71"
87,10008912563,MASNADA Fausto,ITALY,ANS,26,846
88,10003224828,MARTIN Daniel,IRELAND,UAD,33,840
89,10008656828,GAVIRIA RENDON Fernando,COLOMBIA,UAD,25,834
90,10007914170,VAN ASBROECK Tom,BELGIUM,ICA,29,"821,71"
91,10008706136,JAKOBSEN Fabio,NETHERLANDS,DQT,23,"812,43"
92,10008673804,GIBBONS Ryan,SOUTH AFRICA,TDD,25,812
93,10008689564,PEDERSEN Mads,DENMARK,TFS,24,808
94,10002836626,TERPSTRA Niki,NETHERLANDS,TDE,35,801
95,10011144068,HIRSCHI Marc,SWITZERLAND,SUN,21,"795,77"
96,10008686332,MOHORIC Matej,SLOVENIA,TBM,25,766
97,10009850534,HOFSTETTER Hugo,FRANCE,COF,25,760
98,10009709175,CICCONE Giulio,ITALY,TFS,25,755
99,10008198096,LAPORTE Christophe,FRANCE,COF,27,"746,5"
100,10007856677,BARGUIL Warren,FRANCE,PCB,28,734
101,10009366241,DE BONDT Dries,BELGIUM,COC,28,722
102,10055330194,YATES Simon Philip,GREAT BRITAIN,MTS,27,720
103,10007516773,SENECHAL Florian,FRANCE,DQT,26,708
104,10003085994,HERMANS Ben,BELGIUM,ICA,33,"687,83"
105,10003357901,IZAGIRRE INSAUSTI Gorka,SPAIN,AST,32,"685,5"
106,10009226401,MARTINEZ POVEDA Daniel Felipe,COLOMBIA,EF1,23,"678,83"
107,10008658545,GARCIA CORTINA Ivan,SPAIN,TBM,24,676
108,10009728070,VLASOV Aleksandr,RUSSIAN FEDERATION,GAZ,23,"671,43"
109,10007357331,DE BUYST Jasper,BELGIUM,LTS,26,670
110,10016277792,SOSA CUERVO Ivan Ramiro,COLOMBIA,INS,22,"668,5"
111,10007096239,MERLIER Tim,BELGIUM,COC,27,660
112,10005876160,NIZZOLO Giacomo,ITALY,TDD,30,658
113,10008895183,CALMEJANE Lilian,FRANCE,TDE,27,657
114,10014621621,LAMBRECHT Bjorg,BELGIUM,LTS,22,"649,29"
115,10009163753,MADOUAS Valentin,FRANCE,GFC,23,642
116,10007935085,NEILANDS Krists,LATVIA,ICA,25,641
117,10008855171,GHEBREMEDHIN Merhawi,ERITREA,AST,25,636
118,10009197301,BALKAN Onur,TURKEY,SBB,23,635
119,10006919215,KEUKELEIRE Jens,BELGIUM,LTS,31,635
120,10007609228,BILBAO LOPEZ DE ARMENTIA Peio,SPAIN,AST,29,634
121,10008675622,HAVIK Piotr,NETHERLANDS,BRT,25,"616,67"
122,10003308993,MØRKØV Michael,DENMARK,DQT,34,"609,55"
123,10008673501,GEOGHEGAN HART Tao,GREAT BRITAIN,INS,24,600
