Rank,Name,Team Code,Nationality,Points
1,BENNELONG SWISSWELLNESS CYCLING TEAM,BSC,AUSTRALIA,827
2,DRAPAC EF P/B CANNONDALE HOLISTIC DEVELOPMENT TEAM,DEC,AUSTRALIA,611
3,BRISBANE CONTINENTAL CYCLING TEAM,BCT,AUSTRALIA,270
4,MOBIUS BRIDGELANE,MBL,AUSTRALIA,270
5,ONE PRO CYCLING,ONE,GREAT BRITAIN,216
6,JLT CONDOR,JLT,GREAT BRITAIN,71
7,AUSTRALIAN CYCLING ACADEMY - RIDE SUNSHINE COAST,ACA,AUSTRALIA,66
8,AQUA BLUE SPORT,ABS,IRELAND,58
9,MITCHELTON - BIKEEXCHANGE,MBE,PEOPLE'S REPUBLIC OF CHINA,42
10,ST GEORGE CONTINENTAL CYCLING TEAM,STG,AUSTRALIA,33
11,ISRAEL CYCLING ACADEMY,ICA,ISRAEL,31
12,TEAM WIGGINS,WGN,GREAT BRITAIN,30
13,OLIVER'S REAL FOOD RACING,OLI,AUSTRALIA,24
14,JELLY BELLY P/B MAXXIS,JBC,UNITED STATES OF AMERICA,15
15,CANYON EISBERG,BCC,GREAT BRITAIN,6
16,H&R BLOCK PRO CYCLING TEAM,HRB,CANADA,6
17,ROOMPOT - NEDERLANDSE LOTERIJ,RNL,NETHERLANDS,5
18,INTERPRO STRADALLI CYCLING,IPC,JAPAN,3
19,WANTY - GROUPE GOBERT,WGG,BELGIUM,1
20,TIROL CYCLING TEAM,TIR,AUSTRIA,1
