Rank,Name,Team Code,Nationality,Points
1,PISHGAMAN GIANT TEAM,PKY,ISLAMIC REPUBLIC OF IRAN,"990,25"
2,SKYDIVE DUBAI PRO CYCLING TEAM - AL AHLI CLUB,SKD,UNITED ARAB EMIRATES,839
3,TABRIZ PETROCHEMICAL TEAM,TPT,ISLAMIC REPUBLIC OF IRAN,726
4,NIPPO - VINI FANTINI,NIP,ITALY,542
5,SOUTHEAST,STH,ITALY,539
6,RTS-SANTIC RACING TEAM,RTS,CHINESE TAIPEI,476
7,KOLSS-BDC TEAM,KLS,UKRAINE,422
8,ADRIA MOBIL,ADR,SLOVENIA,383
9,AVANTI RACING TEAM,ART,NEW ZEALAND,380
10,AMORE & VITA - SELLE SMP,AMO,UKRAINE,358
11,BRIDGESTONE ANCHOR CYCLING TEAM,BGT,JAPAN,301
12,DRAPAC PROFESSIONAL CYCLING,DPC,AUSTRALIA,268
13,HKSI PRO CYCLING,HKS,"HONG KONG, CHINA",248
14,KUWAIT CYCLING PROJECT,KCP,KUWAIT,247
15,VINO 4-EVER,V4E,KAZAKHSTAN,234
16,MTN - QHUBEKA,MTN,SOUTH AFRICA,233
17,TERENGGANU CYCLING TEAM,TSG,MALAYSIA,221
18,TEAM MARSEILLE 13 KTM,M13,FRANCE,209
19,MATRIX POWERTAG,MTR,JAPAN,184
20,RIETUMU - DELFIN,RBD,LATVIA,175
21,PARKHOTEL VALKENBURG CONTINENTAL TEAM,PVC,NETHERLANDS,167
22,SEOUL CYCLING TEAM,SCT,KOREA,153
23,TEAM UKYO,UKO,JAPAN,144
24,TEAM 7 - ELEVEN ROADBIKE PHILIPPINES,T7E,PHILIPPINES,138
25,HENGXIANG CYCLING TEAM,HEN,PEOPLE'S REPUBLIC OF CHINA,115
26,,,,110
27,UNITEDHEALTHCARE PROFESSIONAL CYCLING TEAM,UHC,UNITED STATES OF AMERICA,104
28,BEIJING INNOVA CYCLING TEAM,IAT,PEOPLE'S REPUBLIC OF CHINA,97
29,SYNERGY BAKU CYCLING PROJECT,BCP,AZERBAIJAN,95
30,RUSVELO,RVL,RUSSIAN FEDERATION,94
31,CCT p/b CHAMPION SYSTEM,CCT,NEW ZEALAND,93
32,METEC - TKH CONTINENTAL CYCLINGTEAM P/B MANTEL,MET,NETHERLANDS,91
33,AISAN RACING TEAM,AIS,JAPAN,90
34,KSPO,KSP,KOREA,85
34,NINGXIA SPORTS LOTTERY - FOCUS CYCLING TEAM,NFC,PEOPLE'S REPUBLIC OF CHINA,85
36,TORKU SEKERSPOR,TRK,TURKEY,75
37,ATTAQUE TEAM GUSTO,ATG,CHINESE TAIPEI,70
38,TABRIZ SHAHRDARI TEAM,TST,ISLAMIC REPUBLIC OF IRAN,64
39,TEAM BUDGET FORKLIFTS,BFL,AUSTRALIA,57
39,CCN CYCLING TEAM,CCN,LAO PEOPLE'S DEMOCRATIC REPUBLIC,57
41,SEVEN RIVERS CYCLING TEAM,SIL,KAZAKHSTAN,54
42,TEAM EUROPCAR,EUC,FRANCE,48
43,BRETAGNE-SECHE ENVIRONNEMENT,BSE,FRANCE,46
44,CCC SPRANDI POLKOWICE,CCC,POLAND,45
44,TEAM NOVO NORDISK,TNN,UNITED STATES OF AMERICA,45
46,UTSUNOMIYA BLITZEN,BLZ,JAPAN,44
47,BORA-ARGON 18,BOA,GERMANY,42
47,PEGASUS CONTINENTAL CYCLING TEAM,PCT,INDONESIA,42
49,BARDIANI CSF,BAR,ITALY,40
50,COLOMBIA,COL,COLOMBIA,39
50,DATA #3 SYMANTEC RACING TEAM p/b SCODY,DSR,AUSTRALIA,39
52,SHIMANO RACING TEAM,SMN,JAPAN,33
53,ACTION CYCLING TEAM,ACY,CHINESE TAIPEI,32
53,BABYDUMP CYCLING TEAM,BBD,NETHERLANDS,32
55,NAVITAS SATALYST RACING TEAM,NSR,AUSTRALIA,27
56,SEARCH2RETAIN-HEALTH.COM.AU CYCLING TEAM,STR,AUSTRALIA,25
57,"COFIDIS, SOLUTIONS CREDITS",COF,FRANCE,24
58,NASU BLASEN,NAS,JAPAN,21
59,TEAM VORARLBERG,VBG,AUSTRIA,20
59,JLT CONDOR,JLT,GREAT BRITAIN,20
59,GEUMSAN INSAM CELLO,GIC,KOREA,20
59,UNIEURO WILIER,UNI,ITALY,20
59,LUPUS RACING TEAM,LRT,UNITED STATES OF AMERICA,20
64,TIROL CYCLING TEAM,TIR,AUSTRIA,19
65,TEAM TREFOR - BLUE WATER,TBW,DENMARK,18
65,NATIONAL SPORT COUNCIL OF MALAYSIA CYCLING TEAM,NSC,MALAYSIA,18
67,TEAM DUKLA PRAHA,ADP,CZECH REPUBLIC,15
68,KORAIL CYCLING TEAM,KCT,KOREA,14
68,KINAN CYCLING TEAM,KIN,JAPAN,14
70,SEG RACING,SEG,NETHERLANDS,12
70,TEAM LVSHAN LANDSCAPE,LSL,PEOPLE'S REPUBLIC OF CHINA,12
72,,,,11
73,BIKE AID,BAI,GERMANY,10
74,ANDRONI GIOCATTOLI - SIDERMEC,AND,ITALY,9
74,RABOBANK DEVELOPMENT TEAM,RDT,NETHERLANDS,9
76,,,,8
76,TEAM SMARTSTOP,SSC,UNITED STATES OF AMERICA,8
76,VERANCLASSIC - EKOI,VER,BELGIUM,8
