Rank,Name,Team Code,Nationality,Points
1,TEAM JAYCO - SKINS,JAS,AUSTRALIA,267
2,FLY V AUSTRALIA,VAU,AUSTRALIA,248
3,CERVELO TEST TEAM,CWT,NETHERLANDS,206
4,ENDURA RACING,EDR,GREAT BRITAIN,93
5,BBOX BOUYGUES TELECOM,BTL,FRANCE,83
6,DRAPAC PORSCHE CYCLING,DPC,AUSTRALIA,79
7,THÜRINGER ENERGIE TEAM,TET,GERMANY,78
8,VACANSOLEIL PRO CYCLING TEAM,VAC,NETHERLANDS,73
9,,,,"65,66"
10,SPIDERTECH POWERED BY PLANET ENERGY,CSM,CANADA,40
11,BISSELL,BPC,UNITED STATES OF AMERICA,"37,64"
12,SUBWAY - AVANTI,SWA,NEW ZEALAND,"34,64"
13,,,,32
14,JELLY BELLY PRESENTED BY KENDA,JBC,UNITED STATES OF AMERICA,26
15,PALMEIRAS RESORT - PRIO,PRT,PORTUGAL,20
16,GENESYS WEALTH ADVISERS,GEN,AUSTRALIA,19
17,QIN CYCLING TEAM,QCT,BELGIUM,19
18,TEAM SPROCKET,SPK,SWEDEN,14
19,LETUA CYCLING TEAM,L2A,MALAYSIA,12
20,TEAM CONCORDIA FORSIKRING - HIMMERLAND,VPC,DENMARK,10
21,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,10
22,TEAM KATUSHA,KAT,RUSSIAN FEDERATION,8
23,LOTTO - BODYSOL,PCW,BELGIUM,8
24,XACOBEO GALICIA,XAC,SPAIN,7
25,ADRIA MOBIL,ADR,SLOVENIA,5
26,RAPHA CONDOR - SHARP,RCS,GREAT BRITAIN,4
27,UNITEDHEALTHCARE PRESENTED BY MAXXIS,UHC,UNITED STATES OF AMERICA,2
