Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10005972655,VAN DER BREGGEN Anna,NETHERLANDS,RBW,25,"1257,75"
2,10004598891,DEIGNAN Elizabeth,GREAT BRITAIN,DLT,27,"1024,5"
3,10004779050,D'HOORE Jolien,BELGIUM,WHT,25,962
4,10002732552,JOHANSSON Emma,SWEDEN,OGE,32,928
5,10007614985,LONGO BORGHINI Elisa,ITALY,WHT,24,864
6,10006919619,MOOLMAN-PASIO Ashleigh,SOUTH AFRICA,BCT,30,"764,17"
7,10004602935,BRENNAUER Lisa,GERMANY,VEL,27,725
8,10005894146,GUARNIER Megan,UNITED STATES OF AMERICA,DLT,30,"719,67"
9,10002919175,WILD Kirsten,NETHERLANDS,HPU,33,"690,25"
10,10006605680,BRAND Lucinda,NETHERLANDS,RBW,26,"648,75"
11,10005492002,AMIALIUSIK Alena,BELARUS,VEL,26,644
12,10008682490,NIEWIADOMA Katarzyna,POLAND,RBW,21,607
13,10003264335,VAN DIJK Ellen,NETHERLANDS,DLT,28,"542,25"
14,10004779252,PIETERS Amy,NETHERLANDS,TLP,24,"506,5"
15,10005688426,OLDS Shelley,UNITED STATES OF AMERICA,ALE,35,481
16,10005669935,MAJERUS Christine,LUXEMBOURG,DLT,28,"473,5"
17,10006065514,VAN VLEUTEN Annemiek,NETHERLANDS,BCT,33,473
18,10006629831,FERRAND PREVOT Pauline,FRANCE,RBW,23,467
19,10006881122,CECCHINI Elena,ITALY,LBL,23,465
20,10008838401,STEPHENS Lauren,UNITED STATES OF AMERICA,TIB,29,452
21,10002525317,BRONZINI Giorgia,ITALY,WHT,32,446
22,10002059414,WORRACK Trixi,GERMANY,VEL,34,399
23,10006919518,STEVENS Evelyn,UNITED STATES OF AMERICA,DLT,32,"358,92"
24,10004596770,CROMWELL Tiffany,AUSTRALIA,VEL,27,353
25,10005781584,HOSKING Chloe,AUSTRALIA,WHT,25,333
26,10005971645,KITCHEN Lauren,AUSTRALIA,HPU,25,"322,67"
27,10009003402,GARFOOT Katrin,AUSTRALIA,OGE,34,"317,92"
