Rank;UCI ID;Name;Nationality;Team Code;Age;Points
95;10045497125;BESTER Shaun-Nick;SOUTH AFRICA;;24;18
96;10005869288;BEN YOUCEF Abdellah;ALGERIA;GSP;28;18
97;10009023206;DEBRETSION Aron;ERITREA;;23;18
98;10006472914;EIDSHEIM Filip;NORWAY;FIX;25;18
99;10008610651;PRETORIUS Michael;NAMIBIA;;20;17,67
100;10008606611;SEIBEB Raul Costa;NAMIBIA;;23;17
101;10008882655;BLOMME Lorenzo;BELGIUM;;21;17
102;10007366425;MBA Hervé Raoul;CAMEROON;;31;17
103;10008667740;CISSE Isiaka;COTE D'IVOIRE;;24;17
104;10008691281;PUNTSO Endrik;ESTONIA;;22;16
105;10002345259;SMET Guy;BELGIUM;CIB;43;16
106;10010682613;SEEYAVE Jeremy;MAURITIUS;;19;16
107;10010885202;ANSITANGA KONGBO Toussaint;CENTRAL AFRICAN REPUBLIC;;34;16
108;10010877623;DOKO Shine;ZIMBABWE;;32;16
109;10009816986;MOKHTARI Hichem;ALGERIA;VCS;19;16
110;10010585512;HAILU HADEGE Yonatan;ERITREA;;21;16
111;10010645429;MAKHCHOUN Mounir;MOROCCO;;21;16
112;10010090004;BASSON Gustav;SOUTH AFRICA;;19;16
113;10061465446;DEMUNCK Koen;BELGIUM;;34;16
114;10006518986;HASNAOUI Meher;TUNISIA;SKD;26;15
115;10005548986;KONTÉ Bassirou;COTE D'IVOIRE;;27;15
115;10006057935;DE TROYER Tim;BELGIUM;WGG;25;15
117;10010592178;KIREVHA Albert;ZIMBABWE;;25;14
118;10061701882;ILBOUDO Harouna;BURKINA FASO;;29;14
119;10008002783;HAMZA Mohamed Kamel;ALGERIA;;23;13
120;10006481907;HENDRICKS Clint;SOUTH AFRICA;;24;13
121;10009363110;LONTSI Yannick;CAMEROON;;26;13
122;10009986536;PYFFEROEN Matthias;BELGIUM;;20;13
123;10008728970;STOCKER Manuel;SWITZERLAND;CCD;24;13
124;10003402054;BEN NASR Hassen;TUNISIA;;29;12
125;10009639255;ABDERRAHIM Zahiri;MOROCCO;;19;12
126;10007368344;HATEGEKA Gasore;RWANDA;;28;12
127;10010082829;NGABA Modeste;CENTRAL AFRICAN REPUBLIC;;27;12
128;10010111222;SEID Kedir;ETHIOPIA;;20;12
129;10005834431;NIYONSHUTI Adrien;RWANDA;MTN;28;12
130;10010101421;BEN AMOR Nadhem;TUNISIA;;22;12
131;10010090509;CHAQRI Aziz;MOROCCO;;24;12
132;10005567578;AARBIA Adnane;MOROCCO;;32;12
133;10010094751;SAHBAOUI Soufiane;MOROCCO;;20;12
134;10004777131;WINTERBERG Lukas;SWITZERLAND;;27;12
135;10006465335;HAILE Dawit;ERITREA;;28;12
136;10007861529;ABDENNEBI Khaled;ALGERIA;;27;12
137;10003388617;HOFFMAN Nolan;SOUTH AFRICA;;30;12
138;10006659840;YEMANE Bereket;ERITREA;;28;12
139;10006903855;GASPARRINI Rino;ITALY;UNI;23;11
140;10010085657;OUABANGUI PEPIN Clotaire;CENTRAL AFRICAN REPUBLIC;;26;10
141;10010111020;TEKA Endale;ETHIOPIA;;19;10
142;10010095862;UWIZEYE Jean Claude;RWANDA;;21;10
143;10010877522;CLAASEN Thomas;ZIMBABWE;;21;10
144;10010806588;MEKDAD Elhachemi Boudjema;ALGERIA;;20;10
145;10004808352;FOUCHE Herman;SOUTH AFRICA;;28;10
146;10006049851;MAREE David;SOUTH AFRICA;;26;10
147;10003063968;CLARKE David;GREAT BRITAIN;;36;10
