Rank,Name,Team Code,Nationality,Points
1,BOELS DOLMANS CYCLINGTEAM,DLT,NETHERLANDS,3368
2,TEAM SUNWEB,SUN,NETHERLANDS,3050
3,ORICA SCOTT,ORS,AUSTRALIA,2705
4,WM3 PRO CYCLING TEAM,WM3,NETHERLANDS,2412
5,CERVELO - BIGLA PRO CYCLING TEAM,CBT,GERMANY,2334
6,WIGGLE HIGH5,WHT,GREAT BRITAIN,2287
7,CANYON SRAM RACING,LPR,GERMANY,1814
8,ALE CIPOLLINI,ALE,ITALY,1471
9,BTC CITY LJUBLJANA,BTC,SLOVENIA,1092
10,CYLANCE PRO CYCLING,CPC,UNITED STATES OF AMERICA,1051
11,FDJ NOUVELLE AQUITAINE FUTUROSCOPE,FDJ,FRANCE,1033
12,UNITEDHEALTHCARE PRO CYCLING TEAM,UHC,UNITED STATES OF AMERICA,901
13,HITEC PRODUCTS,HPU,NORWAY,793
14,TEAM TIBCO - SILICON VALLEY BANK,TIB,UNITED STATES OF AMERICA,763
15,DROPS,DRP,GREAT BRITAIN,673
16,LENSWORLD - KUOTA,LWK,BELGIUM,664
17,ASTANA WOMEN'S TEAM,ASA,KAZAKHSTAN,652
18,BEPINK COGEAS,BPK,ITALY,639
19,LOTTO SOUDAL LADIES,LSL,BELGIUM,473
20,PARKHOTEL VALKENBURG - DESTIL CYCLING TEAM,PVD,NETHERLANDS,423
21,TEAM VIRTU CYCLING,TVC,DENMARK,420
22,SHO - AIR TWENTY20,T20,UNITED STATES OF AMERICA,380
23,BIZKAIA - DURANGO,BDP,SPAIN,290
24,LARES - WAOWDEALS WOMEN CYCLING TEAM,LWD,BELGIUM,279
25,AROMITALIA VAIANO,VAI,ITALY,269
26,RALLY CYCLING,RLW,UNITED STATES OF AMERICA,259
27,TEAM WNT PRO CYCLING,WNT,GREAT BRITAIN,253
28,VALCAR PBM,VAL,ITALY,155
29,THAILAND WOMEN'S CYCLING TEAM,TWC,THAILAND,149
30,HAGENS BERMAN / SUPERMINT,HBS,UNITED STATES OF AMERICA,146
31,LOINTEK,LTK,SPAIN,134
32,SERVETTO GIUSTA,SER,ITALY,130
33,VISIT DALLAS DNA PRO CYCLING,DNA,UNITED STATES OF AMERICA,121
34,SPORT VLAANDEREN - GUILL D'OR,SVG,BELGIUM,115
35,S.C. MICHELA FANINI,MIC,ITALY,115
36,MINSK CYCLING CLUB,MCC,BELARUS,74
37,CHINA CHONGMING - LIV PRO CYCLING,GPC,"HONG KONG, CHINA",69
38,GIUSFREDI BIANCHI,GSB,ITALY,51
39,CONCERIA ZABRI-FANINI-GUERCIOTTI,CZG,ALBANIA,36
40,COLAVITA/BIANCHI USA,COV,UNITED STATES OF AMERICA,30
41,TOP GIRLS FASSA BORTOLO,TOP,ITALY,27
42,TEAM ILLUMINATE,ILU,UNITED STATES OF AMERICA,14
43,SAS - MACOGEP,SAS,CANADA,10
44,WEBER SHIMANO LADIES POWER,SLP,ARGENTINA,9
