Rank,Name,Team Code,Nationality,Points
97,NIPPO-PROVENCE-PTS CONTI,NIP,SWITZERLAND,187
98,UTSUNOMIYA BLITZEN,BLZ,JAPAN,185
99,KINAN CYCLING TEAM,KIN,JAPAN,177
100,THAILAND  CONTINENTAL CYCLING TEAM,TCC,THAILAND,165
101,LVIV CYCLING TEAM,LCT,UKRAINE,161
102,TRINITY RACING,TRI,GREAT BRITAIN,157
103,SKOL ADRIEN CYCLING ACADEMY,SAC,RWANDA,"156,65"
104,HRINKOW ADVARICS CYCLEANG,HAC,AUSTRIA,151
105,TAVFER-MEASINDOT-MORTÁGUA,TAV,PORTUGAL,151
106,WORK SERVICE - MARCHIOL - DYNATEK,IWM,ITALY,149
107,ABLOC CT,ABC,NETHERLANDS,148
108,BELAZ,BAZ,BELARUS,147
109,AEVOLO,AEV,UNITED STATES OF AMERICA,146
110,MERIDIANA KAMEN TEAM,MKT,CROATIA,137
111,AISAN RACING TEAM,AIS,JAPAN,133
112,GLOBAL 6 CYCLING,GLC,NEW ZEALAND,131
113,GENERAL STORE - F.LLI  CURIA - ESSEGIBI,GEF,ITALY,129
114,CYCLING TEAM FRIULI ASD,CTF,ITALY,127
115,COLNAGO CM TEAM,CCM,COLOMBIA,125
116,TIANYOUDE HOTEL CYCLING TEAM,TYD,PEOPLE'S REPUBLIC OF CHINA,121
117,TEAM SKS SAUERLAND NRW,SVL,GERMANY,113
118,MG.K VIS VPM,MGK,ITALY,113
119,ATUM GENERAL/TAVIRA/MARIA NOVA HOTEL,ATM,PORTUGAL,110
120,CYCLING ACADEMY TRENČÍN,CAT,SLOVAKIA,110
121,TEAM SAPURA CYCLING,TSC,MALAYSIA,110
122,SIDI ALI - KINETIK SPORTS PRO CYCLING TEAM,SKT,MOROCCO,108
123,D'AMICO UM TOOLS,AZT,ITALY,107
124,ISEO - RIME - CARNOVALI,IRC,ITALY,104
125,GIOS,GIS,BOLIVARIAN REPUBLIC OF VENEZUELA,103
126,ALPECIN-FENIX DEVELOPMENT TEAM,AFD,BELGIUM,98
127,MATRIX POWERTAG,MTR,JAPAN,87
128,BENEDICTION IGNITE,BIG,RWANDA,86
129,TUFO - PARDUS PROSTEJOV,SKC,CZECH REPUBLIC,82
130,TEAM BRIDGESTONE CYCLING,BGT,JAPAN,81
131,MULA,MLA,INDONESIA,81
132,ALMATY CYCLING TEAM,ALT,KAZAKHSTAN,80
133,TEAM BRIDGELANE,BLN,AUSTRALIA,80
134,KELLY / SIMOLDES / UDO,KSU,PORTUGAL,77
135,TEAM UKYO SAGAMIHARA,UKO,JAPAN,76
136,SWEET NICE CONTINENTAL,SNC,MALAYSIA,75
137,ELECTRO HIPER EUROPA,EHE,ARGENTINA,74
138,ST GEORGE CONTINENTAL CYCLING TEAM,STG,AUSTRALIA,73
139,HENGXIANG CYCLING TEAM,HEN,PEOPLE'S REPUBLIC OF CHINA,70
140,TEAM NOVO NORDISK,TNN,UNITED STATES OF AMERICA,67
141,RADIO POPULAR - BOAVISTA,RPB,PORTUGAL,64
142,AMORE E VITA,AMO,UKRAINE,63
143,ANTARTE - FEIRENSE,CDF,PORTUGAL,61
144,EUROCAR GRAWE UKRAINE,EGU,UKRAINE,61
145,KFC CYCLING TEAM,KFC,INDONESIA,59
146,RESTAURANT SURI CARL RAS,SCC,DENMARK,56
147,ELEVATE - WEBIPLEX PRO CYCLING,ELV,UNITED STATES OF AMERICA,56
148,SAINT PIRAN,SPC,GREAT BRITAIN,48
149,RAD-NET ROSE TEAM,RNR,GERMANY,45
150,BINGOAL PAUWELS SAUCES WB DEVELOPMENT TEAM,WBD,BELGIUM,42
151,KSPO PROFESSIONAL,KSP,KOREA,33
152,SEOUL CYCLING TEAM,SCT,KOREA,31
153,FOOLAD MOBARAKEH SEPAHAN,FSC,ISLAMIC REPUBLIC OF IRAN,30
154,LOULETANO - LOULÉ CONCELHO,LLC,PORTUGAL,30
155,KORAIL CYCLING TEAM,KCT,KOREA,26
156,GEUMSAN INSAM CELLO,GIC,KOREA,25
157,CHINA CONTINENTAL TEAM OF GANSU BANK,GCB,PEOPLE'S REPUBLIC OF CHINA,24
158,MALOJA PUSHBIKERS,PBS,GERMANY,22
159,MASSI VIVO - CONECTA,MVC,PARAGUAY,19
159,L.A. ALUMÍNIOS / L.A. SPORT,LAA,PORTUGAL,19
161,TEAM DAUNER | AKKON,TDA,GERMANY,15
162,TEAM NOVO NORDISK DEVELOPMENT,TND,UNITED STATES OF AMERICA,15
163,FEREI-CCN,FCT,BELARUS,15
164,SWIFTCARBON PRO CYCLING,SCB,GREAT BRITAIN,14
165,UNION RAIFFEISEN RADTEAM TIROL,URT,AUSTRIA,14
166,LX CYCLING TEAM,LXC,KOREA,13
166,YOELEO TEST TEAM P/B 4MIND,Y4M,CANADA,13
168,BELTRAMI TSA TRE COLLI,BTC,ITALY,13
169,TEAM NOVAK,TNV,ROMANIA,10
170,GAPYEONG CYCLING TEAM,GPC,KOREA,8
171,NASU BLASEN,NAS,JAPAN,7
171,CHINA HUAJIAN CYCLING TEAM,CHJ,PEOPLE'S REPUBLIC OF CHINA,7
173,BAHRAIN CYCLING ACADEMY,BCA,BAHRAIN,6
173,ROOJAI.COM CYCLING TEAM,RJC,INDONESIA,6
175,HKSI PRO CYCLING TEAM,HKS,"HONG KONG, CHINA",5
176,PARDUS   CYCLING  TEAM,PDS,PEOPLE'S REPUBLIC OF CHINA,4
177,SHIMANO RACING TEAM,SMN,JAPAN,3
177,TEAM ILLUMINATE,ILU,UNITED STATES OF AMERICA,3
177,MEIYO CCN PRO CYCLING,MPC,CHINESE TAIPEI,3
180,ARA PRO RACING SUNSHINE COAST,ACA,AUSTRALIA,1
