Rank,Name,Team Code,Nationality,Points
1,TABRIZ PETROCHEMICAL CYCLING TEAM,TPT,ISLAMIC REPUBLIC OF IRAN,"1983,3"
2,AZAD UNIVERSITY IRAN,IAU,ISLAMIC REPUBLIC OF IRAN,"651,98"
3,GIANT ASIA RACING TEAM,GNT,CHINESE TAIPEI,"507,97"
4,,,,357
5,JELLY BELLY PRESENTED BY KENDA,JBC,UNITED STATES OF AMERICA,218
6,TEAM NUTRIXXION SPARKASSE,TSP,GERMANY,212
7,SEOUL CYCLING,SCT,KOREA,205
8,CARMIOORO NGC,CMO,GREAT BRITAIN,195
9,BRIDGESTONE ANCHOR,BGT,JAPAN,192
10,GEUMSAN GINSENG ASIA,GGA,KOREA,189
11,VACANSOLEIL PRO CYCLING TEAM,VAC,NETHERLANDS,163
12,LOBORIKA,LOB,CROATIA,154
13,POLYGON SWEET NICE,PSN,INDONESIA,151
14,AISAN RACING TEAM,AIS,JAPAN,124
15,SHIMANO RACING,SMN,JAPAN,119
16,TEAM JAYCO - SKINS,JAS,AUSTRALIA,117
17,AMORE & VITA - CONAD,AMO,UKRAINE,111
18,FLY V AUSTRALIA,VAU,AUSTRALIA,95
19,DRAPAC PORSCHE CYCLING,DPC,AUSTRALIA,91
20,DE ROSA - STAC PLASTIC,DER,IRELAND,85
21,,,,78
22,ISD - NERI,ISD,GREAT BRITAIN,75
23,KELLY BENEFIT STRATEGIES,KBS,UNITED STATES OF AMERICA,71
24,KSPO,KSP,KOREA,70
25,,,,65
26,GENESYS WEALTH ADVISERS,GEN,AUSTRALIA,56
27,CERVELO TEST TEAM,CWT,NETHERLANDS,53
28,LETUA CYCLING TEAM,L2A,MALAYSIA,47
29,SAVA,SAK,SLOVENIA,47
30,CERAMICA FLAMINIA,FLM,IRELAND,46
31,SUBWAY - AVANTI,SWA,NEW ZEALAND,44
32,ARBÖ KTM - GEBRÜDER WEISS,KTM,AUSTRIA,41
33,RAPHA CONDOR - SHARP,RCS,GREAT BRITAIN,40
34,ADRIA MOBIL,ADR,SLOVENIA,39
35,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,35
36,MARCO POLO CYCLING TEAM,MPC,PEOPLE'S REPUBLIC OF CHINA,34
37,KENDA PRESENTED BY GEAR GRINDER,KPC,UNITED STATES OF AMERICA,32
38,ACTION CYCLING TEAM,ACT,CHINESE TAIPEI,"25,98"
39,MAX SUCCESS SPORTS,MSS,PEOPLE'S REPUBLIC OF CHINA,24
40,MROZ ACTIVE JET,MRO,POLAND,23
41,TYROL TEAM,TYR,AUSTRIA,22
42,HERAKLION KASTRO - MURCIA,TKT,GREECE,17
43,UTSUNOMIYA BLITZEN,BLZ,JAPAN,17
44,VALI ASR KERMAN TEAM,VAK,ISLAMIC REPUBLIC OF IRAN,15
45,CCC POLSAT POLKOWICE,CCC,POLAND,15
46,PARTIZAN SRBIJA,ZAN,SERBIA,14
47,SKIL - SHIMANO,SKS,NETHERLANDS,13
48,JOKER BIANCHI,TJB,NORWAY,12
49,CYCLINGTEAM JO PIELS,CJP,NETHERLANDS,12
50,TEAM TYPE 1,TT1,UNITED STATES OF AMERICA,11
51,QINGHAI TIANYOUDE CYCLING TEAM,TYD,PEOPLE'S REPUBLIC OF CHINA,10
52,MTN ENERGADE,MTN,SOUTH AFRICA,9
53,VORARLBERG - CORRATEC,VBG,AUSTRIA,9
54,KATYUSHA CONTINENTAL TEAM,KTA,RUSSIAN FEDERATION,8
54,TEAM NETAPP,APP,GERMANY,8
56,BBOX BOUYGUES TELECOM,BTL,FRANCE,7
57,SAUR - SOJASUN,SAU,FRANCE,"6,8"
58,GLUD & MARSTRAND - LRO RADGIVNING,GLU,DENMARK,6
58,QIN CYCLING TEAM,QCT,BELGIUM,6
60,SP TABLEWARE,SPT,GREECE,5
60,KOLSS CYCLING TEAM,KLS,UKRAINE,5
62,AC SPARTA PRAHA,ASP,CZECH REPUBLIC,4
