Rank,Name,Team Code,Nationality,Points
1,MEDELLIN,MED,COLOMBIA,"1440,02"
2,RALLY UHC CYCLING,RLY,UNITED STATES OF AMERICA,1339
3,FLOYD'S PRO CYCLING,FPC,CANADA,1040
4,HAGENS BERMAN AXEON,HBA,UNITED STATES OF AMERICA,"1034,33"
5,CANEL'S - SPECIALIZED,CAS,MEXICO,809
6,ELEVATE - KHS PRO CYCLING,ELV,UNITED STATES OF AMERICA,743
7,MOVISTAR TEAM ECUADOR,MTE,ECUADOR,674
8,MANZANA POSTOBON TEAM,MZN,COLOMBIA,650
9,COLDEPORTES BICICLETAS STRONGMAN,CBS,COLOMBIA,436
10,SÃO FRANCISCO SAÚDE / KLABIN / SME RIBEIRÃO PRETO,SFS,BRAZIL,329
11,TEAM ILLUMINATE,ILU,UNITED STATES OF AMERICA,327
12,COLDEPORTES ZENU,ECZ,COLOMBIA,325
13,AEVOLO,AEV,UNITED STATES OF AMERICA,246
14,TEAM NOVO NORDISK,TNN,UNITED STATES OF AMERICA,"200,67"
15,GW SHIMANO,GWS,COLOMBIA,200
16,INTEJA IMCA - RIDEA DCT,DCT,DOMINICAN REPUBLIC,199
17,ARAPAHOE | HINCAPIE POWERED BY BMC,AHB,UNITED STATES OF AMERICA,178
18,DC BANK PRO CYCLING TEAM,DCB,CANADA,165
19,ASOCIACIÓN CIVIL AGRUPACIÓN VIRGEN DE FATIMA,AVF,ARGENTINA,138
20,START CYCLING TEAM,STF,BOLIVIA,104
21,SINDICATO  DE EMPLEADOS PUBLICOS DE SAN JUAN,SEP,ARGENTINA,103
22,EPM,EPM,COLOMBIA,75
23,303 PROJECT,3O3,UNITED STATES OF AMERICA,33
24,EQUIPO CONTINENTAL ORGULLO PAISA,EOP,COLOMBIA,31
25,DEPRISA TEAM,DPA,BOLIVIA,23
26,WILDLIFE GENERATION PRO CYCLING P / B MAXXIS,WGC,UNITED STATES OF AMERICA,16
27,EQUIPO CONTINENTAL MUNICIPALIDAD DE POCITO,EMP,ARGENTINA,15
28,BETPLAY CYCLING TEAM,BET,COLOMBIA,11
29,"ASOCIACION CIVIL ""MARDAN""",ACM,ARGENTINA,10
30,MUNICIPALIDAD DE RAWSON,MRW,ARGENTINA,3
