Rank,Name,Team Code,Nationality,Points
1,JUMBO-VISMA,TJV,NETHERLANDS,"15003,5"
2,UAE TEAM EMIRATES,UAD,UNITED ARAB EMIRATES,13323
3,INEOS GRENADIERS,IGD,GREAT BRITAIN,12494
4,BORA - HANSGROHE,BOH,GERMANY,10331
5,INTERMARCHÉ - WANTY - GOBERT MATÉRIAUX,IWG,BELGIUM,10318
6,QUICK-STEP ALPHA VINYL TEAM,QST,BELGIUM,10214
7,GROUPAMA - FDJ,GFC,FRANCE,9440
8,BAHRAIN VICTORIOUS,TBV,BAHRAIN,9206
9,ALPECIN-DECEUNINCK,ADC,BELGIUM,"8490,67"
10,COFIDIS,COF,FRANCE,8079
11,MOVISTAR TEAM,MOV,SPAIN,8006
12,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,"7347,67"
13,TEAM ARKEA - SAMSIC,ARK,FRANCE,7167
14,LOTTO SOUDAL,LTS,BELGIUM,6934
15,AG2R CITROEN TEAM,ACT,FRANCE,"6785,33"
16,TEAM BIKEEXCHANGE - JAYCO,BEX,AUSTRALIA,"6396,17"
17,TOTALENERGIES,TEN,FRANCE,6067
18,EF EDUCATION - EASYPOST,EFE,UNITED STATES OF AMERICA,"5776,33"
19,ISRAEL - PREMIER TECH,IPT,ISRAEL,4806
20,TEAM DSM,DSM,NETHERLANDS,"4710,5"
21,ASTANA QAZAQSTAN TEAM,AST,KAZAKHSTAN,3929
22,UNO-X PRO CYCLING TEAM,UXT,NORWAY,"2935,63"
23,B&B HOTELS - KTM,BBK,FRANCE,"2462,33"
24,BOLTON EQUITIES BLACK SPOKE PRO CYCLING,BEB,NEW ZEALAND,"1888,85"
25,BINGOAL PAUWELS SAUCES WB,BWB,BELGIUM,1879
26,SPORT VLAANDEREN - BALOISE,SVB,BELGIUM,1775
27,GROUPAMA - FDJ,CGF,FRANCE,"1623,01"
28,DRONE HOPPER - ANDRONI GIOCATTOLI,DRA,ITALY,1551
29,BARDIANI CSF FAIZANE',BCF,ITALY,1521
30,EOLO-KOMETA CYCLING TEAM,EOK,ITALY,1494
31,TERENGGANU POLYGON CYCLING TEAM,TSG,MALAYSIA,"1380,75"
32,CAJA RURAL-SEGUROS RGA,CJR,SPAIN,1358
33,ELKOV - KASPER,EKA,CZECH REPUBLIC,1342
34,HRE MAZOWSZE SERCE POLSKI,MSP,POLAND,1310
35,GAZPROM-RUSVELO,GAZ,RUSSIAN FEDERATION,970
36,BIKE AID,BAI,GERMANY,"954,53"
37,TARTELETTO - ISOREX,TIS,BELGIUM,905
38,SAKARYA BB PRO TEAM,SBB,TURKEY,902
39,HUMAN POWERED HEALTH,HPM,UNITED STATES OF AMERICA,876
40,RIWAL CYCLING TEAM,RIW,DENMARK,872
41,GO SPORT - ROUBAIX LILLE METROPOLE,GRL,FRANCE,862
42,TEAM UKYO,UKO,JAPAN,836
43,VOSTER ATS TEAM,VOS,POLAND,820
44,JUMBO-VISMA DEVELOPMENT TEAM,JVD,NETHERLANDS,"809,61"
45,TUDOR PRO CYCLING TEAM,TUD,SWITZERLAND,801
46,PROTOUCH,PRO,SOUTH AFRICA,"799,25"
47,ST MICHEL - AUBER 93,AUB,FRANCE,794
48,EQUIPO KERN PHARMA,EKP,SPAIN,"791,67"
49,VOLKERWESSELS CYCLING TEAM,VWE,NETHERLANDS,"790,5"
