Rank,Name,Team Code,Nationality,Points
1,DRAPAC PORSCHE CYCLING,DPC,AUSTRALIA,262
2,SUBWAY-AVANTI CYCLING TEAM,SWA,NEW ZEALAND,"226,98"
3,DEBABARRENA - KIROLGI,DKT,SPAIN,147
4,CERVELO TEST TEAM,CWT,GERMANY,101
5,PRATIES,GEN,AUSTRALIA,90
6,SAVINGS & LOANS CYCLING TEAM,SLV,AUSTRALIA,76
7,TEAM BUDGET FORKLIFTS,BFL,AUSTRALIA,"70,32"
8,LETUA CYCLING TEAM,L2A,MALAYSIA,"64,66"
9,BISSELL PRO CYCLING,BPC,UNITED STATES OF AMERICA,61
10,BARLOWORLD,BAR,GREAT BRITAIN,51
11,FLY V AUSTRALIA,VAU,AUSTRALIA,48
12,ROCK RACING,RRC,UNITED STATES OF AMERICA,31
13,VACANSOLEIL PRO CYCLING TEAM,VAC,NETHERLANDS,27
14,TEAM TYPE 1,TT1,UNITED STATES OF AMERICA,25
15,JELLY BELLY CYCLING TEAM,JBC,UNITED STATES OF AMERICA,19
16,TEAM JAYCO - AIS,JAS,AUSTRALIA,17
17,ISD - NERI,ISD,GREAT BRITAIN,14
18,AISAN RACING TEAM,AIS,JAPAN,13
19,OUCH PRESENTED BY MAXXIS,UHC,UNITED STATES OF AMERICA,12
20,LOTTO - BODYSOL,PCW,BELGIUM,8
21,LA - ROTA DOS MOVEIS,FRM,PORTUGAL,5
21,SKIL-SHIMANO,SKS,NETHERLANDS,5
23,RIDE SPORT RACING,RSR,AUSTRALIA,"4,66"
24,,,,"3,66"
