Rank,Name,Team Code,Nationality,Points
1,TABRIZ PETROCHEMICAL TEAM,TPT,ISLAMIC REPUBLIC OF IRAN,1022
2,TEAM DUKLA PRAHA,ADP,CZECH REPUBLIC,602
3,TEAM LA POMME MARSEILLE 13,LPM,FRANCE,571
4,RTS-SANTIC RACING TEAM,RTS,CHINESE TAIPEI,547
5,KOLSS CYCLING TEAM,KLS,UKRAINE,513
6,PISHGAMAN YAZD,PKY,ISLAMIC REPUBLIC OF IRAN,492
7,SKYDIVE DUBAI PRO CYCLING TEAM,SKD,UNITED ARAB EMIRATES,464
8,,,,422
9,DRAPAC PROFESSIONAL CYCLING,DPC,AUSTRALIA,421
10,TEAM BUDGET FORKLIFTS,BFL,AUSTRALIA,391
11,CONTINENTAL TEAM ASTANA,AS2,KAZAKHSTAN,377
12,TERENGGANU CYCLING TEAM,TSG,MALAYSIA,331
13,OCBC SINGAPORE CONTINENTAL CYCLING TEAM,TSI,SINGAPORE,295
14,CCN CYCLING TEAM,CCN,BRUNEI DARUSSALAM,268
15,BDC MARCPOL,BDC,POLAND,248
16,HKSI PRO CYCLING TEAM,HKS,"HONG KONG, CHINA",236
17,MTN - QHUBEKA,MTN,SOUTH AFRICA,220
18,UNITEDHEALTHCARE PROFESSIONAL CYCLING TEAM,UHC,UNITED STATES OF AMERICA,217
19,RAPHA CONDOR JLT,RCJ,GREAT BRITAIN,199
20,BRIDGESTONE ANCHOR CYCLING TEAM,BGT,JAPAN,190
21,AVANTI RACING TEAM,ART,AUSTRALIA,187
22,AISAN RACING TEAM,AIS,JAPAN,176
23,TEAM UKYO,UKO,JAPAN,175
24,AMORE & VITA - SELLE SMP,AMO,UKRAINE,144
25,SYNERGY BAKU CYCLING PROJECT,BCP,AZERBAIJAN,141
26,BURGOS-BH,BUR,SPAIN,125
27,VINO 4EVER,V4E,KAZAKHSTAN,123
28,TEAM VORARLBERG,VBG,AUSTRIA,109
28,KSPO,KSP,KOREA,109
30,TORKU SEKERSPOR,TRK,TURKEY,104
31,TEAM NETAPP - ENDURA,TNE,GERMANY,99
32,TEAM TREFOR - BLUE WATER,TBW,DENMARK,98
33,WALLONIE - BRUXELLES,WBC,BELGIUM,91
33,TABRIZ SHAHRDARI RANKING,TSR,ISLAMIC REPUBLIC OF IRAN,91
35,PARKHOTEL VALKENBURG CONTINENTAL CYCLING TEAM,PVC,NETHERLANDS,90
36,SP TABLEWARE,SPT,GREECE,80
37,COLOMBIA,COL,COLOMBIA,79
38,GROUPEMENT SPORTIF DES PETROLIER ALGERIE,GSP,ALGERIA,76
38,RUSVELO,RVL,RUSSIAN FEDERATION,76
40,TIROL CYCLING TEAM,TIR,AUSTRIA,75
40,GEUMSAN INSAM CELLO,GIC,KOREA,75
42,SEOUL CYCLING TEAM,SCT,KOREA,74
43,ADRIA MOBIL,ADR,SLOVENIA,73
43,HENGXIANG CYCLING TEAM,HEN,PEOPLE'S REPUBLIC OF CHINA,73
45,CHINA 361° CYCLING TEAM,SLY,PEOPLE'S REPUBLIC OF CHINA,72
46,ANDRONI GIOCATTOLI - VENEZUELA,AND,ITALY,67
47,BARDIANI CSF,BAR,ITALY,66
48,UTSUNOMIYA BLITZEN,BLZ,JAPAN,64
49,EUSKADI,EUK,SPAIN,63
49,CCC POLSAT POLKOWICE,CCC,POLAND,63
51,TEAM 7 ELEVEN ROAD BIKE PHILIPPINES,T7E,PHILIPPINES,61
52,NERI SOTTOLI,NRI,ITALY,55
52,TEAM STUTTGART,SGT,GERMANY,55
54,SHIMANO RACING TEAM,SMN,JAPAN,44
55,KORAIL CYCLING TEAM,KCT,KOREA,43
56,TEAM GUSTO,TGT,CHINESE TAIPEI,41
57,,,,39
58,5-HOUR ENERGY,5HR,UNITED STATES OF AMERICA,35
58,TEAM STÖLTING,STG,GERMANY,35
60,VERANCLASSIC - DOLTCINI,VER,BELGIUM,32
60,IAM CYCLING,IAM,SWITZERLAND,32
60,PEGASUS CONTINENTAL CYCLING TEAM,PCT,INDONESIA,32
63,MATRIX POWERTAG,MTR,JAPAN,31
64,NINGXIA SPORTS LOTTERY CYCLING TEAM,NTC,PEOPLE'S REPUBLIC OF CHINA,26
65,JELLY BELLY P/B MAXXIS,JBC,UNITED STATES OF AMERICA,24
66,GIANT-CHAMPION SYSTEM PRO CYCLING,MSS,PEOPLE'S REPUBLIC OF CHINA,19
67,START - TRIGON CYCLING TEAM,STF,PARAGUAY,18
68,RIETUMU - DELFIN,RBD,LATVIA,16
68,JOSAN - TO WIN CYCLING TEAM,JTW,BELGIUM,16
70,CHINA WUXI JILUN CYCLING TEAM,CWJ,PEOPLE'S REPUBLIC OF CHINA,15
71,TEAM GOURMETFEIN SIMPLON WELS,RSW,AUSTRIA,12
71,QINGHAI TIANYOUDE - BH CYCLING TEAM,TYD,PEOPLE'S REPUBLIC OF CHINA,12
71,TEAM KUOTA,TKG,GERMANY,12
74,AYANDEH CONTINENTAL TEAM,AYA,ISLAMIC REPUBLIC OF IRAN,11
75,,,,9
76,GEBRÜDER WEISS - OBERNDORFER,GWO,AUSTRIA,7
76,BIKE AID - RIDE FOR HELP,BAI,GERMANY,7
