Rank;UCI ID;Name;Nationality;Team Code;Age;Points
85;10003224828;MARTIN Daniel;IRELAND;EQS;30;60
86;10008976221;TORRES VILLAREAL Carlos Alberto;BOLIVARIAN REPUBLIC OF VENEZUELA;;23;56
87;10009325926;PAREDES Anderson;BOLIVARIAN REPUBLIC OF VENEZUELA;;21;56
88;10061464638;MÓJICA José Antonio;CUBA;;29;55
89;10005691658;HENAO MONTOYA Sergio Luis;COLOMBIA;SKY;29;55
90;10005378632;YAK Julian;GUATEMALA;;31;55
91;10009637235;NARVAEZ PRADO Jhonatan Manuel;ECUADOR;KLC;19;55
92;10049899814;PALMA DOS SANTOS Pedro Amauri;CHILE;;27;55
93;10009636932;RODRIGUEZ SALAZAR John Anderson;COLOMBIA;EPM;20;55
94;10006885364;FERRAZ AFFONSO Murilo;BRAZIL;FSC;25;54
95;10007742402;GARCIA TOLEDO Jose Wladimir;BOLIVARIAN REPUBLIC OF VENEZUELA;;25;54
96;10002480352;ALMONACID Patricio;CHILE;;37;53
97;10049192825;VILLALOBOS SOLIS Roman Daniel;COSTA RICA;;26;53
98;10002813384;PIAS TORRES Nestor;URUGUAY;;35;52,33
99;10005990136;GUTIERREZ Pedro;BOLIVARIAN REPUBLIC OF VENEZUELA;;27;52
100;10001457307;SEVILLA RIVERA Oscar Miguel;SPAIN;EPM;40;51
101;10006000240;HOULE Hugo;CANADA;ALM;26;50
102;10009704226;CAMPOS Roniel;BOLIVARIAN REPUBLIC OF VENEZUELA;;23;50
103;10006887687;KOSHEVOY Ilia;BELARUS;LAM;25;50
104;10007491717;DOMBROWSKI Joseph Lloyd;UNITED STATES OF AMERICA;CDT;25;50
105;10002527438;VAN DEN BROECK Jurgen;BELGIUM;KAT;33;50
106;10007725931;PADILLA MIRANDA Julio;GUATEMALA;;24;50
107;10007988235;BUCHMANN Emanuel;GERMANY;BOA;24;50
108;10002812980;MASCARAÑAS Richard;URUGUAY;;37;47,33
109;10002931303;MONIER Damien;FRANCE;BGT;34;47
110;10007634183;SOLIZ VILCA Oscar;BOLIVIA;MOT;31;45
111;10023447813;POSTMA Renze;ARUBA;;20;45
112;10008877605;VEGA SOLANO Jeison Elias;COSTA RICA;;24;45
113;10008674309;GODOY ORMENESE Caio;BRAZIL;;21;45
114;10005692264;TORRES AGUDELO Rodolfo Andres;COLOMBIA;AND;29;45
115;10005975483;DIAZ Daniel;ARGENTINA;DMP;27;45
116;10006467153;FLAKSIS Andzs;LATVIA;HSD;25;43
117;10007527988;RÄIM Mihkel;ESTONIA;CAT;23;43
