Rank,Name,Team Code,Nationality,Points
1,MOVISTAR TEAM,MOV,SPAIN,1619
2,TEAM KATUSHA,KAT,RUSSIAN FEDERATION,1606
3,TEAM SKY,SKY,GREAT BRITAIN,1378
4,ETIXX - QUICK STEP,EQS,BELGIUM,1158
5,ASTANA PRO TEAM,AST,KAZAKHSTAN,1106
6,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,1010
7,TINKOFF - SAXO,TCS,RUSSIAN FEDERATION,929
8,ORICA GreenEDGE,OGE,AUSTRALIA,845
9,LOTTO SOUDAL,LTS,BELGIUM,832
10,TEAM GIANT - ALPECIN,TGA,GERMANY,769
11,AG2R LA MONDIALE,ALM,FRANCE,587
12,LAMPRE - MERIDA,LAM,ITALY,566
13,TREK FACTORY RACING,TFR,UNITED STATES OF AMERICA,529
14,TEAM LOTTO NL - JUMBO,TLJ,NETHERLANDS,485
15,FDJ,FDJ,FRANCE,439
16,TEAM CANNONDALE - GARMIN,TCG,UNITED STATES OF AMERICA,340
17,IAM CYCLING,IAM,SWITZERLAND,189
