Rank,Name,Team Code,Nationality,Points
1,TOTAL DIRECT ENERGIE,TDE,FRANCE,"5152,67"
2,WANTY - GOBERT CYCLING TEAM,WGG,BELGIUM,5086
3,CORENDON - CIRCUS,COC,BELGIUM,4898
4,ISRAEL CYCLING ACADEMY,ICA,ISRAEL,"4849,2"
5,"COFIDIS, SOLUTIONS CREDITS",COF,FRANCE,4644
6,ANDRONI GIOCATTOLI - SIDERMEC,ANS,ITALY,3681
7,WALLONIE BRUXELLES,WVA,BELGIUM,3065
8,VITAL CONCEPT - B&B HOTELS,VCB,FRANCE,"2780,34"
9,TEAM ARKEA - SAMSIC,PCB,FRANCE,2769
10,NERI SOTTOLI SELLE ITALIA KTM,NSK,ITALY,2551
11,SPORT VLAANDEREN - BALOISE,SVB,BELGIUM,2423
12,ROOMPOT - CHARLES,ROC,NETHERLANDS,2198
13,DELKO MARSEILLE PROVENCE,DMP,FRANCE,2095
14,RIWAL READYNEZ CYCLING TEAM,RIW,DENMARK,"1972,78"
15,GAZPROM - RUSVELO,GAZ,RUSSIAN FEDERATION,"1914,58"
16,MINSK CYCLING CLUB,MCC,BELARUS,1706
17,CAJA RURAL - SEGUROS RGA,CJR,SPAIN,"1585,53"
18,EUSKADI BASQUE COUNTRY - MURIAS,EUS,SPAIN,1545
19,CCC DEVELOPMENT TEAM,CDT,POLAND,1544
20,ELKOV - AUTHOR,ELA,CZECH REPUBLIC,"1536,97"
21,SALCANO SAKARYA BB TEAM,SBB,TURKEY,1507
22,BEAT CYCLING CLUB,BRT,NETHERLANDS,"1399,02"
23,W52 / FC PORTO,W52,PORTUGAL,1352
24,NIPPO - VINI FANTINI - FAIZANE',NIP,ITALY,1335
25,DIMENSION DATA FOR QHUBEKA CONTINENTAL TEAM,DDC,ITALY,"1217,5"
26,UNO - X NORWEGIAN DEVELOPMENT TEAM,UXT,NORWAY,1211
27,SEG RACING ACADEMY,SEG,NETHERLANDS,1155
28,ST MICHEL - AUBER 93,AUB,FRANCE,1014
29,TEAM COLOQUICK,TCQ,DENMARK,"1013,15"
30,TEAM VORARLBERG SANTIC,VBG,AUSTRIA,998
31,WIBATECH MERX,WIB,POLAND,950
32,NATURA4EVER - ROUBAIX - LILLE METROPOLE,NRL,FRANCE,940
33,METEC - TKH CONTINENTAL CYCLINGTEAM P / B MANTEL,MET,NETHERLANDS,925
34,ADRIA MOBIL,ADR,SLOVENIA,861
35,AMORE & VITA - PRODIR,AMO,LATVIA,760
36,CANYON DHB P /   B BLOOR HOMES,DHB,GREAT BRITAIN,741
37,TEAM WIGGINS LECOL,WGN,GREAT BRITAIN,713
38,MONKEY TOWN - A BLOCK CT,MTA,NETHERLANDS,710
39,SWISS RACING ACADEMY,SRA,SWITZERLAND,701
40,BURGOS - BH,BBH,SPAIN,689
41,IAM EXCELSIOR,IAM,SWITZERLAND,"686,5"
42,BARDIANI CSF,BRD,ITALY,678
43,VOSTER ATS TEAM,VOS,POLAND,650
44,SANGEMINI - TREVIGIANI - MG.K VIS,SAN,ITALY,629
45,MEMIL PRO CYCLING,MPC,SWEDEN,624
46,TARTELETTO - ISOREX,TIS,BELGIUM,597
47,GIOTTI VICTORIA,GTV,ROMANIA,576
48,BIKE AID,BAI,GERMANY,552
49,DUKLA BANSKA BYSTRICA,DKB,SLOVAKIA,551
50,EQUIPO EUSKADI,EUK,SPAIN,542
51,TIROL KTM CYCLING TEAM,TIR,AUSTRIA,539
52,CYCLING TEAM FRIULI ASD,CTF,ITALY,538
53,GROUPAMA - FDJ,CGF,FRANCE,535
54,KYIV CAPITAL TEAM,TKC,UKRAINE,516
55,DEVELOPMENT TEAM SUNWEB,DSU,GERMANY,"512,33"
56,LEOPARD PRO CYCLING,LPC,LUXEMBOURG,511
57,KOMETA CYCLING TEAM,KMT,SPAIN,482
58,BHS - ALMEBORG BORNHOLM,ABB,DENMARK,470
59,LJUBLJANA GUSTO SANTIC,LGS,SLOVENIA,452
60,EVOPRO RACING,EVO,IRELAND,439
61,EFAPEL,EFP,PORTUGAL,423
62,SPORTING / TAVIRA,STA,PORTUGAL,408
63,LOKOSPHINX,LOK,RUSSIAN FEDERATION,393
64,MALOJA PUSHBIKERS,MPB,AUSTRIA,389
65,TELENET FIDEA LIONS,TFL,BELGIUM,373
66,AKROS - THÖMUS,AKT,SWITZERLAND,"362,99"
