Rank,Name,Team Code,Nationality,Points
1,TEAM SKY,SKY,GREAT BRITAIN,12806
2,QUICK - STEP FLOORS,QST,BELGIUM,12652
3,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,10961
4,TEAM SUNWEB,SUN,GERMANY,8033
5,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,7934
6,MOVISTAR TEAM,MOV,SPAIN,7399
7,ORICA - SCOTT,ORS,AUSTRALIA,7190
8,BORA - HANSGROHE,BOH,GERMANY,6516
9,AG2R LA MONDIALE,ALM,FRANCE,6316
10,CANNONDALE DRAPAC PROFESSIONAL CYCLING TEAM,CDT,UNITED STATES OF AMERICA,5748
11,TEAM KATUSHA ALPECIN,KAT,SWITZERLAND,5619
12,UAE TEAM EMIRATES,UAD,UNITED ARAB EMIRATES,5494
13,LOTTO SOUDAL,LTS,BELGIUM,5466
14,BAHRAIN - MERIDA,TBM,BAHRAIN,5277
15,ASTANA PRO TEAM,AST,KAZAKHSTAN,5018
16,TEAM LOTTO NL - JUMBO,TLJ,NETHERLANDS,4846
17,FDJ,FDJ,FRANCE,3616
18,TEAM DIMENSION DATA,DDD,SOUTH AFRICA,2575
