Rank,UCI ID,Name,Nationality,Team Code,Age,Points
87,10048328010,MAGNALDI Erica,ITALY,WNT,28,"144,67"
88,10092870309,KIESENHOFER Anna,AUSTRIA,,29,143
89,10007401181,BORGLI Stine,NORWAY,FDJ,30,143
90,10007762408,ERIĆ Jelena,SERBIA,MOV,24,142
91,10036038110,GALIMULLINA Iuliia,RUSSIAN FEDERATION,CGS,19,141
92,10010200946,BOOGAARD Maaike,NETHERLANDS,ALE,22,"140,33"
93,10015339118,GUAZZINI Vittoria,ITALY,VAL,20,"139,33"
94,10022750322,UNEKEN Lonneke,NETHERLANDS,DLT,20,138
95,10011139725,GUNNING Jaime,AUSTRALIA,,22,136
96,10006140181,STULTIENS Sabrina,NETHERLANDS,CCC,27,"134,5"
97,10009892869,ŽIGART Urška,SLOVENIA,ALE,24,"133,33"
98,10055220767,GIGANTE Sarah,AUSTRALIA,TIB,20,133
99,10083256696,EKLUND Nathalie,SWEDEN,,29,130
100,10011049088,PERINOVIĆ Maja,CROATIA,TOP,21,130
101,10008635610,SANGUINETI Ilaria,ITALY,VAL,26,130
102,10015704381,ASENCIO Laura,FRANCE,WNT,22,126
103,10009862254,SCHWEINBERGER Kathrin,AUSTRIA,DVE,24,126
104,10010086768,MCCRYSTAL Eve,IRELAND,,42,125
105,10007934681,FASOI Varvara,GREECE,EIC,29,125
106,10056060425,SOSNA Katazina,LITHUANIA,,30,125
107,10007135140,RADOTIĆ Mia,CROATIA,CGS,36,125
108,10014838051,BARROW Justine,AUSTRALIA,RXS,41,125
109,10006127350,NUNTANA Supuksorn,THAILAND,TWC,31,125
110,10042147793,MERINO CORTAZAR Eider,SPAIN,MOV,26,124
111,10078996780,CAMPBELL Teniel,TRINIDAD AND TOBAGO,VAL,23,121
112,10080258184,MAIA Melissa,PORTUGAL,,32,120
113,10004474613,CHATZISTYLI Athina,GREECE,,43,120
114,10092360451,ČEŠULIENĖ Inga,LITHUANIA,,34,120
115,10009387358,BUSSI Vittoria,ITALY,,33,"118,33"
116,10015334872,BOSSUYT Shari,BELGIUM,NXG,20,"118,33"
117,10009154861,KERN Špela,SLOVENIA,LCW,30,118
118,10007874057,HEINE Vita,NORWAY,HPU,36,117
119,10015331236,KOCH Franziska,GERMANY,SUN,20,117
120,10006326202,HENTTALA Lotta,FINLAND,TFS,31,117
121,10015335983,KULYNYCH Olha,UKRAINE,CTL,20,115
122,10006324279,LETH Julie,DENMARK,WNT,28,115
123,10011162256,BATRIYA Chaniporn,THAILAND,TWC,21,114
124,10002741545,GUDERZO Tatiana,ITALY,ALE,36,"111,33"
125,10010661900,PATIÑO BEDOYA Paula Andrea,COLOMBIA,MOV,23,111
126,10007272253,DRONOVA Tamara,RUSSIAN FEDERATION,,27,110
127,10005872625,BENKÓ Barbara,HUNGARY,,30,110
128,10060294473,ADAM Teresa,NEW ZEALAND,,30,110
129,10043842364,LUDWIG Hannah,GERMANY,CSR,20,110
130,10008954700,SHAPIRA Omer,ISRAEL,CSR,26,110
131,10008601860,GONZALEZ BLANCO Alicia,SPAIN,MOV,25,110
132,10006077638,SHARHA Olena,UKRAINE,LCW,34,"107,67"
133,10009902367,GUILMAN Victorie,FRANCE,FDJ,24,107
134,10011138311,ROSEMAN-GANNON Ruby,AUSTRALIA,,22,106
135,10008685423,MARKUS Riejanne,NETHERLANDS,CCC,26,106
136,10006503832,OSHURKOVA Elizaveta,RUSSIAN FEDERATION,,29,105
137,10009723121,PLICHTA Anna,POLAND,TFS,28,105
138,10016636692,GILLESPIE lara,IRELAND,,19,105
139,10004738937,MACHAČOVÁ Jarmila,CZECH REPUBLIC,,34,105
140,10004201801,KESEG ŠTEVKOVÁ Janka,SLOVAKIA,,44,105
141,10009587624,OBERHOLZER Carla,SOUTH AFRICA,BDU,33,105
142,10008990163,KASTELIJN Yara,NETHERLANDS,CIM,23,105
143,10015328711,COPPONI Clara,FRANCE,FDJ,21,103
144,10007968936,KOSTER Anouska,NETHERLANDS,PHV,27,102
145,10004616574,CANUEL Karol-Ann,CANADA,DLT,32,"100,67"
146,10014585649,KOLESAVA Anastasiya,BELARUS,WCC,20,100
147,10008651572,GUTIERREZ RUIZ Sheyla,SPAIN,MOV,26,100
148,10009335121,NOSKOVA Nikola,CZECH REPUBLIC,EPK,23,100
149,10009487085,DIDERIKSEN Amalie,DENMARK,DLT,24,100
150,10009690381,GAXIOLA GONZALEZ Maria Antonieta,MEXICO,AGO,23,100
151,10015265558,OTTESTAD Mie Bjørndal,NORWAY,,23,100
152,10063673915,TUISK Aidi Gerde,ESTONIA,,18,100
153,10048318209,NEBEN Amber Leone,UNITED STATES OF AMERICA,CGS,45,100
154,10007217083,RIJKES Sarah,AUSTRIA,WNT,29,98
155,10007126551,GILLOW Shara,AUSTRALIA,FDJ,33,98
156,10054395762,ERATH Tanja,GERMANY,CSR,31,96
157,10015225243,SZABÓ Zsófia,HUNGARY,DVE,23,95
157,10072819500,WILTGEN Pia,LUXEMBOURG,,33,95
159,10014189262,VERHULST Gladys,FRANCE,ARK,23,95
160,10008696537,SYRADOEVA Margarita,RUSSIAN FEDERATION,SSR,25,94
161,10078998295,SOMRAT Phetdarin,THAILAND,TWC,25,90
162,10008928226,MILAKI Argiro,GREECE,,28,90
163,10080164925,BERG Mia,LUXEMBOURG,,23,90
164,10008702294,WILKOS Katarzyna,POLAND,,27,90
165,10001570067,VYSOTSKA Ievgeniia,UKRAINE,LCW,45,"86,67"
166,10015761268,KOOL Charlotte,NETHERLANDS,NXG,21,86
167,10009862355,SCHWEINBERGER Christina,AUSTRIA,DVE,24,86
168,10011072027,BRANCO Marta,PORTUGAL,,21,85
169,10009988758,KALM Kelly,ESTONIA,,23,85
170,10002523701,BECKER Charlotte,GERMANY,ARK,37,83
171,10036577973,GEDRAITYTĖ Akvile,LITHUANIA,WCC,19,80
172,10088433466,BIRIUKOVA Yuliia,UKRAINE,LCW,22,78
173,10014860481,FABER Claire,LUXEMBOURG,,22,78
174,10009721505,STUDENIKINA Natalia,RUSSIAN FEDERATION,,23,78
175,10009796374,VAN DEN BOS Jip,NETHERLANDS,DLT,24,78
176,10013490357,LYSTAD Vibeke,NORWAY,,45,76
177,10062147678,FAULKNER Kristen,UNITED STATES OF AMERICA,TIB,28,76
178,10064779715,KUSKOVA Yanina,UZBEKISTAN,,19,75
179,10007704309,CHRISTOFOROU Antri,CYPRUS,DVE,28,75
179,10095048462,MATA PITTI Cristina Michelle,PANAMA,,34,75
181,10076896227,JINJIIBADAM Anujin,MONGOLIA,,18,75
182,10083586601,TANG Xin,PEOPLE'S REPUBLIC OF CHINA,,19,75
183,10015331539,VILIM Ivana,SERBIA,,21,75
184,10079348913,MINKOVA Petya,BULGARIA,,29,75
185,10005663164,HALBWACHS Aurelie,MAURITIUS,,34,75
185,10011139220,KANGAS Minna-Maria,FINLAND,,37,75
187,10002849154,NONTASIN Chanpeng,THAILAND,TWC,36,75
188,10007333382,INDERGAND Linda,SWITZERLAND,,27,75
189,10006893246,CASAS BONILLA Ana Teresa,MEXICO,,29,75
190,10010181849,NEUMANOVÁ Tereza,CZECH REPUBLIC,,22,75
190,10049435931,SIGURÐARDÓTTIR Hafdís,ICELAND,,31,75
192,10010807905,BALEIŠYTE Olivija,LITHUANIA,ASA,22,75
193,10088131049,BAKULA Natalija,CROATIA,,25,75
194,10016311744,MARTIN MARTIN Sara,SPAIN,SWT,21,73
195,10005971645,KITCHEN Lauren,AUSTRALIA,FDJ,30,73
196,10075347661,PINTARIC Blaza,SLOVENIA,,40,70
197,10009722818,JASEKOVÁ Tatiana,SLOVAKIA,,32,70
197,10051439282,KUMIEGA Karolina,POLAND,,21,70
199,10080036094,JANSE VAN RENSBURG Frances,SOUTH AFRICA,,19,70
200,10013919985,KRYLOVA Seda,RUSSIAN FEDERATION,SSR,26,69
201,10022276537,OLAUSSON Wilma,SWEDEN,SUN,19,67
202,10006131693,RIVERA Coryn,UNITED STATES OF AMERICA,SUN,28,"66,33"
203,10106949756,MURESAN Manuela,ROMANIA,,36,65
204,10062151116,GRIFFIN Mia,IRELAND,,22,65
205,10083145249,SYNTZANAKI Konstantina,GREECE,,44,65
206,10006645995,SOLOVEI Ganna,UKRAINE,,28,65
207,10079478952,CHAIRIN Kulacha,THAILAND,ILU,32,64
208,10006284873,UPEGUI QUEVEDO Carolina,COLOMBIA,,31,63
209,10102666396,LEGKOVA Iuliia,PORTUGAL,,32,63
210,10008690271,PIETRZAK Lucja,POLAND,,25,63
210,10009748278,BAJGEROVÁ Nikola,CZECH REPUBLIC,,23,63
210,10046037796,PAULECHOVÁ Radka,SLOVAKIA,,19,63
213,10006136646,NA Ahreum,KOREA,,30,60
214,10015335377,HÁJKOVÁ Markéta,CZECH REPUBLIC,BPK,20,60
215,10083419980,ANDERSEN Birgitte Krogsgaard,DENMARK,,29,60
216,10015208267,KORVASOVÁ Tereza,CZECH REPUBLIC,,24,60
217,10008920950,PIVAVARAVA Palina,BELARUS,,26,60
218,10005510994,NAHIRNA Anna,UKRAINE,LCW,32,60
219,10010941378,KRÄHEMANN Lara,SWITZERLAND,CGS,21,60
220,10011053334,MCDERMOTT Ellen,IRELAND,,32,60
220,10062331473,FRANTZICH Matilda,SWEDEN,,25,60
222,10050427452,SANTOYO PEREZ Brenda Andrea,MEXICO,,24,60
223,10006875866,MOBERG Emilie,NORWAY,DRP,29,60
223,10010676044,WINDISCH Veronika,AUSTRIA,,38,60
225,10049309225,GUNNARSDÓTTIR Bríet Kristý,ICELAND,,32,60
226,10094912561,TITO Birgit,ESTONIA,,30,60
227,10006424515,MATTHEE Maroesjka,SOUTH AFRICA,CTL,31,60
228,10007342476,NEYLAN Rachel,AUSTRALIA,CDO,38,59
229,10004603137,KASPER Romy,GERMANY,PHV,32,59
230,10016141790,MELNYCHUK Viktoriia,UKRAINE,,22,58
231,10005822711,SHEPPARD Samara,NEW ZEALAND,,30,58
232,10009377961,DOEBEL-HICKOK Krista,UNITED STATES OF AMERICA,RLW,31,58
233,10008884170,VANDENBULCKE Jesse,BELGIUM,LSL,24,58
234,10008652481,VAN DER HAAR Lucy,GREAT BRITAIN,HPU,26,57
235,10051466059,VILLALON SANCHEZ Aranza,CHILE,,25,57
236,10007230726,WILLIAMS Georgia,NEW ZEALAND,MTS,27,57
237,10004596770,CROMWELL Tiffany,AUSTRALIA,CSR,32,57
238,10014963040,SILVESTRI Debora,ITALY,TOP,22,56
239,10036582219,JONIKAITĖ Dovile,LITHUANIA,,19,55
240,10015335579,JASKULSKA Marta,POLAND,CCC,20,55
241,10015661339,KARASIOVAITĖ Greta,LITHUANIA,,21,55
242,10011115372,SKALNIAK - SOJKA Agnieszka,POLAND,CCC,23,55
243,10084685933,MCCARTHY Kate,NEW ZEALAND,,25,55
244,10107309767,ZUYEVA Maryna,BELARUS,,28,55
245,10008696234,STOCK Gudrun,GERMANY,,25,55
246,10061669045,ATEHORTUA HOYOS Daniela,COLOMBIA,,21,54
247,10005497254,FRAPPORTI Simona,ITALY,BPK,32,54
248,10008887709,NORDÉN Lisa,SWEDEN,,36,53
249,10007524352,RATTO Rossella,ITALY,CCT,27,53
250,10007860014,DOM Annelies,BELGIUM,LSL,34,53
251,10028969941,ALESSIO Camilla,ITALY,BPK,19,53
252,10009894485,KOREVAAR Jeanne,NETHERLANDS,CCC,24,53
253,10006184237,CARPINTEIRO Celina,PORTUGAL,,40,51
254,10009191742,THIANGKAEW Apinya,THAILAND,,25,51
255,10044386675,QUEIRÓS Raquel,PORTUGAL,,20,50
256,10009637942,MÕTTUS Mari-Liis,ESTONIA,,23,50
257,10007521928,LOOSER Vera,NAMIBIA,,27,50
258,10008696133,STIENEN Jutta,SWITZERLAND,,48,50
259,10011048583,LUNDMARK Clara,SWEDEN,,21,50
260,10015602432,VANDER SANDE Elise,BELGIUM,,23,50
261,10060359848,MARTINEZ HERNANDEZ Neftali Sharazan,MEXICO,,22,50
262,10013074570,THILL Laurence,LUXEMBOURG,,25,50
262,10014856441,BUZSÁKI Virág,HUNGARY,,20,50
262,10091241820,JENSEN Marita,DENMARK,,29,50
265,10016025390,MENDEZ MELGAREJO Irene,SPAIN,,28,50
265,10049415319,GUÐMUNDSDÓTTIR María Ögn,ICELAND,,40,50
267,10008887103,MCILROY Kate,NEW ZEALAND,,39,50
268,10009857103,SWINKELS Karlijn,NETHERLANDS,PHV,22,50
269,10015978813,ABRAMENKA Alina,BELARUS,MCC,20,48
270,10008648239,SOEK Julia,NETHERLANDS,SUN,30,48
271,10014260701,PRATT Jessica,AUSTRALIA,CSR,23,47
272,10010971589,NILSSON Hanna,SWEDEN,PHV,28,46
273,10079793594,CONYERS Caitlin,BERMUDA,,31,45
274,10063184770,STANCU Maria-Ecaterina,ROMANIA,,19,45
275,10094501222,WANG Yating,PEOPLE'S REPUBLIC OF CHINA,,19,45
276,10035015970,BERTON Nina,LUXEMBOURG,,19,45
277,10023522278,LE NET Marie,FRANCE,FDJ,20,45
278,10007817372,FINDROVÁ Mariana,SLOVAKIA,,35,45
278,10049471802,JÓHANNSDÓTTIR Hrefna Sigurbjörg,ICELAND,,48,45
280,10008669457,DEMEY Valerie,BELGIUM,CCC,26,45
281,10016491596,VAN DE VELDE Julie,BELGIUM,LSL,27,"44,33"
282,10011047573,ANDERSEN Susanne,NORWAY,SUN,22,44
283,10015267578,MALKOVA Daria,RUSSIAN FEDERATION,CGS,20,43
284,10009197196,LANG Mae,ESTONIA,,24,43
285,10020279751,OLSEN Ann Helen,NORWAY,,22,43
286,10023524807,MEKHTIEVA Gyunel,RUSSIAN FEDERATION,SSR,21,43
287,10022303314,BORGSTRÖM Julia,SWEDEN,NXG,19,43
288,10010592885,VAN DER HEIJDEN Inge,NETHERLANDS,CIM,21,42
289,10013791865,VAN DER BURG Nancy,NETHERLANDS,PHV,28,42
290,10004203518,STIRNEMANN Kathrin,SWITZERLAND,EPK,31,"41,33"
291,10099237448,MUÑOZ RUIZ Leydi Natalia,COLOMBIA,,35,41
292,10010776680,ŠVRČKOVÁ Barbora,SLOVAKIA,,22,41
293,10010972805,POIDEVIN Sara,CANADA,RLW,24,41
294,10035471971,TOCONAS RUIZ Laura Milena,COLOMBIA,,19,40
295,10015858268,DUCREUX Wendy,PANAMA,,25,40
296,10106554177,NESHEVA Tsveta,BULGARIA,,32,40
297,10063805974,BATZAYA Misheel,MONGOLIA,,19,40
298,10048407024,BRAVEC Urska,SLOVENIA,ALE,24,40
299,10075797905,THITJAN Pitathida,THAILAND,,22,40
300,10010080910,GEHNBÖCK Sylvia,AUSTRIA,,41,40
301,10106744339,HÄBERLIN Steffi,SWITZERLAND,,23,40
302,10108774770,CARAMELO Ana,PORTUGAL,,25,40
303,10088225726,TAGGART Nikki,IRELAND,,34,40
303,10092497867,PALMQVIST Johanna,SWEDEN,,34,40
305,10012723148,VÁZQUEZ CERVANTES Patricia Dolomi,MEXICO,,30,40
306,10011022214,ELEFTHERIADOU Aikaterini,GREECE,,21,40
307,10007324288,SCHIFF Carolin,GERMANY,,34,40
307,10008670770,EBERHARDT Verena,AUSTRIA,,26,40
307,10010663415,BORISSZA Johanna Kitti,HUNGARY,,23,40
307,10092688433,ASSELBORN Liz,LUXEMBOURG,,25,40
311,10007517379,SOUYRIS Manon,FRANCE,CMW,27,40
311,10107438796,BJÖRNSDÓTTIR Elín Björg,ICELAND,,35,40
313,10007581643,VAN DE WINKEL Joanna,SOUTH AFRICA,,38,40
314,10011154475,ALONSO DOMINGUEZ Sandra,SPAIN,CDO,22,40
315,10023769024,HENDERSON Anna,GREAT BRITAIN,SUN,22,40
316,10060093504,VAN DE VEL Sara,BELGIUM,CTL,26,"38,33"
317,10009809310,VALBUENA ROA Camila Andrea,COLOMBIA,,23,38
318,10052566910,RAYNOLDS Matilda,AUSTRALIA,,33,38
319,10009040885,YONAMINE Eri,JAPAN,ALE,29,38
320,10007731991,MOHAMMAD KHALED Samah,JORDAN,,28,37
321,10015185938,STEIGENGA Nicole,NETHERLANDS,DVE,22,37
322,10036070644,MILIAEVA Mariia,RUSSIAN FEDERATION,CGS,19,36
323,10015151582,KIRILLOVA Polina,RUSSIAN FEDERATION,SSR,23,36
324,10008652683,DE BAAT Kim,BELGIUM,CTL,29,36
325,10007709460,RYAN Alexis,UNITED STATES OF AMERICA,CSR,26,36
326,10051360268,LLEDIAS VILLEGAS Julieta,MEXICO,AGO,19,35
327,10006067534,TSERENLKHAM Solongo,MONGOLIA,,30,35
328,10010590360,BAYMETOVA Renata,UZBEKISTAN,,22,35
329,10096343616,LEE Yeonkyeong,KOREA,,21,35
330,10091744196,UROŠEVIĆ Marijana,SERBIA,,23,35
331,10064778200,KULIKOVA Anna,UZBEKISTAN,,19,35
332,10035049316,STREICHER Hannah,AUSTRIA,,19,35
333,10004631732,SCHMIDT Trine,DENMARK,,32,35
334,10036018306,PECHERSKIKH Anastasiia,RUSSIAN FEDERATION,,18,35
335,10022056265,WOLLASTON Ally,NEW ZEALAND,,19,35
336,10009877008,GROSSETETE Maëlle,FRANCE,FDJ,22,35
337,10061110081,ANDERSEN Trine,DENMARK,,33,35
338,10051448073,TRANCOSO Inês,PORTUGAL,,38,35
339,10008671578,ERAUD Severine,FRANCE,CMW,25,35
340,10010753947,PERSICO Silvia,ITALY,VAL,23,35
