Rank,UCI ID,Name,Nationality,Team Code,Age,Points
1,10006065514,VAN VLEUTEN Annemiek,NETHERLANDS,MOV,39,"5053,33"
2,10007614985,LONGO BORGHINI Elisa,ITALY,TFS,30,3485
3,10003114488,VOS Marianne,NETHERLANDS,JVW,34,3378
4,10015146633,VOLLERING Demi,NETHERLANDS,SDW,25,"3343,33"
5,10005972655,VAN DER BREGGEN Anna,NETHERLANDS,SDW,31,2732
6,10058433891,REUSSER Marlen,SWITZERLAND,ALE,30,2364
7,10008682490,NIEWIADOMA Katarzyna,POLAND,CSR,27,2223
8,10007350459,KOPECKY Lotte,BELGIUM,LIV,26,"2152,33"
9,10008683807,LUDWIG Cecilie,DENMARK,FDJ,26,2140
10,10004602935,BRENNAUER Lisa,GERMANY,WNT,33,1969
11,10015197456,BJERG Emma Cecilie,DENMARK,MOV,22,"1800,33"
12,10010182657,BALSAMO Elisa,ITALY,VAL,23,1744
13,10003264335,VAN DIJK Ellen,NETHERLANDS,TFS,34,"1641,33"
14,10014329207,BROWN Grace,AUSTRALIA,BEX,29,1636
15,10004779252,PIETERS Amy,NETHERLANDS,SDW,30,"1508,33"
16,10006919619,MOOLMAN-PASIO Ashleigh,SOUTH AFRICA,SDW,36,1455
17,10039854755,GARCIA CAÑELLAS Margarita Victo,SPAIN,ALE,37,1443
18,10011143260,CAVALLI Marta,ITALY,FDJ,23,1433
19,10045936958,CHABBEY Elise,SWITZERLAND,CSR,28,1432
20,10014173300,WIEBES Lorena,NETHERLANDS,DSM,22,1428
21,10005498264,VAN DEN BROEK-BLAAK Chantal,NETHERLANDS,SDW,32,1242
22,10004598891,DEIGNAN Elizabeth,GREAT BRITAIN,TFS,33,1195
23,10009749894,LABOUS Juliette,FRANCE,DSM,23,1134
24,10062147678,FAULKNER Kristen,UNITED STATES OF AMERICA,TIB,29,987
25,10003267163,BASTIANELLI Marta,ITALY,ALE,34,953
26,10007199808,SIERRA CANADILLA Arlenis,CUBA,MNX,29,950
27,10014049523,LIPPERT Liane,GERMANY,DSM,23,895
28,10007501518,WINDER Ruth,UNITED STATES OF AMERICA,TFS,28,892
29,10006605680,BRAND Lucinda,NETHERLANDS,TFS,32,827
30,10010660785,BERTIZZOLO Sofia,ITALY,LIV,24,796
31,10009686038,JACKSON Alison,CANADA,LIV,33,792
32,10092870309,KIESENHOFER Anna,AUSTRIA,,30,785
33,10007524453,PALADIN Soraya,ITALY,LIV,28,747
34,10008965814,KLEIN Lisa,GERMANY,CSR,25,738
35,10005669935,MAJERUS Christine,LUXEMBOURG,SDW,34,734
36,10010941277,MUZIC Evita,FRANCE,FDJ,22,727
37,10006131693,RIVERA Coryn,UNITED STATES OF AMERICA,DSM,29,725
38,10015335074,GEORGI Pfeiffer,GREAT BRITAIN,DSM,21,720
38,10015660026,CONSONNI Chiara,ITALY,VAL,22,720
40,10010118292,THOMAS Leah,UNITED STATES OF AMERICA,MOV,32,708
41,10004779050,D'HOORE Jolien,BELGIUM,SDW,31,"692,33"
42,10008684312,MACKAIJ Floortje,NETHERLANDS,DSM,26,"688,33"
