Rank,Name,Team Code,Nationality,Points
1,GROUPEMENT SPORTIF PETROLIER ALGERIE,GSP,ALGERIA,"463,66"
2,TEAM EUROPCAR,EUC,FRANCE,197
3,TEAM BONITAS,BNT,SOUTH AFRICA,"188,34"
4,MTN QHUBEKA,MTN,SOUTH AFRICA,"175,67"
5,RAPHA CONDOR - SHARP,RCS,GREAT BRITAIN,150
6,AMORE & VITA,AMO,UKRAINE,129
7,FDJ,FDJ,FRANCE,94
8,TEAM NETAPP,APP,GERMANY,75
9,MICHE - GUERCIOTTI,MIE,ITALY,70
10,DUKLA TRENCIN MERIDA,DUK,SLOVAKIA,58
11,CHIPOTLE DEVELOPMENT TEAM,CDT,UNITED STATES OF AMERICA,40
12,KONYA TORKU SEKER SPOR - VIVELO,KTS,TURKEY,33
13,D'ANGELO & ANTENUCCI - NIPPO,DAN,ITALY,24
13,WALLONIE BRUXELLES - CREDIT AGRICOLE,WBC,BELGIUM,24
15,BISSELL CYCLING,BPC,UNITED STATES OF AMERICA,15
16,VERANDA'S WILLEMS - ACCENT,VWA,BELGIUM,14
17,GEOFCO - VILLE D'ALGER,VAA,ALGERIA,10
18,BURGOS 2016 - CASTILLA Y LEÓN,VMC,SPAIN,8
18,TT RAIKO ARGON 18,TTR,GERMANY,8
20,MARCO POLO CYCLING TEAM,MPC,PEOPLE'S REPUBLIC OF CHINA,"6,67"
21,TEAM TYPE 1 - SANOFI,TT1,UNITED STATES OF AMERICA,5
22,ASC DUKLA PRAHA,ADP,CZECH REPUBLIC,2
