Rank,Name,Team Code,Nationality,Points
1,SKYDIVE DUBAI PRO CYCLING TEAM - AL AHLI CLUB,SKD,UNITED ARAB EMIRATES,571
2,GROUPEMENT SPORTIF DES PETROLIERS ALGERIE,GSP,ALGERIA,499
3,MTN - QHUBEKA,MTN,SOUTH AFRICA,"471,02"
4,BIKE AID,BAI,GERMANY,"239,67"
5,TEAM EUROPCAR,EUC,FRANCE,"185,67"
6,TORKU SEKERSPOR,TRK,TURKEY,104
7,BRETAGNE-SECHE ENVIRONNEMENT,BSE,FRANCE,95
8,AL MARAKEB CYCLING TEAM,MCT,MOROCCO,73
9,VELO CLUB SOVAC,VCS,ALGERIA,42
10,VERANCLASSIC - EKOI,VER,BELGIUM,33
11,JILUN - SHAKELAND CYCLING TEAM,JLS,PEOPLE'S REPUBLIC OF CHINA,19
12,TEAM FIXIT.NO,FIX,NORWAY,18
13,CIBEL,CIB,BELGIUM,16
13,UNIEURO WILIER,UNI,ITALY,16
15,WANTY - GROUPE GOBERT,WGG,BELGIUM,15
16,TEAM DIFFERDANGE - LOSCH,CCD,LUXEMBOURG,13
16,CK BANSKA BYSTRICA,CKB,SLOVAKIA,13
18,TEAM ECUADOR,ECU,ECUADOR,2
