Rank,BIB,Last Name,First Name,Country,Team,Gender,Age,Phase,Heat,Result,IRM
67,174,SCHINK,Lina-Kristin,GER,GSD GESTION - KALLISTO,W,30,,,+10:08,
68,104,KNOL,Willeke,NED,TEAM ARGOS - SHIMANO,W,22,,,+10:08,
69,135,ZORZI,Susanna,ITA,FAREN - LET'S GO FINLAND TEAM,W,21,,,+10:08,
70,151,SOSNA,Katazina,LTU,VAIANO FONDRIEST,W,23,,,+10:08,
71,35,THORSEN,Thea,NOR,HITEC PRODUCTS UCK,W,21,,,+10:08,
72,112,HAGIWARA,Mayuko,JPN,WIGGLE HONDA,W,27,,,+10:08,
73,41,BORGATO,Giada,ITA,PASTA ZARA - COGEAS,W,24,,,+10:08,
74,153,D'ETTORRE,Alessandra,ITA,VAIANO FONDRIEST,W,35,,,+10:08,
75,46,R??I?KOV�,Martina,CZE,PASTA ZARA - COGEAS,W,33,,,+10:08,
76,131,BASTIANELLI,Marta,ITA,FAREN - LET'S GO FINLAND TEAM,W,26,,,+10:08,
77,72,CARRETTA,Valentina,ITA,MCIPOLLINI GIORDANA,W,24,,,+10:08,
78,33,NEYLAN,Rachel,AUS,HITEC PRODUCTS UCK,W,31,,,+10:08,
79,233,CAUZ,Francesca,ITA,TOP GIRLS FASSA BORTOLO,W,21,,,+10:08,
80,122,SOEK,Julia,NED,SENGERS LADIES CYCLING TEAM,W,23,,,+10:08,
81,186,JEULAND,Pascale,FRA,VIENNE FUTUROSCOPE,W,26,,,+10:08,
82,162,VAN DER KAMP,Laura,NED,TEAM FUTURUMSHOP.NL,W,21,,,+10:08,
83,215,THOMASSON,Martina,SWE,CRAMO GO:GREEN,W,28,,,+10:08,
84,211,KIHLBOM,Jessica,SWE,CRAMO GO:GREEN,W,24,,,+10:08,
85,,VALSECCHI,Silvia,ITA,BEPINK,W,31,,,+10:08,
86,53,KASPER,Romy,GER,BOELS DOLMANS CYCLING TEAM,W,25,,,+10:08,
87,166,GAUMNITZ,Stephanie,GER,TEAM FUTURUMSHOP.NL,W,26,,,+10:08,
88,216,SJ�BLOM,Linnea,SWE,CRAMO GO:GREEN,W,24,,,+10:08,
89,75,SCANDOLARA,Valentina,ITA,MCIPOLLINI GIORDANA,W,23,,,+10:08,
90,,FRAPPORTI,Simona,ITA,BEPINK,W,25,,,+10:08,
91,253,HALL,Lauren,USA,UNITED STATES OF AMERICA,W,34,,,+13:12,
92,45,JANELIUNAITE,Edita,LTU,PASTA ZARA - COGEAS,W,25,,,+13:12,
93,31,MOBERG,Emilie,NOR,HITEC PRODUCTS UCK,W,22,,,+14:53,
94,235,VALENTINI,Elena,ITA,TOP GIRLS FASSA BORTOLO,W,21,,,+14:53,
95,223,DEPOORTER,Daisy,BEL,CYCLELIVE PLUS - ZANNATA,W,21,,,+14:53,
96,76,TAGLIAFERRO,Marta,ITA,MCIPOLLINI GIORDANA,W,24,,,+14:53,
97,103,VAN DER HAAR,Lucy,GBR,TEAM ARGOS - SHIMANO,W,19,,,+14:53,
,42,LATOZAITE,Silvija,LTU,PASTA ZARA - COGEAS,W,20,,,+18:43,OTL
,242,GA�,Daniela,GER,SQUADRA SCAPPATELLA,W,33,,,+21:45,OTL
,44,SILINYTE,Agne,LTU,PASTA ZARA - COGEAS,W,22,,,+21:45,OTL
,136,SCHWAGER,Patricia,SUI,FAREN - LET'S GO FINLAND TEAM,W,30,,,+21:45,OTL
,252,KACHOREK,Emily,USA,UNITED STATES OF AMERICA,W,33,,,+21:45,OTL
,142,RIST,Liisi,EST,MICHE VILLE D'ALGER,W,22,,,+21:45,OTL
,256,WINDER,Ruth,USA,UNITED STATES OF AMERICA,W,20,,,+21:45,OTL
,206,DRUYTS,Jessy,BEL,TOPSPORT VLAANDEREN - BIORACER,W,19,,,+21:45,OTL
,205,DE CROOCK,Stephanie,BEL,TOPSPORT VLAANDEREN - BIORACER,W,34,,,+21:45,OTL
,64,CHULKOVA,Anastasia,RUS,RUSVELO,W,28,,,+21:45,OTL
,143,BARAZNA,Katsiaryna,BLR,MICHE VILLE D'ALGER,W,23,,,+21:45,OTL
,176,ROORDA,Stephanie,CAN,GSD GESTION - KALLISTO,W,27,,,+21:45,OTL
,243,PERCHTOLD,Christina,AUT,SQUADRA SCAPPATELLA,W,20,,,+21:45,OTL
,203,VEKEMANS,Anisha,BEL,TOPSPORT VLAANDEREN - BIORACER,W,22,,,+21:45,OTL
,146,VIECELI,Lara,ITA,MICHE VILLE D'ALGER,W,20,,,+21:45,OTL
,145,BOLDRINI,Gloria,ITA,MICHE VILLE D'ALGER,W,19,,,+21:45,OTL
,63,SAVITSKAYA,Maria,RUS,RUSVELO,W,22,,,+21:45,OTL
,6,FERRAND PREVOT,Pauline,FRA,RABO WOMEN CYCLING TEAM,W,21,,,,DNF
,11,COLCLOUGH,Katie,GBR,SPECIALIZED - LULULEMON,W,23,,,,DNF
,25,MACLEAN,Jessie,AUS,ORICA - AIS,W,28,,,,DNF
,54,MARTIN,Lucy,GBR,BOELS DOLMANS CYCLING TEAM,W,23,,,,DNF
,74,GRIFI,Sara,ITA,MCIPOLLINI GIORDANA,W,25,,,,DNF
,,SANGUINETI,Ilaria,ITA,BEPINK,W,19,,,,DNF
,94,HANNES,Kaat,BEL,LOTTO BELISOL LADIES,W,22,,,,DNF
,102,TROMP,Esra,NED,TEAM ARGOS - SHIMANO,W,23,,,,DNF
